"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"7am";"1013.5214";"   0.0000";"   0.0000";"   0.0000";" 871.1498";"1245.7388";"   0.0000";"   0.0000";"2305.4455";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1253.6633";"   0.0000";"1066.1347";"   0.0000";"   0.0000";" 734.2129";" 753.4357";"   0.0000";"4987.7257";"   0.0000";"   0.0000";" 491.9230";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 791.8680";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1102.8369";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"1573.0188";"   0.0000";" 967.2409";"   0.0000";"1143.5837";"1638.7243";"   0.0000";"   0.0000";"3126.8484";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1796.1459";"   0.0000";"1534.7761";"   0.0000";"   0.0000";"1746.5125";"1359.2144";"   0.0000";"7714.2255";"   0.0000";"   0.0000";"1209.5360";"   0.0000";" 910.0343";"   0.0000";"   0.0000";"1106.1060";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 816.0750";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1281.8901";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 909.1716";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";" 2617.4585";"    0.0000";" 1323.4130";"    0.0000";" 1207.2302";" 1860.9805";"    0.0000";"    0.0000";" 3421.6455";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1930.8700";"    0.0000";" 1799.7606";"    0.0000";"    0.0000";" 1996.0126";" 1560.8800";"    0.0000";"10787.7018";"    0.0000";"    0.0000";" 1795.6882";"    0.0000";"  965.5454";"    0.0000";"    0.0000";" 1185.8789";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  834.0339";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1281.8901";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  990.9879";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"10am";" 2793.5222";"    0.0000";" 1429.6427";"    0.0000";" 1305.0723";" 1977.5299";"    0.0000";"    0.0000";" 3708.8400";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1883.1536";"    0.0000";" 1773.1370";"    0.0000";"    0.0000";" 2035.2249";" 1744.2931";"    0.0000";"12760.3335";"    0.0000";"    0.0000";" 1812.7119";"    0.0000";"  973.3741";"    0.0000";"    0.0000";" 1306.0921";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  796.4249";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1281.8901";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1044.1788";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"11am";" 3073.6345";" 1160.6042";" 1130.2253";"    0.0000";" 1238.7875";" 1853.2845";"    0.0000";"    0.0000";" 3477.3997";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1900.6992";"    0.0000";" 1893.6156";"    0.0000";"    0.0000";" 2271.8857";" 1609.6955";"    0.0000";"10904.7258";"    0.0000";"    0.0000";" 1751.5337";"    0.0000";"  973.3741";"    0.0000";"    0.0000";" 1316.0998";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  810.6760";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1196.8785";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1044.1788";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
