"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328"
"4am";"2866.51558";"1329.31882";"2711.53418";" 934.00422";"1509.38170";"4596.68066";"1731.27343";" 311.83952";"1499.55706";" 732.18158";" 584.56612";" 766.20899";" 629.38924";"1250.86595";" 462.10652";" 620.70397";"1284.86322";"2023.88940";" 617.53841";" 978.18111";"1418.12693";"9734.30330";"1442.48330";" 600.33635";"4401.70213";"2243.37909";" 463.65677";"2443.06682";" 710.44081";" 696.62276";" 448.33244";" 587.21753";" 930.36918";"  78.46962";" 658.45543";" 815.74153";" 757.32883";" 353.44202";" 726.49306";"1581.18199";" 676.98927";" 422.69002";" 482.15512";" 311.16616";" 501.42458";" 811.27079";" 464.96203";" 871.77279";" 471.58839";"  99.34684";" 429.53558";" 574.02699";" 656.26190";" 992.35257";" 425.23773";" 351.58512";" 480.37313";" 638.47597";" 680.22999";" 494.37430";" 776.30638";" 676.70959";" 262.71391";" 514.37062";" 705.09481";" 546.84576";" 517.40807";" 451.56730";" 262.86931";" 577.88634";" 507.88368";" 397.55154";" 812.90924";" 290.24269";" 907.16630";" 298.28755";" 157.43611";" 620.63779";" 876.88887";" 550.25037"
"5am";"2866.51558";"1329.31882";"2711.53418";" 934.00422";"1509.38170";"4596.68066";"1731.27343";" 311.83952";"1654.78866";" 732.18158";" 584.56612";" 766.20899";" 629.38924";"1250.86595";" 462.10652";" 620.70397";"1284.86322";"2023.88940";" 617.53841";" 978.18111";"1418.12693";"9734.30330";"1442.48330";" 600.33635";"4401.70213";"2243.37909";" 463.65677";"2443.06682";" 768.39434";" 696.62276";" 448.33244";" 587.21753";" 930.36918";"  78.46962";" 658.45543";" 815.74153";" 757.32883";" 353.44202";" 726.49306";"1581.18199";" 676.98927";" 422.69002";" 482.15512";" 311.16616";" 501.42458";" 811.27079";" 464.96203";" 871.77279";" 471.58839";"  99.34684";" 429.53558";" 574.02699";" 656.26190";" 992.35257";" 425.23773";" 351.58512";" 480.37313";" 638.47597";" 680.22999";" 494.37430";" 776.30638";" 676.70959";" 262.71391";" 514.37062";" 705.09481";" 546.84576";" 517.40807";" 451.56730";" 262.86931";" 577.88634";" 507.88368";" 397.55154";" 657.67764";" 290.24269";" 907.16630";" 298.28755";" 157.43611";" 620.63779";" 876.88887";" 550.25037"
"6am";"2866.51558";"1329.31882";"2711.53418";" 934.00422";"1509.38170";"4522.75176";"1731.27343";" 311.83952";"1654.78866";" 700.49864";" 584.56612";" 766.20899";" 629.38924";"1250.86595";" 462.10652";" 620.70397";"1284.86322";"1927.97858";" 617.53841";" 906.32412";"1418.12693";"9865.26791";"1404.51875";" 500.75729";"4347.79968";"2243.37909";" 531.14474";"2443.06682";" 729.83834";" 696.62276";" 448.33244";" 464.74777";" 930.36918";"  78.46962";" 658.45543";" 783.35856";" 521.29513";" 353.44202";" 669.45735";"1581.18199";" 676.98927";" 422.69002";" 482.15512";" 311.16616";" 501.42458";" 670.28172";" 424.76854";" 587.01602";" 367.84567";"  99.34684";" 390.38202";" 324.47342";" 399.73634";" 948.03052";" 305.21636";" 351.58512";" 446.50120";" 638.47597";" 559.22099";" 494.37430";" 814.35201";" 510.15239";" 235.59530";" 419.34086";" 569.32801";" 503.47621";" 517.40807";" 451.56730";" 159.01511";" 577.88634";" 320.86293";" 397.55154";" 502.44604";" 290.24269";" 907.16630";" 140.11765";" 157.43611";" 620.63779";" 876.88887";" 550.25037"
"7am";"3442.59163";"1121.92048";"2769.40030";" 744.11094";"1792.84798";"4614.23780";"1098.24174";" 249.22698";"3503.43991";" 422.31274";" 441.50664";" 280.58777";" 569.37949";" 454.25182";" 283.24715";" 350.32167";"2121.04687";"1186.16467";"1387.87026";" 230.84111";" 979.12781";"8554.06184";"2001.23298";" 425.52917";"8841.73133";"1514.09332";" 453.22938";"2278.57896";" 598.25033";" 617.46949";" 117.15474";" 242.37904";"1360.32676";"  63.33080";" 536.55698";" 751.10564";" 342.07772";" 263.99637";" 605.29900";"1313.37847";" 478.43507";" 309.44273";" 242.84213";" 270.16322";" 291.51932";" 223.10865";" 327.88504";" 383.08607";" 152.91197";" 114.26658";" 223.00230";" 136.69922";"  99.10396";" 382.08587";" 168.96134";" 291.06322";" 342.90846";" 508.08743";" 226.91700";"1431.28407";" 338.18673";" 314.53297";" 137.98911";" 112.52365";" 210.03148";" 159.40186";" 100.52661";" 212.71350";" 121.70990";" 643.50358";" 235.44303";" 108.60389";" 394.55895";" 510.23321";"1266.26767";"  94.96711";"   0.00000";" 893.52485";"1061.21540";" 383.42631"
"8am";" 3747.97215";" 1215.00864";" 2130.78096";"  582.24279";" 1870.49541";" 4566.84331";"  740.86767";"  181.93294";" 3992.89205";"  434.37366";"  592.21651";"  135.93776";"  453.47243";"  653.31779";"  336.19447";"  432.99235";" 2532.18002";"  998.12184";" 1818.94866";"  278.42236";"  704.98397";" 8056.76926";" 2391.56931";"  271.66270";"11347.01065";" 1248.72033";"  937.14080";" 2996.19202";"  724.20653";" 1110.01531";"  117.15474";"  329.29457";" 1486.29583";"   63.33080";"  337.14890";"  370.54545";"  160.67825";"   66.70137";"  223.76855";" 1719.76720";"  482.85219";"  349.16419";"  332.38874";"  373.82673";"  291.51932";"  223.10865";"  336.13825";"  276.22440";"    0.00000";"   50.71026";"  190.08750";"   71.95139";"    0.00000";"  543.09876";"  168.96134";"  287.03059";"  319.71104";"  426.85455";"  173.61663";" 1518.17692";"  261.72565";"  147.97577";"    0.00000";"    0.00000";"  300.40823";"  113.02357";"   61.99322";"  212.71350";"   75.64071";"  558.09681";"  235.44303";"   43.39723";"  394.55895";"  554.67328";" 1211.70393";"   49.81657";"    0.00000";"  997.00375";" 1327.90963";"  247.04721"
"9am";" 4757.26477";" 1220.72422";" 2391.37560";"  546.19669";" 1786.78856";" 4424.58275";"  713.35962";"  157.43790";" 4046.63183";"  371.54200";"  499.71735";"  135.93776";"  239.21142";"  429.09519";"  387.09211";"  371.14973";" 2554.58885";"  805.05349";" 2083.93317";"   86.00075";"  493.48672";" 6601.49072";" 2523.08819";"  277.14254";"14368.22487";"  968.63602";"  833.19729";" 3240.03789";"  646.08892";" 1145.67409";"  117.15474";"  329.29457";" 1566.06865";"  128.60176";"  373.24789";"  169.91099";"  160.67825";"   66.70137";"  223.76855";" 1737.72609";"  456.49107";"  401.41082";"  332.38874";"  395.34706";"  218.37151";"  223.10865";"  386.75155";"  203.75181";"    0.00000";"   50.71026";"  190.08750";"   71.95139";"  112.25310";"  491.51053";"   32.33603";"  287.03059";"  209.22395";"  356.42872";"  173.61663";" 1518.17692";"  261.72565";"  147.97577";"    0.00000";"    0.00000";"  300.40823";"   64.84859";"  104.16568";"  212.71350";"   75.64071";"  558.09681";"  235.44303";"   43.39723";"  394.55895";"  554.67328";" 1293.52025";"   49.81657";"    0.00000";" 1045.13351";" 1398.68756";"  200.07049"
"10am";" 4756.73323";" 1214.97791";" 2155.58817";"  446.71385";" 1885.53364";" 4106.31887";"  675.89922";"  145.57732";" 4273.42247";"  284.01519";"  420.01247";"  135.93776";"  242.74011";"  469.73254";"  387.09211";"  400.42634";" 2435.34378";"  750.96891";" 2057.30952";"  280.49706";"  516.63239";" 6070.38253";" 2502.98572";"  219.00426";"16232.17328";"  554.96323";"  833.19729";" 3257.06158";"  704.58556";" 1185.74704";"   58.57737";"  329.29457";" 1686.28189";"  128.60176";"  513.52475";"  117.78314";"  160.67825";"  118.82922";"  223.76855";" 1700.11708";"  456.49107";"  479.23971";"  332.38874";"  346.99354";"  282.97478";"  223.10865";"  336.13825";"  137.29807";"   50.61330";"   50.71026";"  157.17270";"   71.95139";"  112.25310";"  398.68947";"   32.33603";"  287.03059";"  161.50754";"  356.42872";"  173.61663";" 1518.17692";"  261.72565";"  147.97577";"    0.00000";"   79.77282";"  300.40823";"   64.84859";"  104.16568";"  212.71350";"   75.64071";"  558.09681";"  235.44303";"   43.39723";"  488.75838";"  554.67328";" 1346.71113";"   49.81657";"    0.00000";" 1045.13351";" 1398.68756";"  200.07049"
"11am";" 4869.16813";" 1725.06392";" 2245.52746";"  517.32569";" 1676.89896";" 4151.15313";"  660.16874";"  114.00338";" 4041.98217";"  284.01519";"  381.59297";"  135.93776";"  253.11239";"  469.73254";"  442.65649";"  361.91491";" 2452.88938";"  634.75741";" 2177.78817";"  332.78407";"  627.99427";" 6519.20944";" 2438.53480";"  277.14254";"14376.58201";"  654.57462";"  738.70940";" 3126.80915";"  704.58556";" 1163.71577";"   58.57737";"  329.29457";" 1696.28958";"  128.60176";"  568.60370";"  117.78314";"  160.67825";"  118.82922";"  174.94938";" 1714.36819";"  456.49107";"  392.95303";"  332.38874";"  444.69313";"  209.82697";"  312.00247";"  386.75155";"  174.02583";"    0.00000";"   50.71026";"  196.32626";"   71.95139";"  112.25310";"  398.68947";"   32.33603";"  287.03059";"  247.79422";"  426.85455";"  188.20245";" 1433.16527";"  261.72565";"  147.97577";"    0.00000";"   79.77282";"  300.40823";"   64.84859";"  104.16568";"  212.71350";"  112.94592";"  558.09681";"  203.06006";"   43.39723";"  582.95781";"  517.36807";" 1346.71113";"   49.81657";"    0.00000";" 1015.78945";" 1398.68756";"  200.07049"
"12am";" 4491.41062";" 2484.85132";" 2383.75083";"  644.84467";" 1408.01856";" 4097.74272";"  931.65296";"  145.03687";" 3686.76901";"  368.29908";"  307.51519";"  284.03869";"  346.09674";"  381.51394";"  348.65724";"  349.11599";" 2230.12106";"  757.56008";" 1531.44698";"  874.20404";"  883.88116";" 6733.74946";" 2243.04532";"  386.24301";"13168.67845";"  810.93363";"  765.27770";" 3666.99608";"  557.19563";" 1188.62860";"   58.57737";"  329.29457";" 1766.71541";"  128.60176";"  649.84104";"  231.14580";"  224.09051";"  205.26839";"  218.27871";" 1619.24470";"  585.21534";"  338.57786";"  332.38874";"  476.36368";"  145.22370";"  312.00247";"  336.13825";"  224.63913";"    0.00000";"   50.71026";"  240.34124";"  112.85435";"  112.25310";"  469.81963";"   80.90571";"  287.03059";"  280.47313";"  385.60620";"  103.19080";" 1370.50184";"  292.75153";"  147.97577";"   36.71273";"   79.77282";"  300.40823";"   64.84859";"  142.69907";"  212.71350";"  112.94592";"  540.40458";"  232.40412";"  146.49623";"  488.75838";"  396.67598";" 1068.19152";"  207.98647";"    0.00000";"  967.65969";" 1352.44875";"  336.44959"
"1pm";" 4232.36481";" 1626.44321";" 2117.59540";"  694.99047";" 1616.55053";" 3938.57957";" 1196.20188";"  129.40767";" 4099.03767";"  205.18261";"  453.01006";"  224.12004";"  361.57894";"  338.56576";"  410.56540";"  377.30593";" 2175.70615";"  547.87361";" 1930.33122";"  282.00174";"  674.15559";" 6353.54026";" 2539.41542";"  391.38744";"13748.62150";" 1060.49434";"  746.96502";" 4493.60425";"  443.97005";" 1199.45231";"   24.31997";"  406.65101";" 1801.76220";"  128.60176";"  618.50587";"  381.82633";"  334.06324";"  246.55600";"  287.70786";" 1277.58032";"  646.93920";"  391.45403";"  332.38874";"  476.36368";"  145.22370";"  140.98907";"  336.13825";"  224.63913";"    0.00000";"   37.67922";"  240.34124";"  112.85435";"    0.00000";"  534.20609";"   80.90571";"  287.03059";"  277.31821";"  356.42872";"  378.22630";" 1502.87012";"  156.54323";"  147.97577";"   36.71273";"  126.01163";"  300.40823";"   64.84859";"  168.74626";"  212.71350";"  159.01511";"  540.40458";"  232.40412";"  103.09900";"  438.54084";"  438.10086";" 1016.52721";"   49.81657";"    0.00000";"  893.50105";" 1352.44875";"  336.44959"
"2pm";" 3730.49404";" 1566.92141";" 1928.50138";"  528.07173";" 1581.30438";" 3672.46598";" 1176.62393";"  113.74499";" 4627.73143";"  314.23608";"  453.01006";"  149.93937";"  361.57894";"  547.08877";"  425.99341";"  415.81736";" 2176.44807";"  667.41730";" 1907.92188";"  210.14475";"  508.83676";" 5646.89518";" 2568.29564";"  397.75880";"14849.80114";"  881.02906";"  684.62363";" 4950.93289";"  433.60453";" 1223.77700";"   50.36716";"  479.44277";" 1767.34883";"  167.75532";"  467.91358";"  243.41495";"  443.53559";"  127.72678";"  311.45512";" 1269.72623";"  702.02251";"  366.40269";"  527.20339";"  413.54921";"  145.22370";"  140.98907";"  222.09914";"  224.63913";"    0.00000";"   37.67922";"  168.14464";"  112.85435";"   38.04563";"  534.20609";"   32.33603";"  378.48567";"  277.31821";"  286.00289";"  431.39033";" 1449.70609";"    0.00000";"  147.97577";"    0.00000";"  126.01163";"  300.40823";"   64.84859";"  168.74626";"  212.71350";"  225.56410";"  540.40458";"  232.40412";"  103.09900";"  593.77244";"  475.40607";" 1016.52721";"   49.81657";"    0.00000";"  893.50105";" 1500.31005";"  336.44959"
"3pm";" 3512.28918";" 1846.03439";" 2083.28777";"  423.63845";" 1389.94382";" 4268.30220";" 1090.39196";"   99.11458";" 4684.71175";"  432.47643";"  499.90294";"  243.08342";"  313.99769";"  669.18924";"  522.56010";"  379.10469";" 1854.84745";"  805.48809";" 1668.78979";"  180.00000";"  521.33250";" 5520.28503";" 2356.64573";"  360.19582";"14094.26973";"  988.74535";"  684.62363";" 4912.95351";"  515.88496";" 1160.20025";"   50.36716";"  279.53580";" 2069.60077";"  128.60176";"  467.91358";"  211.03198";"  443.53559";"   86.43917";"  268.12579";" 1298.18426";"  745.92462";"  366.40269";"  550.70394";"  354.26912";"  145.22370";"  140.98907";"  222.09914";"  350.35262";"    0.00000";"   37.67922";"  201.18768";"  112.85435";"  317.62063";"  534.20609";"   71.82198";"  378.48567";"  357.71353";"  286.00289";"  507.57540";" 1405.90399";"    0.00000";"  147.97577";"   25.18084";"  205.78445";"  300.40823";"  108.21814";"  168.74626";"  212.71350";"  121.70990";"  540.40458";"  232.40412";"  103.09900";"  593.77244";"  475.40607";" 1016.52721";"   94.96711";"    0.00000";"  893.50105";" 1432.14148";"  404.61816"
