"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912"
"4am";" 6.944645";"14.363927";"16.214623";"21.299900";"17.891971";"13.226830";"18.013158";"32.303139";"24.257713";"22.703322";"21.294883";"33.693487";"19.087296";"22.835035";"27.212836";"29.200868";"25.153617";"17.649094";"17.566155";"16.911816";"16.476744";" 7.717559";" 8.302507";"19.471420";" 6.868631";"16.408806";"20.005569";"12.339111";"26.007537";"31.810495";"27.512525";"25.840263";"26.927498";"30.097687";"29.314475";"27.646717";"23.934855";"32.662026";"20.358868";"29.052155";"26.874561";"22.936289";"31.114645";"38.076614";"24.572288";"26.510650";"23.737538";"22.747944";"23.935038";"18.763382";"30.287354";"24.581104";"25.933493";"22.033421";"22.586388";"49.234318";"25.564100";"27.234821";"31.387963";"20.164567";"23.149783";"21.574285";"23.945940";"29.801612";"28.307991";"25.145030";"21.816464";"27.298132";"24.852055";"29.201342";"25.591349";"28.446790";"33.415018";"35.111277";"33.071672";"41.495121";"34.036588";"28.465811";"32.643339";"32.854439"
"5am";" 6.840675";"14.221229";"15.973487";"21.420199";"17.891971";"13.226830";"17.957522";"32.450710";"23.275901";"23.198416";"21.070051";"34.220239";"18.502972";"23.142920";"27.462421";"29.772028";"24.966985";"17.909654";"17.566155";"17.340682";"16.571113";" 7.629007";" 8.006561";"19.551837";" 6.828824";"16.408806";"20.358436";"12.375007";"25.345847";"31.810495";"27.891462";"25.679291";"26.829862";"29.708097";"28.483489";"27.386703";"24.083310";"32.829837";"20.491177";"28.889112";"26.874561";"23.204290";"30.981062";"38.259607";"24.905845";"26.127110";"24.802341";"22.747944";"23.475223";"18.871027";"31.072948";"24.743035";"25.933493";"22.281329";"23.035760";"49.239936";"25.246999";"27.900010";"31.393014";"19.738859";"23.500476";"21.631017";"24.600095";"29.801612";"28.502296";"25.145030";"22.474103";"28.033529";"25.703795";"28.434914";"26.052406";"29.048371";"33.762271";"36.044224";"32.894961";"41.730189";"34.227180";"28.705523";"32.643339";"33.366678"
"6am";" 6.746307";"14.366036";"15.595045";"21.725426";"18.062154";"13.598914";"18.010901";"32.819721";"22.492180";"23.616586";"21.609917";"34.658595";"17.674927";"23.444314";"28.295887";"28.755733";"25.551789";"17.937226";"17.713563";"16.195553";"17.036659";" 7.608182";" 8.048444";"20.495754";" 6.759466";"16.724954";"20.051192";"12.041439";"26.308129";"31.149213";"28.182382";"24.308474";"27.482348";"29.922790";"26.936498";"28.527977";"24.082305";"34.174570";"21.218810";"28.917685";"27.397475";"23.782987";"30.927513";"40.230771";"25.680161";"27.428788";"25.136732";"25.058355";"24.492449";"19.800228";"32.463245";"26.352544";"27.483686";"22.572716";"24.172933";"49.239936";"25.731003";"27.636876";"34.896325";"20.317518";"25.125654";"22.949091";"24.801697";"31.209359";"30.311921";"26.920056";"22.302046";"28.658747";"26.749618";"27.568792";"26.875650";"29.187553";"35.293198";"35.204294";"33.962088";"45.974627";"35.450051";"29.696930";"32.176566";"35.502154"
"7am";" 6.008434";"14.982480";"15.189821";"22.258281";"17.748445";"14.651689";"19.725889";"37.182402";"17.473227";"25.726906";"20.771656";"39.060563";"18.147874";"30.583034";"32.679384";"33.702964";"23.245699";"19.073123";"16.268679";"17.796817";"19.992848";" 8.042428";" 7.450746";"20.286065";" 4.155382";"19.192873";"17.266011";"10.981822";"24.120173";"31.111712";"33.546181";"21.781773";"28.114058";"27.323853";"24.802727";"31.242169";"25.571881";"42.579246";"23.988621";"31.091997";"30.790683";"28.698378";"31.932706";"44.932396";"28.311650";"34.198229";"26.189630";"27.140938";"28.890452";"21.342044";"38.628366";"33.485018";"37.578156";"27.190180";"26.947085";"51.768375";"30.072780";"31.858255";"34.805001";"17.590749";"29.694600";"27.407867";"28.972786";"34.278041";"31.843662";"32.845444";"26.005678";"31.601880";"28.591340";"29.693365";"28.438525";"34.925035";"34.509836";"35.028743";"31.871199";"45.524071";"39.686688";"29.471677";"32.074379";"39.592843"
"8am";" 5.078608";"13.152355";"16.937681";"22.604663";"18.778300";"15.115119";"23.852865";"42.700939";"14.749463";"22.594120";"18.545369";"42.196583";"15.474302";"31.565767";"34.403885";"32.882906";"20.657170";"15.622958";"14.547581";"19.778251";"26.977206";" 7.865662";" 4.933970";"19.056177";" 2.922127";"22.070637";"10.559013";"10.045611";"22.552042";"30.456728";"35.850791";"19.895339";"28.577746";"20.237606";"27.725860";"38.448314";"28.725472";"44.821888";"30.393364";"28.253764";"30.666678";"29.472605";"32.274912";"37.838144";"35.536900";"36.883893";"25.787572";"32.112759";"34.117306";"25.389046";"45.297206";"37.161622";"41.768454";"29.613798";"29.093408";"50.858171";"32.556324";"34.561210";"37.286177";"17.626435";"31.580574";"30.815438";"35.560065";"40.382327";"32.951725";"34.787326";"30.518575";"31.785076";"28.592931";"33.968401";"27.267902";"33.795000";"34.887216";"32.942380";"31.413730";"46.483585";"44.592874";"27.329048";"31.693017";"47.343304"
"9am";" 7.389110";"15.879781";"19.598330";"22.024022";"15.852094";"13.650884";"24.264667";"48.071278";"15.678437";"26.141453";"21.491586";"42.343661";"16.607047";"30.810106";"38.585559";"27.770175";"19.286981";"14.289514";"11.293617";"22.722484";"28.345793";" 8.781297";" 3.749378";"21.810849";" 2.028608";"21.463695";" 7.962388";"10.047109";"22.433443";"27.147848";"34.334633";"20.781375";"25.005936";"22.554376";"29.498568";"37.857561";"29.628048";"49.979340";"28.975807";"29.870840";"30.071925";"35.099413";"34.160214";"44.522349";"36.740660";"35.972663";"25.052325";"37.011042";"33.422223";"26.767022";"46.028232";"35.417545";"33.665273";"30.121572";"33.860944";"47.160608";"33.506754";"36.231470";"39.866761";"18.137777";"29.639955";"34.211674";"37.200976";"41.542919";"33.443044";"35.682405";"29.951400";"29.724735";"27.762825";"32.577206";"28.743178";"34.840781";"34.988473";"31.525656";"28.334911";"47.663457";"46.759253";"26.033060";"29.379028";"44.585732"
"10am";" 9.769681";"19.035883";"18.077111";"23.617741";"11.999351";"14.902109";"28.322189";"50.724105";"14.557151";"23.845524";"22.261425";"39.649465";"17.880841";"30.635055";"38.549784";"31.690895";"20.295035";"15.677945";"12.099295";"17.200695";"23.120493";"11.089535";" 4.235124";"23.097829";" 1.864117";"20.643044";" 7.071669";"10.511681";"17.258630";"32.634791";"35.451961";"21.409711";"24.506987";"25.013676";"27.420753";"36.238759";"26.213311";"48.303660";"25.063274";"31.508640";"30.222607";"31.102951";"34.610955";"43.265811";"35.036277";"37.833867";"28.097236";"38.078548";"32.556578";"25.317675";"49.992769";"35.528482";"32.630903";"28.138222";"34.016715";"46.473526";"33.108267";"35.557735";"40.200994";"20.701866";"27.675931";"33.285940";"37.469940";"42.212230";"33.057069";"35.058449";"33.579064";"31.441964";"26.551082";"30.586725";"27.749314";"34.395050";"33.171552";"34.195239";"27.769552";"46.038053";"45.701127";"27.971338";"30.647629";"41.559802"
"11am";" 8.620310";"14.929334";"17.150646";"23.320551";"15.236086";"15.579639";"27.876471";"44.752327";"15.081665";"24.412619";"20.625408";"40.582558";"15.835064";"28.418222";"35.392188";"35.971134";"19.948754";"15.982947";"10.694149";"19.105338";"24.408791";"12.063536";" 6.274927";"25.399053";" 1.904367";"19.516362";" 8.011292";"11.479692";"20.651308";"27.705894";"35.539955";"22.313179";"27.745437";"20.899290";"25.471965";"40.811973";"27.272359";"47.771863";"23.819280";"31.466011";"30.711190";"33.168304";"31.718073";"38.625913";"35.825858";"38.176613";"23.444014";"37.622329";"36.017188";"25.082747";"46.409579";"36.628853";"31.613877";"26.678576";"31.837216";"48.397424";"29.063112";"36.236750";"38.102118";"19.444505";"29.978467";"33.009356";"37.651438";"43.836156";"35.417024";"33.806554";"32.729280";"29.583342";"27.998668";"32.382773";"26.575732";"33.872787";"33.708590";"34.081708";"28.277112";"47.695674";"47.486516";"24.576935";"32.000652";"42.946347"
"12am";" 5.391079";"13.892441";"16.025062";"23.325417";"16.583021";"15.981286";"24.834340";"44.315882";"16.697474";"26.264421";"21.119156";"38.892755";"18.276346";"29.267074";"37.649171";"32.896742";"21.034831";"18.599086";"12.021313";"18.366493";"26.541484";"10.871619";" 7.360313";"22.402109";" 2.549428";"18.011807";" 9.108295";" 9.442346";"23.988586";"27.158209";"31.612975";"22.089952";"25.759977";"22.439428";"26.435718";"38.828830";"26.890011";"40.127977";"27.598129";"28.306959";"26.373494";"26.557891";"27.895437";"37.186084";"37.008581";"35.927020";"25.057138";"32.446035";"30.971196";"23.280308";"41.837948";"36.153601";"38.671489";"26.556883";"31.966714";"50.803173";"29.895465";"37.282248";"40.036696";"18.588506";"29.420532";"32.800348";"37.609180";"40.782208";"34.969962";"33.827891";"29.079090";"29.386087";"30.521181";"30.320855";"27.242136";"32.214782";"35.151891";"32.624026";"32.374608";"45.978458";"45.441905";"25.720169";"31.549220";"40.796416"
"1pm";" 5.550656";"18.640104";"15.577522";"24.248297";"15.875858";"15.390883";"24.228312";"41.299867";"15.961703";"28.932076";"20.131740";"39.777262";"17.120121";"24.908319";"37.617047";"33.924344";"17.411896";"16.911723";"12.383066";"19.243401";"30.059084";"11.762715";" 6.797021";"20.796018";" 2.856641";"20.542360";" 9.229212";"10.972650";"23.490632";"29.930029";"36.524744";"21.979828";"29.842431";"21.516245";"25.122388";"37.567436";"29.238378";"41.798491";"25.363796";"28.362409";"27.755927";"23.728057";"27.536005";"34.441675";"35.812052";"37.415323";"23.204463";"32.346588";"31.209302";"27.278313";"44.825275";"36.506900";"45.987412";"26.495604";"30.784453";"49.957271";"27.894843";"36.182611";"38.681502";"18.171770";"32.264368";"33.195255";"38.630553";"40.728157";"32.129941";"33.165669";"28.923061";"28.836602";"29.401376";"32.269240";"27.845039";"32.299918";"37.394561";"32.785536";"28.373962";"45.307320";"47.783766";"24.868372";"31.328451";"40.302308"
"2pm";" 5.706325";"24.149727";"17.208714";"22.855911";"17.601907";"15.512530";"20.856557";"45.860308";"17.818920";"31.158228";"19.770796";"40.781395";"15.668564";"22.469518";"36.580106";"30.232258";"17.516344";"19.469639";"12.429942";"15.752665";"24.883723";"13.393983";" 5.360024";"20.723639";" 1.932383";"18.687023";" 9.398070";"13.604627";"21.816304";"27.640823";"30.213436";"20.691331";"28.369204";"21.566711";"27.396549";"37.475266";"28.621709";"46.225398";"25.001134";"28.115802";"25.018227";"29.014118";"28.543602";"37.778280";"33.167591";"34.718414";"23.660943";"31.262098";"34.041689";"32.409072";"44.458616";"38.264498";"43.351877";"25.513460";"31.457765";"50.207522";"26.662454";"34.825557";"33.652551";"18.053776";"32.394450";"31.700428";"41.813739";"43.441576";"32.259564";"33.382914";"31.711065";"29.654081";"26.294675";"29.563256";"29.964866";"29.041380";"35.628248";"32.061028";"29.640553";"43.138264";"45.163592";"28.265627";"32.407094";"39.050705"
