"variable";"CODE_SEC";"RES_SEC";"W_IND"
"h4";"022";"001";37,4604
"h4";"022";"003";60,97095
"h4";"022";"013";66,87162
"h4";"022";"020";79,33967
"h4";"022";"023";66,68441
"h4";"022";"026";72,37045
"h4";"022";"029";43,50838
"h4";"022";"041";93,28884
"h4";"022";"042";28,35333
"h4";"022";"044";31,67055
"h4";"022";"048";95,36675
"h5";"022";"001";37,4604
"h5";"022";"003";60,97095
"h5";"022";"013";66,87162
"h5";"022";"020";79,33967
"h5";"022";"023";112,77523
"h5";"022";"026";72,37045
"h5";"022";"028";72,92888
"h5";"022";"029";43,50838
"h5";"022";"041";93,28884
"h5";"022";"042";28,35333
"h5";"022";"044";31,67055
"h5";"022";"047";53,63564
"h5";"022";"048";95,36675
"h6";"003";"004";38,408
"h6";"003";"005";27,10908
"h6";"003";"012";47,09582
"h6";"003";"013";43,50565
"h6";"003";"015";38,31137
"h6";"003";"024";90,71771
"h6";"003";"025";26,04719
"h6";"003";"027";45,3437
"h6";"003";"034";19,57011
"h6";"003";"036";150,2124
"h6";"003";"039";37,50611
"h6";"003";"044";27,94293
"h6";"003";"047";53,63564
"h6";"003";"058";53,53306
"h6";"003";"060";42,29204
"h6";"009";"010";66,9685
"h6";"009";"014";86,60845
"h6";"009";"017";121,89558
"h6";"009";"022";53,40467
"h6";"009";"027";109,42702
"h6";"009";"028";86,61594
"h6";"009";"031";43,92417
"h6";"009";"037";54,48146
"h6";"009";"038";79,5686
"h6";"009";"042";45,36764
"h6";"009";"049";71,64586
"h6";"009";"069";103,8542
"h6";"009";"073";155,2316
"h6";"013";"006";63,01476
"h6";"013";"012";133,87896
"h6";"013";"020";52,139
"h6";"013";"023";25,44392
"h6";"013";"024";77,17936
"h6";"013";"027";42,78683
"h6";"013";"029";40,17017
"h6";"013";"043";72,26512
"h6";"013";"045";51,01715
"h6";"013";"046";25,77596
"h6";"013";"047";238,77395
"h6";"013";"051";24,41093
"h6";"013";"059";143,7556
"h6";"013";"061";54,15303
"h6";"022";"001";37,4604
"h6";"022";"003";60,97095
"h6";"022";"005";12,95593
"h6";"022";"006";147,84406
"h6";"022";"013";66,87162
"h6";"022";"017";60,15244
"h6";"022";"019";22,40934
"h6";"022";"020";140,07967
"h6";"022";"023";112,77523
"h6";"022";"026";72,37045
"h6";"022";"027";35,4595
"h6";"022";"028";72,92888
"h6";"022";"029";83,67855
"h6";"022";"030";74,41993
"h6";"022";"039";57,03571
"h6";"022";"041";93,28884
"h6";"022";"042";28,35333
"h6";"022";"044";31,67055
"h6";"022";"045";36,06718
"h6";"022";"047";122,82377
"h6";"022";"048";95,36675
"h6";"022";"059";143,7556
"h6";"022";"062";141,6719
"h6";"022";"063";30,65608
"h6";"022";"066";50,34957
"h6";"023";"006";47,58125
"h6";"023";"021";33,22805
"h6";"023";"022";98,75979
"h6";"023";"025";39,51507
"h6";"023";"026";109,80908
"h6";"023";"029";43,50838
"h6";"023";"039";38,70125
"h6";"023";"047";31,42116
"h6";"023";"049";48,12976
"h6";"023";"055";81,7357
"h6";"023";"067";166,7496
"h6";"035";"014";53,73612
"h6";"035";"019";99,35517
"h6";"035";"020";88,79649
"h6";"035";"022";95,58936
"h6";"035";"027";31,53803
"h6";"035";"031";51,01341
"h6";"035";"045";47,48277
"h6";"035";"048";64,85873
"h6";"035";"055";35,42684
"h6";"035";"062";88,86561
"h6";"035";"072";51,08986
"h6";"035";"077";64,95382
"h6";"035";"080";64,15805
"h6";"070";"005";17,60338
"h6";"070";"040";73,49347
"h6";"070";"061";53,73994
"h6";"070";"069";22,36895
"h6";"070";"071";323,01962
"h6";"070";"072";157,99225
"h6";"070";"074";187,3494
"h6";"070";"075";72,6525
"h6";"070";"076";44,19321
"h7";"001";"004";29,32423
"h7";"001";"005";142,98852
"h7";"001";"006";195,42531
"h7";"001";"007";47,12774
"h7";"001";"008";27,52326
"h7";"001";"010";92,49739
"h7";"001";"012";59,91865
"h7";"001";"014";200,64813
"h7";"001";"022";47,58125
"h7";"001";"023";35,26661
"h7";"001";"024";42,37143
"h7";"001";"025";47,58125
"h7";"001";"026";130,87888
"h7";"001";"028";99,0293
"h7";"001";"038";52,66445
"h7";"001";"043";57,46315
"h7";"001";"046";115,4734
"h7";"001";"051";39,15356
"h7";"001";"073";210,4195
"h7";"001";"078";76,61134
"h7";"003";"004";117,93933
"h7";"003";"005";12,95593
"h7";"003";"006";63,02648
"h7";"003";"008";15,09608
"h7";"003";"009";84,16911
"h7";"003";"010";23,81396
"h7";"003";"012";290,54225
"h7";"003";"013";212,71249
"h7";"003";"014";140,51362
"h7";"003";"015";38,31137
"h7";"003";"016";68,156
"h7";"003";"019";32,23989
"h7";"003";"020";26,98352
"h7";"003";"022";66,6253
"h7";"003";"023";46,09082
"h7";"003";"024";90,71771
"h7";"003";"025";26,04719
"h7";"003";"026";46,50221
"h7";"003";"027";45,3437
"h7";"003";"028";51,44195
"h7";"003";"034";51,04798
"h7";"003";"035";249,1869
"h7";"003";"036";150,2124
"h7";"003";"038";60,85685
"h7";"003";"039";82,72099
"h7";"003";"041";51,4667
"h7";"003";"042";20,61635
