"variable","CODE_SEC","RES_SEC","W_IND"
"h7","009","031",43.92417
"h7","009","032",47.70793
"h7","009","044",80.98913
"h7","009","048",40.40793
"h7","009","049",70.0329
"h7","009","052",98.8649
"h7","009","053",273.77502
"h7","009","054",113.43302
"h7","009","063",27.11861
"h7","009","064",31.59028
"h7","009","067",115.4509
"h7","009","069",103.8542
"h7","009","078",103.4789
"h7","009","080",63.69139
"h7","019","048",85.31055
"h7","019","049",73.7035
"h7","019","050",17.6347
"h7","019","052",40.90296
"h7","019","062",44.97476
"h7","019","063",55.86931
"h7","019","064",129.29
"h7","019","069",43.59915
"h7","019","079",110.38024
"h7","022","044",31.67055
"h7","022","048",35.94917
"h7","022","049",62.04343
"h7","022","052",76.88136
"h7","022","054",68.35165
"h7","022","055",35.99849
"h7","022","061",53.73994
"h7","022","062",141.6719
"h7","022","063",72.0984
"h7","022","066",50.34957
"h7","022","077",110.5288
"h7","022","078",168.27678
"h7","025","031",68.27689
"h7","025","049",69.53275
"h7","025","052",157.89711
"h7","025","053",188.30762
"h7","025","054",42.30286
"h7","025","063",62.59158
"h7","025","064",45.66374
"h7","025","065",135.7668
"h7","025","079",147.8613
"h7","027","031",169.69424
"h7","027","032",45.33591
"h7","027","049",37.88057
"h7","027","052",112.06959
"h7","027","053",85.72103
"h7","027","054",158.27755
"h7","027","055",35.42684
"h7","027","062",75.17161
"h7","027","064",38.76664
"h7","027","066",50.34957
"h7","032","031",141.32405
"h7","032","044",299.35672
"h7","032","054",90.66033
"h7","032","055",44.24316
"h7","032","061",138.2043
"h7","032","062",183.90645
"h7","032","069",119.99637
"h7","032","080",87.21422
"h7","035","031",51.01341
"h7","035","032",41.6954
"h7","035","048",205.59546
"h7","035","049",26.2205
"h7","035","055",35.42684
"h7","035","062",177.73122
"h7","035","065",59.7954
"h7","035","069",24.49813
"h7","035","077",64.95382
"h7","035","080",64.15805
"h7","060","044",18.83994
"h7","060","053",87.01722
"h7","060","054",288.8559
"h7","060","061",656.59562
"h7","078","064",89.52057
"h7","078","065",123.75221
"h7","078","066",191.53004
"h7","078","077",593.93392
"h7","078","079",96.64145
"h8","003","044",55.88586
"h8","003","049",71.68955
"h8","003","050",59.17931
"h8","003","053",229.39532
"h8","003","054",46.73358
"h8","003","065",59.7954
"h8","003","069",136.459
"h8","003","077",45.50758
"h8","009","031",43.92417
"h8","009","032",209.35391
"h8","009","044",80.98913
"h8","009","048",76.3571
"h8","009","049",171.73549
"h8","009","052",191.06634
"h8","009","053",369.39857
"h8","009","054",181.78467
"h8","009","055",135.52574
"h8","009","062",62.50695
"h8","009","063",140.73423
"h8","009","064",31.59028
"h8","009","065",59.7954
"h8","009","067",115.4509
"h8","009","078",103.4789
"h8","009","080",63.69139
"h8","011","044",75.75984
"h8","011","048",32.77678
"h8","011","049",69.53275
"h8","011","053",171.60774
"h8","011","054",46.73358
"h8","011","055",75.53189
"h8","011","061",136.2083
"h8","011","062",44.16857
"h8","011","064",42.55212
"h8","011","067",107.9014
"h8","011","069",48.99626
"h8","013","031",124.00406
"h8","013","032",127.65659
"h8","013","044",37.67988
"h8","013","050",41.54461
"h8","013","053",90.04911
"h8","013","054",104.14925
"h8","013","055",34.98414
"h8","013","061",54.15303
"h8","013","067",71.84915
"h8","017","048",210.66092
"h8","017","049",121.97261
"h8","017","054",71.13016
"h8","017","055",55.34931
"h8","017","063",47.37368
"h8","017","064",38.42076
"h8","017","065",89.92785
"h8","017","066",43.98354
"h8","017","069",32.6048
"h8","017","078",81.35352
"h8","018","031",139.22581
"h8","018","048",122.1507
"h8","018","049",26.2205
"h8","018","050",41.54461
"h8","018","052",57.96194
"h8","018","062",196.50091
"h8","018","063",41.44232
"h8","018","065",133.94025
"h8","019","044",27.94293
"h8","019","048",150.86411
"h8","019","049",241.18999
"h8","019","050",59.17931
"h8","019","052",40.90296
"h8","019","053",48.96102
"h8","019","054",60.98482
"h8","019","055",95.09265
"h8","019","061",96.46856
"h8","019","062",126.5419
"h8","019","063",96.21157
"h8","019","064",129.29
"h8","019","066",141.9698
"h8","019","069",43.59915
"h8","019","079",110.38024
"h8","019","080",63.69139
"h8","022","044",31.67055
"h8","022","048",72.67693
"h8","022","049",62.04343
"h8","022","050",125.2195
"h8","022","052",145.36036
"h8","022","053",97.96935
"h8","022","054",111.51608
"h8","022","055",35.99849
"h8","022","061",53.73994
"h8","022","062",308.65405
"h8","022","063",224.84303
"h8","022","066",50.34957
"h8","022","067",110.0333
"h8","022","068",67.21421
"h8","022","077",232.3381
"h8","022","078",168.27678
"h8","022","080",235.79612
"h8","023","032",74.76183
