"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";" 98.3894918";"100.0000000";" 98.7976554";" 98.3665315";" 95.1283288";" 99.2879559";" 98.6509519";"100.0000000";" 98.7977618";" 99.4595036";" 99.6390997";" 99.6758919";" 96.7466597";" 99.6753740";" 99.5499658";"100.0000000";"100.0000000";"100.0000000";" 98.3022166";"100.0000000";"100.0000000";" 98.0356863";"100.0000000";"100.0000000";" 99.4298449";" 98.7719813";" 97.2537461";"100.0000000";"  0.8174184";"  1.8576596";"  0.0000000";"  0.6514637";"  1.7702752";"  0.0000000";"  0.0000000";"  2.3580061";"  1.8237407";"  0.0000000";"  0.7256787";"  1.2343263";"  1.7591539";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  2.9219479";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.3131740";"  0.0000000";"  0.6811991";"  0.0000000";"  0.7255577";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.6649759";"  0.6240993";"  0.3430564";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.8406702";"  0.7758287";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.5929439"
"5am";" 97.2081927";" 99.0115330";" 98.3926854";" 98.3577864";" 95.1283288";" 99.2879559";" 98.3462554";"100.0000000";" 96.2420680";" 99.4478846";" 97.9085379";" 99.6708884";" 95.1475756";"100.0000000";" 99.5458738";"100.0000000";" 99.2835632";"100.0000000";" 98.3022166";"100.0000000";"100.0000000";" 97.7017818";" 95.8154145";" 98.9820502";" 99.4331493";" 98.7719813";" 97.2057417";"100.0000000";"  3.2607324";"  1.8576596";"  0.0000000";"  0.6474753";"  2.1220638";"  2.0220977";"  1.6334885";"  2.3360762";"  2.9336406";"  0.7723577";"  1.5704521";"  1.7287767";"  1.7591539";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  3.0511760";"  0.0000000";"  0.5448771";"  0.0000000";"  0.0000000";"  0.3152237";"  0.0000000";"  0.6888636";"  0.0000000";"  0.7365516";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.6694397";"  0.6240993";"  0.3533278";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.3074424";"  0.7961014";"  0.4343880";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.6017766"
"6am";" 96.3542600";" 99.0015189";" 97.0350148";" 98.3356209";" 94.3362482";" 98.8011747";" 97.9978388";"100.0000000";" 94.0527589";" 99.4380764";" 97.8703645";" 99.6667259";" 91.5508902";" 98.1886996";" 99.5322136";" 97.7552736";" 98.7141219";" 99.6067386";" 96.5671348";"100.0000000";" 98.8853015";" 93.7739175";" 93.8353898";" 98.9342221";" 98.2210700";" 97.6102626";" 96.1047142";" 98.9267142";"  3.8213690";"  5.0198642";"  0.8889272";"  0.2730696";"  2.6852201";"  2.0360606";"  4.9361061";"  3.5873873";"  3.8610549";"  0.8038118";"  1.6258376";"  1.9629731";"  3.6345969";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  3.0917266";"  0.0000000";"  0.5684876";"  0.0000000";"  0.0000000";"  0.3407641";"  0.0000000";"  1.8202974";"  0.0000000";"  0.7365516";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.7109485";"  0.6660507";"  0.3506409";"  0.0000000";"  0.0000000";"  0.1501496";"  0.0000000";"  0.0000000";"  0.3289011";"  0.7778507";"  0.3725541";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.6384694"
"7am";" 92.3555228";" 95.7770080";" 89.8226992";" 94.2694821";" 86.1168460";" 92.2850791";" 96.7958847";"100.0000000";" 78.7760599";" 96.1231045";" 90.9172133";" 98.4085776";" 84.2455915";" 96.2711333";" 96.7238292";" 94.4193300";" 86.2362300";" 95.8664943";" 79.7074782";" 96.7317631";" 97.4969799";" 86.9144748";" 84.9847998";" 91.6394870";" 86.7628247";" 93.7302127";" 78.9828208";" 90.3273941";"  9.4523805";"  9.8283790";"  1.5821377";"  7.2228565";"  5.4043530";" 11.6991810";" 12.3740223";"  5.0313784";"  4.4313612";"  3.7571802";"  1.8834796";"  4.8592588";"  5.2775353";"  2.0740435";"  3.4122302";"  1.0514490";"  0.0000000";"  0.0000000";"  6.0897955";"  0.0000000";"  2.6032468";"  0.0000000";"  0.0000000";"  0.4264153";"  0.0000000";"  4.1785874";"  0.0000000";"  0.4589132";"  0.0000000";"  0.0000000";"  1.4178045";"  1.8989893";"  0.7842668";"  0.0000000";"  0.5121931";"  0.0000000";"  1.4059718";"  0.8141168";"  0.7097684";"  0.0000000";"  2.9040451";"  0.4537769";"  0.0000000";"  0.0000000";"  0.3140660";"  1.3110263";"  0.6262722";"  0.0000000";"  0.0000000";"  0.4721613";"  0.0000000";"  0.7081778"
"8am";"83.3504311";"81.8318462";"82.1633291";"88.7270605";"83.3782502";"86.7362479";"92.1821147";"96.7765045";"66.6346458";"84.6478061";"80.8127648";"95.5734144";"74.2804766";"92.3435079";"92.9799199";"82.1664939";"80.3263237";"84.7851838";"68.2633318";"96.2081245";"94.3361649";"75.5516360";"69.3100513";"87.2221922";"82.9457963";"89.1125168";"59.0081076";"75.2684687";"19.5189263";"10.5478586";" 1.7882926";"15.1138977";"11.7832541";"14.9492711";"20.8330325";" 6.3492178";" 6.4388154";"10.5510143";" 6.0904063";"10.8055541";"14.5126772";" 5.7265746";"15.8979308";" 4.0921497";" 0.6240984";" 2.3078695";"10.0207933";" 1.0468265";" 4.8852698";" 4.6436315";" 2.3854079";" 3.5057423";" 0.8800229";" 9.9284680";" 2.7606146";" 2.1964641";" 2.5427449";" 0.0000000";" 2.4404362";" 2.4805591";" 0.9185167";" 0.6494589";" 5.7027185";" 2.5767825";" 2.9043146";" 0.0000000";" 2.4751656";" 1.0662035";" 6.5807824";" 0.4890122";" 0.7168666";" 1.7844254";" 0.3171168";" 1.3088350";" 0.5889486";" 0.0000000";" 1.0195653";" 0.9313306";" 0.8986105";" 0.8188531"
"9am";"77.4264128";"74.2013242";"80.7586440";"84.2633523";"81.4395149";"81.9814157";"88.6314774";"91.6955640";"65.7266140";"79.6554788";"80.0205827";"95.8007011";"69.9281299";"86.3505628";"91.5374096";"77.8472412";"74.3069732";"81.5661347";"66.7695816";"96.3873053";"89.2314249";"69.1099947";"65.4016625";"87.5832488";"80.0996632";"88.9115557";"52.8352542";"67.6615244";"23.2068506";"10.7589967";" 1.9022776";"16.0209401";"13.5385888";"14.9320284";"22.8449706";" 8.8023047";" 6.3208538";"16.3122926";"14.2925486";"11.1231838";"15.2554398";" 6.3387585";"16.5927865";"10.2566456";" 1.4936722";" 2.5052989";"13.3201015";" 3.3421795";" 6.7304193";" 7.3494407";" 2.5669972";" 5.0357268";" 1.0169502";" 9.4981430";" 5.5325480";" 2.1942836";" 6.4330834";" 0.0000000";" 2.6785450";" 2.5241625";" 0.9785653";" 1.4299816";" 6.7360236";" 2.7740410";" 4.3991979";" 0.0000000";" 2.5765691";" 1.0856429";" 7.9349510";" 0.8246874";" 0.7588149";" 1.7198677";" 0.6713913";" 1.4487511";" 1.6665763";" 0.0000000";" 1.0795637";" 0.8845835";" 0.8866378";" 1.2970126"
"10am";"78.4181710";"69.0149252";"80.2987399";"83.4672645";"81.4817163";"80.5133692";"89.7033447";"90.3470377";"63.5884129";"79.1214975";"76.7111524";"95.0866759";"66.4073782";"87.1637900";"90.9420717";"81.2702865";"74.3605110";"82.0005996";"67.6680557";"96.5503447";"89.2098574";"67.0803917";"64.8174126";"86.6677749";"80.1284219";"86.4195706";"52.9394801";"64.2104205";"23.9322051";" 9.7615094";" 1.9347827";"17.3736403";"15.6186449";"17.1837152";"24.6465090";" 9.6229314";" 6.5662534";"11.9673975";"14.9108284";"12.3123858";"15.0359813";" 9.8664496";"19.4849264";"11.0619891";" 4.6248238";" 2.7589778";"13.9210063";" 3.6005224";" 6.9254893";" 7.4948928";" 0.0000000";" 5.3316120";" 1.0529449";" 9.9401237";" 5.0939010";" 2.8195351";"10.2301048";" 0.0000000";" 2.5099707";" 2.4434982";" 2.4126647";" 1.4449698";" 6.8386508";" 1.5035718";" 5.3728438";" 0.0000000";" 2.6125934";" 1.0732240";"10.1997498";" 2.1409090";" 0.7624872";" 1.7880641";" 0.6727594";" 0.5851657";" 2.0924931";" 0.0000000";" 1.1060479";" 0.8336409";" 0.8882046";" 2.2256849"
"11am";"77.9257500";"70.1268791";"80.2888414";"84.3836950";"80.4428094";"81.0983845";"89.1812633";"90.6610109";"62.3869092";"80.4706300";"78.8685908";"94.6308837";"69.9015043";"89.7100440";"90.2081330";"79.8873501";"74.9320627";"81.6253710";"65.6072350";"95.8700682";"88.5492685";"66.8977386";"65.4122229";"86.2191307";"80.3009065";"88.3350638";"55.1816407";"66.3741318";"23.6073011";" 8.9490397";" 1.7828350";"17.5485467";"15.3805907";"17.4419294";"25.8303394";" 9.7685711";" 6.3396560";"13.4669566";"11.7332124";"12.3049815";"14.7751703";"10.6673114";"19.6273244";"11.8499566";" 5.6712644";" 2.6885492";"12.0453414";" 2.3097447";" 6.8563867";" 6.9608053";" 0.0000000";" 5.4681365";" 0.9075380";"10.5110751";" 5.1179958";" 3.4517742";" 6.4849071";" 0.0000000";" 3.8018441";" 2.5837816";" 0.8735642";" 2.2910315";" 6.2195248";" 0.0000000";" 5.3198210";" 0.0000000";" 2.0571133";" 1.0563634";" 4.6601087";" 1.3480189";" 0.7394783";" 1.7886110";" 0.3207099";" 0.5214893";" 2.1392039";" 0.0000000";" 1.0238068";" 0.8675967";" 0.9235101";" 1.5112115"
