"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"6am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"842.2785";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"7am";"1198.1619";"   0.0000";"1499.2289";"   0.0000";" 656.0130";"1629.2522";"   0.0000";"   0.0000";"2246.8157";"   0.0000";" 948.1556";"   0.0000";" 793.1780";"   0.0000";"   0.0000";"   0.0000";"1512.8679";"   0.0000";"1056.5161";"   0.0000";"   0.0000";"1757.6278";"1401.6951";"   0.0000";"4623.5178";" 584.4105";"1007.7960";"1466.0052";" 685.5924";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1008.1251";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"2622.3805";"1073.4144";"3494.7913";" 732.0239";"1085.5259";"2496.8424";" 708.0104";"   0.0000";"3956.3224";" 744.1458";"1966.8255";"   0.0000";"1712.6499";"1209.2621";"   0.0000";"   0.0000";"2758.7945";"1039.0105";"3059.2503";" 971.8264";"   0.0000";"3412.3327";"2781.7014";" 825.3808";"8644.0788";" 897.9714";"3375.7026";"3083.0664";"1519.7726";"   0.0000";"   0.0000";"1443.4245";"1135.3706";"   0.0000";"1691.0440";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1232.0746";" 713.3178";"   0.0000";"1119.7087";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";" 4224.6385";" 2201.0687";" 4989.9277";"  592.5254";" 1659.3524";" 2945.4761";"  863.9439";"    0.0000";" 5027.6132";" 1188.1821";" 2674.0794";"    0.0000";" 1887.0645";" 1291.5007";"    0.0000";"    0.0000";" 3356.2040";" 1245.1139";" 3508.9403";"  857.6137";"    0.0000";" 4198.7690";" 3596.2351";" 1312.9538";"11223.3054";" 1429.7735";" 4049.2745";" 4521.0631";" 1840.2087";"    0.0000";"    0.0000";" 1714.8786";" 1465.4958";"    0.0000";" 1968.9298";"    0.0000";"    0.0000";"  689.8342";"    0.0000";" 1333.7210";"  801.7089";"    0.0000";" 1160.6818";"    0.0000";"    0.0000";"    0.0000";"  864.6323";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"10am";" 4687.4204";" 2919.2123";" 5241.8241";"    0.0000";" 1701.9894";" 3403.0028";"  938.5713";"    0.0000";" 5673.8278";"  915.9086";" 2595.7756";"  674.1182";" 1876.4477";" 1295.7840";"    0.0000";"    0.0000";" 3801.9642";" 1232.9521";" 3715.7583";" 1012.1098";"    0.0000";" 4454.8916";" 3858.8743";"  924.8560";"12838.2707";" 1601.8416";" 4217.9351";" 4724.9155";" 1754.1876";"    0.0000";"    0.0000";" 1884.7361";" 1774.8830";"    0.0000";" 2112.5811";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1543.5782";"  802.7598";"    0.0000";" 1484.9068";"    0.0000";"    0.0000";"    0.0000";"  904.4121";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"11am";" 4823.8754";" 3377.0735";" 3857.5519";"    0.0000";" 1985.7652";" 3522.6502";" 1184.8645";"    0.0000";" 5125.0818";"  985.8698";" 2033.4898";"  680.5006";" 1721.0171";" 1470.7142";"    0.0000";"    0.0000";" 3469.2714";" 1137.5677";" 3298.4680";" 1085.3068";"    0.0000";" 4463.4798";" 3821.5105";"  930.9125";"11547.9379";" 1569.5003";" 4178.1995";" 4173.8664";" 1734.9355";"    0.0000";"    0.0000";" 1734.3292";" 1766.9623";"    0.0000";" 2282.3379";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1494.7542";"  802.7598";"    0.0000";" 1404.0557";"    0.0000";"    0.0000";"    0.0000";"  847.2594";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"12am";"4238.2437";"4137.0169";"3258.7460";"   0.0000";"1173.4754";"3114.1445";"1084.8249";"   0.0000";"4473.5025";" 597.7805";"1443.8343";"   0.0000";"1392.2142";" 958.8333";"   0.0000";"   0.0000";"2750.4990";"1034.1118";"2382.0795";" 552.4196";"   0.0000";"4031.0900";"3345.1629";" 749.2254";"9919.9346";" 941.1305";"3611.1635";"3972.6260";"1266.0252";"   0.0000";"   0.0000";"1462.9238";"1543.8571";"   0.0000";"1597.5316";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1324.0079";" 761.1848";"   0.0000";"1383.0899";"   0.0000";"   0.0000";"   0.0000";" 756.6597";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 590.9164";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"1pm";" 4119.4453";" 3950.3370";" 3527.9040";"  702.2033";" 1450.3723";" 2748.1073";"  912.9426";"    0.0000";" 5123.4210";"  749.9639";" 1953.9675";"    0.0000";" 1653.7715";" 1104.4460";"    0.0000";"    0.0000";" 2816.5131";" 1192.8982";" 2927.2600";"  956.6569";"    0.0000";" 4068.5126";" 4004.3341";"  786.0656";"10394.4201";" 1461.1183";" 4025.3423";" 4484.2547";" 1504.2724";"    0.0000";"    0.0000";" 1411.6583";" 1688.3599";"    0.0000";" 1813.1564";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  998.4225";"  698.6484";"    0.0000";" 1243.6940";"  650.0563";"    0.0000";"    0.0000";"  655.7676";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  590.9164";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"2pm";" 4333.0722";" 3974.6915";" 3334.5319";"  691.1719";" 1617.5775";" 2862.9253";" 1314.6267";"    0.0000";" 6202.4578";"  888.1349";" 2451.6893";"    0.0000";" 2000.3893";" 1836.3574";"    0.0000";"    0.0000";" 3149.9892";" 1090.5912";" 3165.7530";" 1330.1232";"    0.0000";" 3950.3144";" 4124.0985";" 1177.2121";"12034.1617";" 1431.1807";" 3867.6276";" 5196.9957";" 1617.9295";"  815.0435";"    0.0000";" 1690.0967";" 2194.4085";"    0.0000";" 2027.1372";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1083.6114";"  853.5163";"    0.0000";" 1757.9589";"    0.0000";"    0.0000";"    0.0000";"  989.6298";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  689.7812";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
