"variable","CODE_SEC","RES_SEC","W_IND"
"h6","022","005",12.95593
"h6","022","006",147.84406
"h6","022","013",66.87162
"h6","022","017",60.15244
"h6","022","019",22.40934
"h6","022","020",102.14053
"h6","022","023",112.77523
"h6","022","026",72.37045
"h6","022","028",72.92888
"h6","022","029",43.50838
"h6","022","039",57.03571
"h6","022","041",93.28884
"h6","022","044",31.67055
"h6","022","045",36.06718
"h6","022","047",53.63564
"h6","022","048",95.36675
"h6","022","059",143.7556
"h6","022","062",141.6719
"h6","022","063",30.65608
"h7","001","004",29.32423
"h7","001","005",90.70197
"h7","001","006",121.49641
"h7","001","010",92.49739
"h7","001","012",59.91865
"h7","001","022",47.58125
"h7","001","026",130.87888
"h7","001","028",99.0293
"h7","001","038",52.66445
"h7","001","043",57.46315
"h7","001","046",57.7367
"h7","001","051",39.15356
"h7","001","073",109.5079
"h7","003","004",41.12333
"h7","003","006",63.02648
"h7","003","009",84.16911
"h7","003","012",235.28097
"h7","003","013",43.50565
"h7","003","014",79.9689
"h7","003","015",38.31137
"h7","003","022",66.6253
"h7","003","028",51.44195
"h7","003","034",31.47787
"h7","003","035",53.97085
"h7","003","036",150.2124
"h7","003","038",60.85685
"h7","003","046",52.09525
"h7","003","050",59.17931
"h7","003","057",23.19742
"h7","003","058",53.53306
"h7","006","001",74.9208
"h7","006","004",43.6206
"h7","006","005",164.71113
"h7","006","007",168.15053
"h7","006","010",47.38675
"h7","006","011",67.41326
"h7","006","012",63.31429
"h7","006","013",66.87162
"h7","006","014",88.2186
"h7","006","022",101.15166
"h7","006","023",49.9326
"h7","006","025",95.14694
"h7","006","026",114.04733
"h7","006","027",26.56533
"h7","006","029",38.556
"h7","006","038",140.26244
"h7","006","039",30.8699
"h7","006","041",45.27916
"h7","006","042",24.75129
"h7","006","055",90.77615
"h7","006","066",50.34957
"h7","009","006",70.59719
"h7","009","007",30.26244
"h7","009","008",69.27441
"h7","009","010",120.08103
"h7","009","011",57.31356
"h7","009","014",106.66018
"h7","009","017",84.47975
"h7","009","022",46.76122
"h7","009","025",128.06612
"h7","009","026",47.71888
"h7","009","027",54.71351
"h7","009","028",90.94992
"h7","009","030",32.24425
"h7","009","031",43.92417
"h7","009","033",142.61
"h7","009","035",98.99623
"h7","009","038",39.28466
"h7","009","041",30.90329
"h7","009","042",68.84658
"h7","009","044",53.0462
"h7","009","046",78.1308
"h7","009","049",35.82293
"h7","009","052",40.90296
"h7","009","053",224.814
