"district","hour","act1","act2","act3","act4","act5"
"001","4am",95.91458,0,0,0,4.0854169
"002","4am",95.17195,0,0,0,4.8280548
"003","4am",98.12728,0.6703734,0,0,1.2023446
"004","4am",99.45541,0,0,0,0.5445898
"005","4am",94.87669,3.5533505,1.3183207,0,0.2516377
"006","4am",98.32236,0.2548876,0,0,1.4227572
"007","4am",97.31181,1.2120243,0,0,1.4761637
"008","4am",100,0,0,0,0
"009","4am",97.4043,1.9774797,0,0,0.6182238
"010","4am",98.88484,0.5746638,0,0,0.5404964
"011","4am",99.6391,0.3609003,0,0,0
"012","4am",98.74558,0.930309,0,0,0.3241081
"013","4am",95.56954,4.4304571,0,0,0
"014","4am",99.07698,0.9230231,0,0,0
"015","4am",97.91921,1.0504764,0,0,1.0303134
"016","4am",100,0,0,0,0
"017","4am",99.16326,0.8367392,0,0,0
"018","4am",99.39949,0,0,0,0.6005053
"019","4am",98.83982,0.4896982,0.6704806,0,0
"020","4am",100,0,0,0,0
"021","4am",100,0,0,0,0
"022","4am",95.64679,3.4388983,0,0,0.9143149
"023","4am",94.7582,2.8035923,0,0,2.4382046
"024","4am",99.59241,0,0,0,0.4075927
"025","4am",97.95228,1.0935274,0,0,0.9541967
"026","4am",97.49443,0,0,0,2.505567
"027","4am",96.49736,2.6423473,0,0,0.8602899
"028","4am",98.79486,0.8903515,0,0,0.3147842
"029","4am",99.18258,0.5439857,0,0,0.2734327
"030","4am",97.49177,1.4880578,0,0,1.020174
"031","4am",98.56717,1.4328263,0,0,0
"032","4am",94.54633,5.4536739,0,0,0
"033","4am",98.22972,1.2951691,0,0,0.4751061
"034","4am",100,0,0,0,0
"035","4am",98.0483,1.9516988,0,0,0
"036","4am",97.74673,1.6042908,0,0,0.6489765
"037","4am",94.37948,5.1959177,0,0,0.4246066
"038","4am",98.34625,1.6537531,0,0,0
"039","4am",98.60432,0.6699967,0,0,0.7256787
"040","4am",98.66243,0.1054216,0,0,1.232151
"041","4am",98.24085,1.0776555,0,0,0.6814984
"042","4am",100,0,0,0,0
"043","4am",99.29153,0.7084736,0,0,0
"044","4am",99.4274,0.5725958,0,0,0
"045","4am",99.31366,0.6863426,0,0,0
"046","4am",100,0,0,0,0
"047","4am",96.70047,2.1831571,0,0,1.1163777
"048","4am",99.30153,0.6984688,0,0,0
"049","4am",100,0,0,0,0
"050","4am",95.8361,3.4105974,0,0,0.7533041
"051","4am",99.29328,0.7067249,0,0,0
"052","4am",100,0,0,0,0
"053","4am",99.35944,0.6405609,0,0,0
"054","4am",93.7994,5.5193963,0,0,0.6811991
"055","4am",95.25096,3.0019991,0.6333364,0,1.1137043
"056","4am",96.28123,3.7187716,0,0,0
"057","4am",98.82203,0,0,0,1.1779734
"058","4am",100,0,0,0,0
"059","4am",98.59441,1.4055927,0,0,0
"060","4am",99.27184,0,0,0,0.7281604
"061","4am",98.08568,1.9143156,0,0,0
"062","4am",98.43735,1.562647,0,0,0
"063","4am",98.90338,1.0966226,0,0,0
"064","4am",99.49367,0.5063266,0,0,0
"065","4am",98.58748,0.7475435,0,0,0.6649759
"066","4am",97.50315,0.8726488,0,0,1.6242028
"067","4am",96.74812,3.2518773,0,0,0
"068","4am",96.41966,2.8829951,0,0,0.6973455
"069","4am",96.96188,3.0381223,0,0,0
"070","4am",98.62294,1.3770585,0,0,0
"071","4am",96.91945,3.0805541,0,0,0
"072","4am",93.60818,6.3918227,0,0,0
"073","4am",97.77864,1.2211521,0,0,1.0002091
"074","4am",96.91246,1.9561535,0,0,1.1313878
"075","4am",97.96807,2.0319292,0,0,0
"076","4am",100,0,0,0,0
"077","4am",99.339,0,0,0,0.6610011
"078","4am",97.67388,0.7219207,0,0,1.6041965
"079","4am",98.04345,1.9565471,0,0,0
"080","4am",99.40706,0,0,0,0.5929439
"001","5am",93.92436,2.049904,0,0,4.0257378
"002","5am",94.2312,0.988467,0,0,4.7803311
"003","5am",96.71182,1.7986742,0,0,1.1850011
"004","5am",99.45249,0,0,0,0.5475054
"005","5am",94.87669,3.5533505,1.3183207,0,0.2516377
"006","5am",98.32236,0.2548876,0,0,1.4227572
"007","5am",97.01125,1.5171441,0,0,1.4716043
"008","5am",100,0,0,0,0
"009","5am",93.46193,4.2206034,1.7242619,0,0.5932016
"010","5am",98.86087,0.5870173,0,0,0.5521154
"011","5am",97.205,2.7950029,0,0,0
"012","5am",98.12468,1.5462109,0,0,0.3291116
"013","5am",92.18771,7.8122876,0,0,0
"014","5am",99.39373,0.6062697,0,0,0
"015","5am",97.90029,1.0600281,0,0,1.0396817
"016","5am",100,0,0,0,0
