"district","hour","age1","age2","age3","age4"
"001","4am",41.94808,26.396328,25.1643,6.49129
"002","4am",39.905685,21.236918,25.93711,12.920283
"003","4am",28.140146,19.525372,38.31606,14.018422
"004","4am",17.886909,16.817219,46.65245,18.643423
"005","4am",29.094729,19.984169,33.45574,17.465359
"006","4am",40.123094,18.473574,28.08483,13.318498
"007","4am",23.572018,18.390591,41.97249,16.064901
"008","4am",11.142901,16.886358,44.94105,27.029687
"009","4am",15.437824,31.248148,32.64248,20.671543
"010","4am",14.218405,23.237854,42.66324,19.880501
"011","4am",13.966482,20.621803,46.24673,19.164981
"012","4am",14.324585,16.502413,40.28944,28.883557
"013","4am",16.589139,17.755597,50.76866,14.886607
"014","4am",14.054263,19.30847,46.69278,19.944484
"015","4am",15.581553,15.692432,47.05266,21.673352
"016","4am",10.722541,16.239371,54.00626,19.031832
"017","4am",18.957232,16.71643,41.78944,22.536896
"018","4am",26.800224,24.832464,34.47856,13.888747
"019","4am",18.160664,17.826587,47.07864,16.93411
"020","4am",21.928297,19.109487,44.04944,14.912771
"021","4am",23.626398,28.594517,34.16218,13.616907
"022","4am",55.544847,21.914784,16.44926,6.091108
"023","4am",24.630678,24.579047,43.95747,6.832805
"024","4am",19.167897,17.82305,49.93897,13.07008
"025","4am",52.001466,20.26442,21.03542,6.698698
"026","4am",25.197322,21.876299,38.15527,14.771114
"027","4am",11.854385,24.7332,46.14551,17.266907
"028","4am",28.230517,31.68768,29.09393,10.987871
"029","4am",14.541069,17.067091,47.85207,20.539772
"030","4am",13.748315,4.578289,54.32027,27.353124
"031","4am",13.648906,9.44688,51.83116,25.073059
"032","4am",11.187668,18.902982,52.45471,17.454642
"033","4am",13.238907,16.307828,49.90399,20.549278
"034","4am",7.570564,11.723121,55.60367,25.102645
"035","4am",13.54737,13.35666,49.94267,23.153299
"036","4am",11.538316,9.562764,53.65747,25.241448
"037","4am",11.284211,15.585729,53.58274,19.547318
"038","4am",11.479928,11.363671,54.02724,23.129166
"039","4am",16.941733,21.80859,45.54446,15.705217
"040","4am",17.401775,8.757093,53.25055,20.590582
"041","4am",13.941944,13.42891,51.15948,21.46967
"042","4am",14.395906,13.649102,55.34479,16.610201
"043","4am",10.702629,12.47737,51.57701,25.242989
"044","4am",7.509667,10.389291,51.45262,30.648419
"045","4am",13.32869,10.098856,58.90649,17.665961
"046","4am",14.413589,10.767554,54.96572,19.853141
"047","4am",10.981017,10.752932,58.44122,19.824828
"048","4am",15.78108,14.554496,53.26839,16.396037
"049","4am",8.934277,12.570791,60.59748,17.897453
"050","4am",6.720886,17.264379,60.42365,15.591081
"051","4am",12.431844,8.861682,57.03219,21.674283
"052","4am",12.965766,8.723262,60.7601,17.550869
"053","4am",10.054542,12.491312,60.16031,17.293834
"054","4am",13.16136,14.87376,54.45001,17.514869
"055","4am",12.253145,8.511885,62.52627,16.708703
"056","4am",4.99649,8.699344,49.23044,37.073725
"057","4am",13.935028,9.129268,57.45173,19.483976
"058","4am",13.13915,9.263813,56.94158,20.655459
"059","4am",13.132411,13.890171,48.79238,24.185037
"060","4am",10.172964,15.766403,54.68468,19.375958
"061","4am",10.960617,17.860355,54.56355,16.615483
"062","4am",11.250442,9.917019,62.21418,16.618359
"063","4am",11.665902,11.218637,62.3882,14.727257
"064","4am",10.082598,12.271026,56.0882,21.558179
"065","4am",11.016372,15.493101,53.47503,20.015497
"066","4am",13.440389,8.391033,56.59338,21.575195
"067","4am",10.101298,16.235189,52.93616,20.727354
"068","4am",10.312394,5.33589,57.8096,26.542114
"069","4am",5.610393,7.068748,69.46192,17.858943
"070","4am",10.762768,13.224021,53.46771,22.5455
"071","4am",6.174831,21.112744,49.46442,23.248005
"072","4am",10.349522,9.281625,57.33924,23.029615
"073","4am",10.565157,12.782008,45.71594,30.936896
"074","4am",3.265354,16.423649,45.44027,34.870733
"075","4am",15.247893,13.650869,46.82031,24.280929
"076","4am",10.898275,11.251796,48.6611,29.188832
"077","4am",7.639883,17.192627,49.81931,25.348181
"078","4am",10.08291,10.676713,54.83663,24.403745
"079","4am",9.584773,13.188032,52.43252,24.794678
"080","4am",8.29749,9.160672,53.98518,28.556658
"001","5am",40.746189,26.855813,26.00153,6.396466
"002","5am",39.51123,21.026998,26.6692,12.79257
"003","5am",28.449888,19.243723,38.49018,13.816209
"004","5am",17.982671,16.907254,46.36684,18.743235
"005","5am",29.094729,19.984169,33.45574,17.465359
"006","5am",40.123094,18.473574,28.08483,13.318498
"007","5am",23.499213,18.333789,42.15172,16.015283
"008","5am",11.193272,16.962692,44.69216,27.151873
"009","5am",17.300884,29.219771,33.64447,19.834878
"010","5am",14.524055,23.737393,41.43068,20.307867
"011","5am",13.822524,20.409245,46.80079,18.967439
"012","5am",13.854787,16.757178,40.05857,29.329461
"013","5am",16.917885,18.599781,50.03053,14.451809
"014","5am",14.239164,18.575774,46.97818,20.206877
"015","5am",15.723232,15.835118,46.57123,21.870421
"016","5am",10.928086,15.637016,54.03824,19.396662
"017","5am",18.820101,17.311945,41.49408,22.37387
"018","5am",27.183717,24.304419,34.42438,14.087486
"019","5am",18.160664,17.826587,47.07864,16.93411
"020","5am",22.448656,19.562956,42.72174,15.266652
"021","5am",23.760178,28.756428,33.78938,13.69401
"022","5am",54.907523,22.454295,16.61696,6.021218
"023","5am",23.769705,25.52372,44.11261,6.593962
"024","5am",17.824651,17.894776,51.15789,13.122679
"025","5am",51.70009,20.146977,21.49306,6.659876
"026","5am",25.197322,21.876299,38.15527,14.771114
"027","5am",12.061599,24.312811,46.05686,17.568731
"028","5am",28.715538,30.992307,29.27272,11.019432
"029","5am",14.966279,17.030524,47.97449,20.028703
"030","5am",13.748315,4.578289,54.32027,27.353124
"031","5am",13.835708,9.576172,51.17191,25.416215
"032","5am",11.119175,17.884209,53.64884,17.347781
"033","5am",13.191495,16.249426,50.08339,20.475685
"034","5am",7.476901,11.578082,56.15294,24.792073
"035","5am",13.16729,14.412837,49.91615,22.503719
"036","5am",11.431007,9.473828,54.08847,25.006698
"037","5am",11.352649,16.779094,52.20238,19.665872
"038","5am",11.538583,12.194089,53.01999,23.247341
"039","5am",17.051109,21.949386,45.19289,15.806611
"040","5am",17.304116,9.209325,53.01153,20.475027
"041","5am",13.941944,13.42891,51.15948,21.46967
"042","5am",14.564117,13.808587,54.82301,16.804285
"043","5am",10.657077,12.424264,51.78311,25.13555
"044","5am",7.544783,10.437873,51.22561,30.791736
"045","5am",13.508219,9.469395,59.11848,17.90391
"046","5am",14.209717,10.615253,55.6027,19.57233
"047","5am",11.466671,10.326063,57.50565,20.701614
"048","5am",15.78108,14.554496,53.26839,16.396037
"049","5am",9.473229,12.329294,60.64385,17.553626
"050","5am",6.759444,17.363424,60.19661,15.680526
"051","5am",12.751138,8.108077,56.90983,22.230955
"052","5am",13.050624,9.301109,59.98253,17.665735
"053","5am",10.054542,12.491312,60.16031,17.293834
"054","5am",13.309445,14.778745,54.19987,17.711937
"055","5am",12.491946,8.677772,61.79594,17.034338
"056","5am",5.072199,8.83116,48.46116,37.635482
"057","5am",13.762175,9.016027,57.9795,19.242293
"058","5am",13.455904,9.487142,55.90354,21.153414
"059","5am",13.134455,13.892333,48.78441,24.188802
"060","5am",9.963528,15.441813,55.6176,18.977056
"061","5am",11.122467,18.124089,53.89261,16.860835
"062","5am",9.812552,9.943097,63.58229,16.662059
"063","5am",10.942079,10.688893,63.24349,15.125542
"064","5am",10.082598,12.271026,56.0882,21.558179
"065","5am",11.090323,14.925824,53.834,20.149857
"066","5am",13.440389,8.391033,56.59338,21.575195
"067","5am",9.651249,15.154708,53.8461,21.347945
"068","5am",10.581874,5.475326,56.7071,27.235703
"069","5am",5.795453,7.301911,68.45461,18.448022
"070","5am",10.49269,13.833607,53.69395,21.979749
"071","5am",6.28513,19.703614,50.34798,23.663274
"072","5am",10.561433,10.48892,55.44849,23.501157
"073","5am",8.907096,12.911328,46.93168,31.249896
"074","5am",3.350679,16.852806,44.01459,35.78192
"075","5am",15.812942,13.580545,46.45067,24.155844
"076","5am",10.956913,11.312337,48.38487,29.345884
"077","5am",7.681848,17.287063,49.54367,25.487415
"078","5am",10.164436,10.763041,54.47146,24.601065
"079","5am",9.584773,13.188032,52.43252,24.794678
"080","5am",8.421091,9.297132,53.29973,28.982046
"001","6am",40.19755,26.949162,26.54295,6.310339
"002","6am",39.911513,20.226933,26.93938,12.92217
"003","6am",27.795638,18.801184,39.90469,13.498484
"004","6am",18.225389,16.592856,46.18554,18.996219
"005","6am",29.370093,20.91928,32.07997,17.630658
"006","6am",39.690748,18.993253,27.62284,13.693161
"007","6am",23.569064,18.731787,41.63626,16.062888
"008","6am",11.319205,16.028456,45.19499,27.457353
"009","6am",16.718347,29.053284,35.06135,19.167019
"010","6am",14.2389,22.769284,42.32318,20.668632
"011","6am",13.656057,21.75529,45.06869,19.519966
"012","6am",14.030016,16.254308,40.01527,29.700406
"013","6am",17.132942,19.484125,49.54944,13.833493
