"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"001","4am",0,626.4478,898.9566,1873.9034
"002","4am",0,330.4702,948.973,1326.2143
"003","4am",282.5325,2156.8887,2773.1464,4631.8625
"004","4am",154.02801,1525.5792,1434.2831,1492.0674
"005","4am",132.4699,774.1539,1155.1708,1933.4403
"006","4am",543.80051,1142.1355,1835.1259,3653.5577
"007","4am",0,893.8565,1645.2061,3401.8295
"008","4am",166.27973,881.1773,780.6863,1120.5263
"009","4am",177.42982,1903.0845,2212.6422,2894.3047
"010","4am",94.94893,1670.7584,1860.7586,1705.5517
"011","4am",176.72023,3688.4702,2158.2099,1050.3447
"012","4am",459.65447,3064.9683,2244.2526,2327.1923
"013","4am",485.15261,2505.819,1842.5677,1787.8547
"014","4am",408.09628,3824.8112,2675.8612,2962.1138
"015","4am",65.49629,1249.9591,1291.7661,1787.9231
"016","4am",291.57799,1086.3402,1540.7889,1885.2713
"017","4am",216.69595,1982.0697,1315.4004,2591.8786
"018","4am",1554.64408,3761.808,1811.4783,2086.7112
"019","4am",645.78011,1845.6077,1923.6622,1067.9553
"020","4am",1744.6435,2912.0518,1348.223,182.1759
"021","4am",319.31173,1232.5484,1438.7893,1135.6516
"022","4am",290.73022,1784.8511,721.8013,2343.1199
"023","4am",261.35281,1081.7323,1721.5669,1981.564
"024","4am",419.55786,3300.8141,1088.5229,1085.1343
"025","4am",0,653.4313,647.7246,1836.4974
"026","4am",339.43694,1130.1181,1170.6792,3405.3757
"027","4am",43.63998,2248.6736,1573.9032,1888.3523
"028","4am",97.65707,1730.4526,2901.5551,2273.6597
"029","4am",159.09773,1959.2443,2226.5694,2125.0943
"030","4am",60.8028,949.0913,1247.2292,1796.3568
"031","4am",784.79384,2576.0509,2961.005,1414.585
"032","4am",148.04301,1878.4341,2521.0772,2094.4596
"033","4am",357.77957,3432.3589,3299.3977,2719.6491
"034","4am",65.55139,645.9889,871.403,801.0973
"035","4am",117.68229,2009.7145,2081.959,2007.4922
"036","4am",238.38695,1441.5009,2150.2873,1850.46
"037","4am",198.80542,3415.5219,2666.7393,1923.0768
"038","4am",311.98556,1202.6481,2348.5802,1684.156
"039","4am",88.97998,1059.6809,1762.6274,1605.7239
"040","4am",386.69144,2366.9168,2830.96,3893.7234
"041","4am",209.61064,1246.5772,1514.8506,2343.825
"042","4am",169.07278,965.8045,1170.6806,1041.0062
"043","4am",671.8084,1717.9941,2039.8048,1881.682
"044","4am",426.92356,2256.1074,1307.9372,577.9104
"045","4am",92.80706,2697.6819,1733.8722,1260.7216
"046","4am",135.95012,1816.3554,1852.1212,1503.1328
"047","4am",376.10371,2337.1904,1938.4965,1853.0622
"048","4am",437.3957,1927.0962,1560.4681,1329.4017
"049","4am",155.03816,1589.091,1929.8976,1132.8016
"050","4am",174.16023,1109.3658,1075.4265,633.2012
"051","4am",161.55377,1149.9081,730.126,982.9686
"052","4am",230.51563,1440.7643,1440.4179,2311.6032
"053","4am",564.15948,1877.1735,2073.8004,2472.0656
"054","4am",427.9016,2755.9989,1819.058,1152.6155
"055","4am",264.50987,1763.4452,1517.3304,1135.1408
"056","4am",471.22292,2618.268,2773.742,1139.0578
"057","4am",63.1554,840.9524,1113.1267,1378.8587
"058","4am",341.67029,3905.1502,1477.9105,996.0425
"059","4am",973.66192,5843.484,2740.4441,1722.221
"060","4am",760.852,2555.1123,2179.7376,840.0418
"061","4am",783.91144,3504.6838,3132.0508,2074.964
"062","4am",133.3119,3572.3201,2327.0664,3032.6207
"063","4am",85.25128,970.7714,1265.273,1195.0774
"064","4am",340.28493,2321.8892,2312.8641,2167.0412
"065","4am",645.94387,2830.8297,1946.6094,1870.4409
"066","4am",348.03332,2676.0047,1779.962,2128.5651
"067","4am",877.66074,4134.8533,3889.4663,1543.5334
"068","4am",490.93033,3303.8196,2858.2951,1057.5115
"069","4am",211.64228,1823.0501,1657.9024,729.9349
"070","4am",981.42895,4251.0139,3439.7091,1846.3579
"071","4am",1230.1678,5919.6712,1999.1305,681.201
"072","4am",616.90016,3875.0724,1634.1413,926.9282
"073","4am",737.47966,5919.3728,3116.5113,2232.5385
"074","4am",1081.46717,4665.7675,2515.8319,1650.195
"075","4am",1220.45247,6192.085,2556.4952,1504.7884
"076","4am",988.2661,2839.6281,1657.1945,575.6614
"077","4am",1354.88379,2530.5763,3578.4587,1558.1718
"078","4am",1243.27539,3432.356,2660.4361,1594.9049
"079","4am",1558.99834,4078.0755,2517.9405,1714.3551
"080","4am",1666.81716,2357.2554,2224.2726,1124.0287
"001","5am",0,626.4478,991.8437,1873.9034
"002","5am",0,330.4702,987.6743,1326.2143
"003","5am",282.5325,2210.4218,2773.1464,4761.1799
"004","5am",154.02801,1525.5792,1434.2831,1462.7432
"005","5am",132.4699,774.1539,1155.1708,1933.4403
"006","5am",543.80051,1142.1355,1835.1259,3653.5577
"007","5am",0,917.4558,1645.2061,3401.8295
"008","5am",166.27973,881.1773,780.6863,1105.9072
"009","5am",177.42982,2112.2336,2212.6422,2894.3047
"010","5am",94.94893,1581.7406,1860.7586,1666.9521
"011","5am",176.72023,3775.5478,2150.3344,1050.3447
"012","5am",459.65447,3005.0497,2170.2923,2327.1923
"013","5am",485.15261,2606.877,1956.6981,1787.8547
"014","5am",408.09628,3735.2522,2622.1251,2962.1138
"015","5am",65.49629,1249.9591,1291.7661,1744.1556
"016","5am",291.57799,1038.1836,1487.9078,1885.2713
"017","5am",216.69595,2096.0755,1315.4004,2531.7261
"018","5am",1554.64408,3603.2607,1811.4783,2086.7112
"019","5am",645.78011,1845.6077,1923.6622,1067.9553
"020","5am",1744.6435,2912.0518,1182.132,182.1759
"021","5am",288.09424,1232.5484,1438.7893,1135.6516
"022","5am",290.73022,1857.78,767.8921,2396.7556
"023","5am",261.35281,1361.6387,1675.476,1981.564
"024","5am",419.55786,3365.829,1088.5229,994.4166
"025","5am",0,696.937,647.7246,1836.4974
"026","5am",339.43694,1130.1181,1170.6792,3405.3757
"027","5am",43.63998,2296.8302,1518.9769,1788.2951
"028","5am",97.65707,1614.2158,2991.1545,2273.6597
"029","5am",159.09773,1959.2443,2228.3764,2248.556
"030","5am",60.8028,949.0913,1247.2292,1796.3568
"031","5am",784.79384,2540.2592,2886.2904,1414.585
"032","5am",148.04301,1913.9364,2530.1066,2094.4596
"033","5am",357.77957,3470.9585,3299.3977,2719.6491
"034","5am",65.55139,696.407,851.8329,801.0973
"035","5am",117.68229,2098.8775,2191.2548,2007.4922
"036","5am",238.38695,1502.4857,2150.2873,1850.46
"037","5am",198.80542,3441.5466,2586.6915,1923.0768
"038","5am",311.98556,1202.6481,2273.2404,1729.4997
"039","5am",88.97998,1020.9797,1723.9262,1649.4914
"040","5am",386.69144,2293.4234,2965.934,3893.7234
"041","5am",209.61064,1246.5772,1514.8506,2343.825
"042","5am",169.07278,941.0533,1151.8983,1041.0062
"043","5am",671.8084,1747.032,2039.8048,1881.682
"044","5am",426.92356,2233.3938,1307.9372,577.9104
"045","5am",92.80706,2661.6147,1686.3894,1260.7216
"046","5am",135.95012,1904.1444,1852.1212,1503.1328
"047","5am",376.10371,2142.6396,1891.4867,1799.4266
"048","5am",437.3957,1927.0962,1560.4681,1329.4017
"049","5am",155.03816,1589.0473,1968.1401,1197.9925
"050","5am",174.16023,1109.3658,1057.7918,633.2012
"051","5am",161.55377,1063.4163,730.126,982.9686
"052","5am",230.51563,1440.7643,1401.8898,2311.6032
"053","5am",564.15948,1877.1735,2073.8004,2472.0656
"054","5am",427.9016,2728.0571,1767.4698,1152.6155
"055","5am",264.50987,1665.8435,1517.3304,1135.1408
"056","5am",471.22292,2618.268,2663.9762,1139.0578
"057","5am",63.1554,817.3531,1185.4142,1378.8587
"058","5am",341.67029,3731.9124,1477.9105,996.0425
"059","5am",973.66192,5726.1097,2855.9567,1722.221
"060","5am",760.852,2756.7381,2120.3477,840.0418
"061","5am",783.91144,3450.9439,3036.3181,2074.964
"062","5am",133.3119,3572.3201,2443.352,2890.9488
"063","5am",85.25128,940.1591,1196.3745,1195.0774
"064","5am",340.28493,2321.8892,2312.8641,2167.0412
"065","5am",645.94387,2777.4926,1946.6094,1870.4409
"066","5am",348.03332,2676.0047,1779.962,2128.5651
"067","5am",877.66074,3968.1037,3737.5205,1543.5334
"068","5am",490.93033,3243.95,2710.3067,1057.5115
"069","5am",211.64228,1823.0501,1614.7554,623.4685
"070","5am",981.42895,4554.7989,3421.5415,1846.3579
"071","5am",1230.1678,5794.3504,1943.0275,681.201
"072","5am",616.90016,3651.3083,1708.4118,926.9282
"073","5am",737.47966,6014.9588,3116.5113,2163.7903
"074","5am",1081.46717,4405.9349,2515.8319,1650.195
"075","5am",1220.45247,6176.1006,2636.5918,1504.7884
"076","5am",954.23424,2839.6281,1657.1945,575.6614
"077","5am",1354.88379,2480.4301,3578.4587,1558.1718
"078","5am",1243.27539,3432.356,2583.8248,1594.9049
"079","5am",1558.99834,4078.0755,2517.9405,1714.3551
"080","5am",1666.81716,2357.2554,2107.9869,1124.0287
"001","6am",0,626.4478,1049.3068,1903.2276
"002","6am",0,330.4702,968.0406,1306.5806
"003","6am",282.5325,2527.8204,2792.7165,4722.5803
"004","6am",154.02801,1481.9586,1434.2831,1433.4189
"005","6am",132.4699,770.1194,1155.1708,1885.8654
"006","6am",543.80051,996.1533,1872.7958,3515.6273
"007","6am",0,917.4558,1671.3741,3353.017
"008","6am",166.27973,860.214,780.6863,1090.8898
"009","6am",214.84565,2223.3927,2392.8459,2879.2208
"010","6am",94.94893,1500.6742,1831.2871,1705.5517
"011","6am",176.72023,3956.1988,2063.351,1050.3447
"012","6am",459.65447,2896.7398,2170.2923,2327.1923
"013","6am",485.15261,2913.2384,2001.9316,1765.5702
"014","6am",408.09628,3490.976,2640.9073,3050.9794
"015","6am",65.49629,1142.3196,1258.8429,1744.1556
"016","6am",291.57799,1220.7483,1487.9078,1885.2713
"017","6am",179.28012,2096.0755,1186.6984,2531.7261
"018","6am",1554.64408,3603.2607,1890.8817,2086.7112
"019","6am",727.42731,1857.7974,1850.4825,998.4744
"020","6am",1627.00759,2814.5608,1182.132,182.1759
"021","6am",288.09424,1229.9088,1325.7131,1102.4235
"022","6am",351.47022,1984.655,820.9575,2864.6498
"023","6am",261.35281,1300.9282,1695.0208,2026.5601
"024","6am",419.55786,3178.7903,1088.5229,994.4166
"025","6am",0,745.5506,684.3754,1882.1612
"026","6am",339.43694,1085.6618,1117.3522,3352.0488
"027","6am",43.63998,2338.889,1502.2335,1788.2951
"028","6am",97.65707,1870.6131,3004.3005,2257.7668
"029","6am",159.09773,2045.3478,2041.428,2124.5452
"030","6am",60.8028,922.2614,1371.1263,1796.3568
"031","6am",784.79384,2513.4902,2958.9575,1414.585
"032","6am",148.04301,2451.4541,2583.5202,2029.1199
"033","6am",357.77957,3524.8696,3165.9808,2546.409
"034","6am",65.55139,726.9065,823.8046,781.5272
"035","6am",117.68229,2220.0119,2350.2409,2129.4449
"036","6am",156.95454,1620.9874,2173.5232,1850.46
