"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"001","4am",147.67323,725.7545,537.8644,1011.9691,1144.01147
"002","4am",382.71238,168.2433,314.8469,1243.7662,715.99664
"003","4am",523.62905,1308.6332,2704.9583,3360.9014,2510.81366
"004","4am",1056.51596,310.2358,1306.602,1570.6939,697.75319
"005","4am",199.75416,513.0249,910.3404,1833.9281,1216.98955
"006","4am",548.03928,775.3588,1936.913,2702.153,2031.62846
"007","4am",528.81817,466.0298,1483.0412,2338.599,1399.33994
"008","4am",386.80413,350.1763,1113.1749,907.1225,343.25424
"009","4am",247.46151,1391.3545,1816.1751,2651.2272,1556.57619
"010","4am",332.99858,1263.6767,1977.5015,1370.5313,716.82474
"011","4am",990.03041,2172.3214,2333.8516,1611.5064,386.8708
"012","4am",1005.4549,1733.13,2803.784,2441.9821,752.93616
"013","4am",667.06458,1194.1506,2424.7236,1938.2005,696.47582
"014","4am",978.86168,2024.0656,4346.327,2571.7497,770.56294
"015","4am",509.63101,413.4434,1594.1076,1466.6581,776.53701
"016","4am",154.67796,926.7081,1551.0529,1230.1073,1254.85533
"017","4am",863.05524,746.2008,1619.2453,1937.3153,1177.11406
"018","4am",1866.97555,3239.7478,2418.9297,1608.5301,811.02954
"019","4am",1542.54143,1867.6838,1473.7398,624.9316,282.31529
"020","4am",3066.01347,2044.6545,1783.3,100.8415,0
"021","4am",404.49797,805.2735,1208.7366,1418.5941,590.25952
"022","4am",935.08178,443.6169,2087.507,1729.2902,541.0596
"023","4am",509.68512,657.0362,1880.6467,1751.9768,539.62612
"024","4am",1465.50588,1354.0396,2404.8224,722.775,465.40631
"025","4am",264.98879,376.7759,1056.7196,757.8431,971.00308
"026","4am",168.47128,707.1159,1852.3414,2603.0235,1540.8523
"027","4am",560.64521,1211.2157,1562.6963,1879.8811,947.96126
"028","4am",86.83722,407.2301,3239.2836,2392.3847,1071.86157
"029","4am",515.61498,1532.1651,2227.3829,1985.1526,734.82433
"030","4am",437.08141,623.6033,1298.8168,1334.6176,878.26978
"031","4am",518.51537,1544.9876,3152.7792,1848.9111,1119.57399
"032","4am",811.32984,1068.8531,2499.041,1843.4844,872.41486
"033","4am",874.09554,2093.7696,3630.8787,2172.3349,1913.54935
"034","4am",228.73019,364.4777,1158.5959,378.8344,331.87194
"035","4am",713.75128,1002.5462,2482.6206,1335.8072,1340.57821
"036","4am",815.71503,1228.5411,2316.7224,1406.435,728.9631
"037","4am",343.04902,1960.381,3175.0837,2275.9623,1206.99617
"038","4am",545.50747,347.9968,2796.076,1642.5903,568.64121
