"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"1.3183207";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.6704806";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.6333364";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"5am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"1.3183207";"0.0000000";"0.0000000";"0.0000000";"1.7242619";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.6704806";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.9370515";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.6456795";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"6am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"1.3307978";"0.0000000";"0.0000000";"0.0000000";"1.6662044";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.6758898";"0.0000000";"0.0000000";"0.8243508";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.9700987";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.6768707";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.4011462";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"7am";"14.0924698";" 0.0000000";" 5.9932166";" 0.0000000";"16.9778709";"10.9226962";" 0.0000000";" 0.0000000";"20.1926796";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 2.1710585";" 0.0000000";"17.2288121";" 0.4580097";"13.5582246";" 0.0000000";" 0.0000000";" 5.6118531";" 9.7610495";" 0.0000000";"42.7174720";" 1.5855648";" 0.8947358";" 6.0695709";" 2.0132202";" 3.6225177";" 0.0000000";" 1.4858650";" 8.3688049";" 1.1451179";" 2.6328631";" 0.0000000";" 0.0000000";" 0.0000000";" 1.1238276";" 0.7158454";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.9780830";" 0.7526988";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";"16.5162321";" 0.4717808";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 1.4434421";" 1.0430077";" 0.0000000";" 1.9315393";" 3.2816932";" 6.1777979";" 0.0000000";" 0.0000000";" 5.0820343";" 4.0674678";" 0.0000000"
"8am";"19.7412696";" 0.7736193";" 7.5787936";" 0.0000000";"21.1496432";"18.0677246";" 1.1126945";" 0.0000000";"22.3513439";" 4.0412211";" 1.1783306";" 0.5386348";" 0.0000000";" 0.5002189";" 7.8056183";" 4.5569339";"23.3790284";" 0.4674301";"14.8955167";" 0.0000000";" 0.0000000";"14.0628475";"15.9840843";" 0.8257864";"50.9687040";" 2.5911919";" 3.9098312";"11.8573387";" 3.6198885";"17.6594896";" 0.0000000";" 2.7247445";"14.0114648";" 0.9242183";" 2.6425875";" 1.0327732";" 0.5933666";" 0.0000000";" 1.3708970";" 8.7253511";" 4.5009208";" 6.1628760";" 4.3701037";" 1.7055720";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 5.4736762";" 1.8751947";" 1.0572749";" 1.0401189";" 0.8316587";" 0.0000000";"19.5087503";" 0.5525397";" 0.0000000";" 0.0000000";" 0.0000000";" 3.9073470";" 0.0000000";" 0.0000000";" 0.5131598";" 0.0000000";" 1.5555239";" 2.5488092";" 0.0000000";" 2.7879336";" 4.9851371";" 7.4443197";" 0.0000000";" 0.0000000";" 4.5997394";" 7.8935502";" 0.0000000"
"9am";"27.5536883";" 2.6600825";" 9.1044995";" 1.1059473";"23.4647308";"21.9604678";" 1.9814509";" 0.0000000";"22.4467328";" 3.9631174";" 1.1319966";" 0.5676594";" 0.0000000";" 0.5131317";"11.2216981";" 4.9771214";"22.9280589";" 0.4783611";"15.2516653";" 0.0000000";" 0.0000000";"17.2315712";"16.9989999";" 0.7623250";"60.0412297";" 3.5745629";" 4.3812651";"16.0704084";" 3.5544057";"22.8278137";" 0.0000000";" 2.4310729";"13.2092090";" 0.9394678";" 2.9208464";" 1.0924996";" 1.4377889";" 0.0000000";" 1.4968057";" 8.7594983";" 4.2096395";" 6.8217015";" 4.4000978";" 1.7744127";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 5.3612653";" 0.9772155";" 1.0562253";" 2.9562511";" 1.0612693";" 0.0000000";"19.8516764";" 0.5886624";" 0.0000000";" 0.0000000";" 0.0000000";" 3.9103179";" 0.0000000";" 0.5905733";" 0.5225159";" 0.8652708";" 1.5039983";" 2.6979556";" 0.0000000";" 2.6381023";" 5.5180544";" 6.9906095";" 0.0000000";" 0.0000000";" 5.4901180";" 8.4553875";" 0.0000000"
"10am";"27.9494622";" 2.6226996";" 9.4621689";" 1.2727054";"25.0640288";"22.3607563";" 3.2028456";" 0.0000000";"22.0085645";" 4.4593356";" 1.1804303";" 0.5384303";" 0.0000000";" 0.5309841";"10.6771392";" 5.5514967";"21.0881379";" 0.5502644";"15.3823018";" 0.0000000";" 0.0000000";"18.0147071";"18.3471861";" 0.8653626";"64.6803176";" 4.0140373";" 4.6086308";"16.1885774";" 3.8452497";"22.6076210";" 0.0000000";" 2.3987426";"12.9333351";" 0.9244308";" 2.9369080";" 0.0000000";" 1.4936093";" 1.3055100";" 1.5231089";" 8.3777752";" 4.1436501";" 5.7980105";" 4.0388319";" 1.7773336";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 6.0190376";" 1.0242430";" 1.1047098";" 3.1352380";" 0.9765993";" 0.0000000";"19.2172795";" 0.5696273";" 0.0000000";" 0.0000000";" 0.0000000";" 4.1219698";" 0.0000000";" 0.5988303";" 0.5165388";" 0.8146356";" 1.4332318";" 2.7110126";" 0.0000000";" 2.6434782";" 5.4414504";" 7.1963334";" 0.0000000";" 0.0000000";" 6.0813926";" 8.4703291";" 0.0000000"
"11am";"27.1242360";" 2.4336394";" 8.2641509";" 1.2067508";"21.3017421";"20.5427489";" 2.9343961";" 0.0000000";"21.3691262";" 4.0837951";" 1.3016896";" 0.5325620";" 0.0000000";" 0.5165683";"10.8999176";" 5.3821979";"22.7258512";" 0.5354802";"18.2262444";" 0.0000000";" 0.0000000";"16.4396023";"16.7896084";" 0.8486004";"60.4750728";" 4.0821559";" 4.7932295";"16.6308770";" 3.8351369";"23.0506803";" 0.0000000";" 2.6330129";"12.8804142";" 0.9911568";" 2.8490397";" 0.0000000";" 1.4420658";" 1.3303308";" 1.4450094";" 8.3239039";" 4.0717752";" 5.6837339";" 4.3026196";" 1.6149903";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 5.9330189";" 0.0000000";" 1.0396556";" 2.8925899";" 0.8971782";" 0.0000000";"19.1445245";" 0.5254982";" 0.0000000";" 0.0000000";" 0.0000000";" 4.2863669";" 0.0000000";" 0.6350712";" 0.5084238";" 0.8423444";" 1.4392659";" 2.2675825";" 0.0000000";" 2.8195220";" 3.3970798";" 6.7810119";" 0.0000000";" 0.0000000";" 5.6686346";" 7.4679455";" 0.0000000"
