"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463"
"4am";" 898.9566";" 948.9730";"2773.1464";"1434.2831";"1155.1708";"1835.1259";"1645.2061";" 780.6863";"2212.6422";"1860.7586";"2158.2099";"2244.2526";"1842.5677";"2675.8612";"1291.7661";"1540.7889";"1315.4004";"1811.4783";"1923.6622";"1348.2230";"1438.7893";" 721.8013";"1721.5669";"1088.5229";" 647.7246";"1170.6792";"1573.9032";"2901.5551";"2226.5694";"1247.2292";"2961.0050";"2521.0772";"3299.3977";" 871.4030";"2081.9590";"2150.2873";"2666.7393";"2348.5802";"1762.6274";"2830.9600";"1514.8506";"1170.6806";"2039.8048";"1307.9372";"1733.8722";"1852.1212";"1938.4965";"1560.4681";"1929.8976";"1075.4265";" 730.1260";"1440.4179";"2073.8004";"1819.0580";"1517.3304";"2773.7420";"1113.1267";"1477.9105";"2740.4441";"2179.7376";"3132.0508";"2327.0664";"1265.2730";"2312.8641";"1946.6094";"1779.9620";"3889.4663";"2858.2951";"1657.9024";"3439.7091";"1999.1305";"1634.1413";"3116.5113";"2515.8319";"2556.4952";"1657.1945";"3578.4587";"2660.4361";"2517.9405";"2224.2726"
"5am";" 991.8437";" 987.6743";"2773.1464";"1434.2831";"1155.1708";"1835.1259";"1645.2061";" 780.6863";"2212.6422";"1860.7586";"2150.3344";"2170.2923";"1956.6981";"2622.1251";"1291.7661";"1487.9078";"1315.4004";"1811.4783";"1923.6622";"1182.1320";"1438.7893";" 767.8921";"1675.4760";"1088.5229";" 647.7246";"1170.6792";"1518.9769";"2991.1545";"2228.3764";"1247.2292";"2886.2904";"2530.1066";"3299.3977";" 851.8329";"2191.2548";"2150.2873";"2586.6915";"2273.2404";"1723.9262";"2965.9340";"1514.8506";"1151.8983";"2039.8048";"1307.9372";"1686.3894";"1852.1212";"1891.4867";"1560.4681";"1968.1401";"1057.7918";" 730.1260";"1401.8898";"2073.8004";"1767.4698";"1517.3304";"2663.9762";"1185.4142";"1477.9105";"2855.9567";"2120.3477";"3036.3181";"2443.3520";"1196.3745";"2312.8641";"1946.6094";"1779.9620";"3737.5205";"2710.3067";"1614.7554";"3421.5415";"1943.0275";"1708.4118";"3116.5113";"2515.8319";"2636.5918";"1657.1945";"3578.4587";"2583.8248";"2517.9405";"2107.9869"
"6am";"1049.3068";" 968.0406";"2792.7165";"1434.2831";"1155.1708";"1872.7958";"1671.3741";" 780.6863";"2392.8459";"1831.2871";"2063.3510";"2170.2923";"2001.9316";"2640.9073";"1258.8429";"1487.9078";"1186.6984";"1890.8817";"1850.4825";"1182.1320";"1325.7131";" 820.9575";"1695.0208";"1088.5229";" 684.3754";"1117.3522";"1502.2335";"3004.3005";"2041.4280";"1371.1263";"2958.9575";"2583.5202";"3165.9808";" 823.8046";"2350.2409";"2173.5232";"2520.7886";"2101.3062";"1719.8353";"2965.9340";"1442.5539";"1131.2820";"1900.3616";"1403.6699";"1587.8895";"1852.1212";"1844.7923";"1523.7404";"1846.3068";"1057.7918";" 711.3072";"1271.9764";"1909.8636";"1767.4698";"1450.8161";"2663.9762";"1213.4425";"1513.7021";"2828.0606";"2003.3617";"2833.1055";"2348.3111";"1165.7184";"2312.8641";"2010.5994";"1698.4021";"3852.5166";"2710.3067";"1614.7554";"3421.5415";"1831.2576";"1814.5459";"3018.6775";"2564.2599";"2601.5279";"1657.1945";"3242.5999";"2620.4156";"2517.9405";"1987.9641"
"7am";"1118.9283";"1087.2196";"3080.9177";"1532.5696";"1117.3429";"2026.5754";"1643.5553";" 796.0217";"2832.3359";"1642.8057";"2448.0328";"2049.3900";"2129.9032";"2187.4386";"1122.0451";"1177.0579";"1073.7803";"1973.4161";"1810.4961";"1271.2843";"1148.0239";"1117.9461";"1920.8540";"1149.9493";" 697.8196";"1181.6028";"1892.8886";"3120.6165";"2108.4334";"1395.1228";"2499.5084";"3428.6168";"2942.2181";" 803.0059";"2606.9455";"1879.1830";"2079.9054";"1631.9654";"1526.9613";"2920.6584";"1403.1130";" 942.4924";"1934.9905";"1017.4460";"1438.8727";"1672.9747";"1957.5951";"1272.4843";"1410.2466";" 878.3695";" 519.1248";" 886.1799";"1334.3420";"1647.4370";"1551.2889";"2459.7882";" 931.8174";"1312.4755";"2755.5335";"1904.4165";"2697.6120";"1718.3144";"1087.9710";"2044.6219";"1954.6784";"1244.8827";"3147.2847";"2583.2229";"1384.2533";"2963.8394";"1668.0809";"1744.3866";"3409.0595";"2449.6576";"2417.6759";"1657.1945";"2479.4933";"2520.9119";"2455.2473";"1748.0513"
"8am";"1396.2919";"1356.3477";"3731.3391";"1493.8414";"1093.1113";"1824.4935";"1630.5604";" 735.6320";"3639.5377";"1453.8337";"2712.6507";"1716.8671";"2552.9250";"2222.0744";"1063.2084";" 963.1625";"1429.2713";"2338.5559";"2471.2347";"1090.4443";" 837.3264";"2174.0511";"2336.9981";"1354.7129";" 814.9686";"1044.8856";"3224.6605";"3761.6806";"2178.4652";"1196.4568";"2008.4946";"4269.7767";"3106.3174";"1107.7589";"2397.1031";"1722.1825";"1816.8300";"1397.2829";"1154.0803";"3280.5170";"1285.8486";" 854.0433";"2303.8665";"1157.8682";"1018.3157";"1382.1487";"2181.4656";"1167.8379";"1153.6203";" 622.3697";" 468.6278";"1075.5950";"1044.1590";"1278.5137";"1376.3051";"2226.5802";" 811.5442";" 952.2706";"2794.7899";"1646.4631";"2366.1846";"1493.7941";" 955.9102";"1486.7112";"1812.0052";"1481.6617";"2423.0645";"2262.4712";"1313.7905";"2535.9707";"1695.2697";"1987.7472";"3637.6585";"2367.0497";"2609.2161";"1435.7044";"1933.7970";"2629.4755";"2580.0323";"1437.7452"
"9am";"1669.2163";"1911.1158";"4079.0161";"1506.4596";"1168.6345";"1756.0324";"1261.0115";" 700.7833";"3970.1105";"1533.2722";"2708.9331";"1636.5840";"2228.9092";"2304.4641";" 750.9443";"1080.1931";"1588.8507";"2079.7705";"2581.3273";" 973.1731";" 817.3864";"2541.9107";"2572.2572";"1179.9539";"1040.8081";"1151.0153";"3470.5673";"4445.6493";"2307.5436";" 895.6847";"1873.4969";"4661.5069";"3109.7131";"1126.4320";"2548.9461";"1588.4044";"1659.7405";"1390.9261";"1044.1023";"3389.9606";"1265.3372";" 938.7227";"2247.4533";" 858.3217";" 995.3637";"1253.5682";"2274.9930";"1231.0928";" 991.0871";" 559.5120";" 439.5899";"1060.1704";" 959.0848";"1382.8936";"1085.0131";"2260.6142";" 720.4945";" 817.7351";"3029.0686";"1465.6058";"2248.5755";"1267.1933";" 900.0632";"1330.3718";"1873.8148";"1399.7595";"2226.7551";"2232.5159";" 911.6464";"2735.7798";"1458.7462";"2099.7232";"3642.7254";"2196.5774";"3066.1731";"1375.5487";"1746.3565";"2903.8222";"2698.6731";"1827.7009"
"10am";"1932.6236";"2415.8110";"3983.4763";"1133.3747";"1202.6658";"2104.5587";"1395.0375";" 566.7430";"4150.2099";"1186.6449";"2673.9094";"1645.0958";"2151.4041";"2174.2742";" 819.9067";"1169.6439";"1654.4589";"1694.3716";"2541.7679";"1132.5096";" 879.3601";"2449.4406";"2762.7953";" 983.3079";"1045.3865";"1071.5212";"3692.9701";"4352.6327";"2144.8467";"1010.4166";"1871.1135";"4356.6712";"3174.9604";"1061.0673";"2563.7553";"1600.6500";"1599.8516";"1310.2978";" 924.7516";"3793.7708";"1155.5602";"1063.0833";"2689.8946";" 830.0870";"1085.8744";"1371.7411";"2324.6285";"1037.0661";" 935.4356";" 596.8371";" 370.0945";"1005.2015";" 979.3654";"1387.5996";"1045.3805";"2239.9198";" 735.9264";" 908.4218";"2661.3629";"1479.7144";"1961.5760";"1295.4545";" 803.5844";"1237.9619";"1491.6775";"1357.8439";"2023.8146";"2093.7716";" 934.0154";"2810.6333";"1502.8692";"2187.0887";"3687.7234";"2217.4273";"2942.7370";"1353.8028";"1633.8767";"3215.6619";"2618.7989";"1935.3362"
"11am";"2039.6069";"2542.1250";"3710.7835";"1132.4858";"1368.9137";"2117.9468";"1404.9653";" 590.7685";"4329.1879";"1458.0258";"2560.9988";"1755.6477";"2013.8509";"2238.2940";" 971.4735";" 999.2714";"1643.7212";"1625.9680";"2575.0791";"1205.0912";" 985.7625";"2440.2334";"2538.1584";" 885.9296";"1017.8362";" 927.3182";"3594.4893";"4173.3093";"1986.7190";" 838.8950";"1981.9994";"4163.6513";"3544.6101";" 934.6838";"2838.7006";"1617.0102";"1574.0412";"1398.7790";"1021.1336";"3526.3259";"1143.9393";" 926.5901";"2367.0376";"1041.0105";"1131.0160";"1329.6710";"2399.7365";"1113.8117";"1037.0945";" 625.3905";" 403.5709";" 988.4046";"1251.6688";"1501.3886";" 976.2581";"2351.5752";" 874.6249";" 877.8547";"2497.7988";"1408.3143";"2224.4747";"1449.1806";" 834.1966";"1207.5414";"1498.1503";"1307.9629";"1837.9362";"2136.3237";" 892.7984";"2464.3092";"1773.4148";"2162.5551";"3580.7602";"2429.0200";"2838.3908";"1352.6504";"1898.2169";"3162.4075";"2618.7989";"1784.9929"
"12am";"1794.3216";"2706.3151";"3840.2795";"1554.8149";"1224.5898";"2155.9664";"1391.2187";" 640.3992";"4226.8412";"1441.4113";"2598.9641";"1783.5691";"1849.1723";"2021.2942";"1039.1505";"1072.4719";"1471.6015";"1947.5896";"2465.9796";"1338.3690";" 944.3455";"2073.1997";"2451.1335";"1082.5130";" 943.2570";" 958.0425";"3312.7729";"3934.9298";"1846.6467";"1041.3882";"2601.1034";"3545.2490";"3539.5089";" 786.3051";"2527.0273";"1759.3958";"1778.0447";"1489.9960";"1200.2047";"3127.8676";"1290.0159";" 822.1669";"2901.0131";"1210.4573";"1020.8173";"1308.9077";"2137.7020";"1113.2888";"1345.0932";" 634.0089";" 453.0991";"1028.4024";"1269.2515";"1645.8055";"1049.4347";"2351.3602";" 844.2273";" 961.2645";"2274.9854";"1655.7801";"2511.7274";"1622.7688";" 895.4517";"1412.1406";"1615.2836";"1368.6357";"2327.6417";"2245.9053";" 822.7975";"2617.9967";"1955.4157";"2094.2021";"3239.9825";"2945.4192";"2293.8782";"1473.0522";"1989.2957";"2754.7938";"2649.1378";"2014.1537"
"1pm";"1813.6220";"2678.2074";"4023.2311";"1457.2688";"1181.4987";"1848.2722";"1319.7384";" 588.9056";"4409.5421";"1311.5633";"2668.8315";"1886.7374";"2044.3458";"1831.0987";"1032.4253";"1080.5369";"1297.5703";"1819.6236";"2522.6863";"1475.7688";" 902.1323";"2143.2847";"2554.1632";" 924.2485";"1129.9689";"1344.8949";"3825.7382";"3974.6959";"2289.0413";" 723.4627";"1858.7609";"3936.8382";"2974.1726";"1092.6685";"2611.5892";"1577.4074";"1600.8648";"1198.6504";"1073.6012";"2902.4159";"1181.3401";" 881.8415";"3125.4651";"1111.7347";"1111.2686";"1281.8906";"2172.8077";"1166.4195";"1083.7316";" 518.8365";" 425.3731";" 938.4729";"1149.4685";"1551.3266";"1100.0830";"2380.1253";" 693.0129";"1062.4029";"2302.1368";"1445.4477";"2234.3488";"1565.8934";" 787.1650";"1302.8840";"1768.5827";"1319.0558";"2102.3391";"2066.8194";" 902.9734";"3144.4122";"2130.7829";"1659.6840";"3127.5482";"2765.0867";"2582.9653";"1532.2403";"1843.9118";"3024.2514";"2556.0289";"1889.4276"
