"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154"
"4am";"17.005852";" 4.050532";"10.506942";"11.506174";"11.325843";" 8.517787";" 6.981988";" 8.059666";"11.319849";"14.298307";"17.030907";"12.509647";"14.162293";"14.209949";" 9.148705";"11.562814";" 9.597247";"33.244045";"30.315268";"29.671964";"17.195959";" 7.094623";" 6.383770";"17.688284";" 9.030901";" 8.115701";"11.886255";" 4.553881";"11.015442";" 7.737842";"10.831509";" 9.169166";"10.341815";"11.380898";"13.919835";"14.812090";"15.439417";" 2.636745";" 7.747008";"12.046924";" 9.503983";" 7.412951";" 5.881577";"16.160654";"11.666418";" 6.948124";"12.617635";"17.468518";" 6.617361";"12.647724";" 8.015106";" 9.385017";"10.314467";"15.291047";"10.618233";" 7.070078";" 4.315616";"17.919817";"19.208002";"16.109745";"17.000302";" 7.385149";"10.710844";"10.573441";"17.545705";"13.786525";"22.327218";"13.947568";"13.916863";"16.841523";"27.378746";"18.761107";"18.705292";"20.530862";"21.111960";"15.507439";"12.562250";" 5.181054";"11.148842";"13.851095"
"5am";"16.553522";" 3.990364";"10.314139";"11.579736";"11.325843";" 8.517787";" 6.954105";" 8.099619";"10.999765";"14.648917";"17.383338";"11.022699";"16.590787";"13.866864";" 9.240726";"10.787261";"10.372735";"32.745253";"30.315268";"30.514322";"16.564730";" 6.859343";" 6.101078";"18.866178";" 8.907394";" 8.115701";"12.970817";" 4.571639";"11.073602";" 7.737842";"10.519125";" 8.125750";"10.301279";"11.235517";"14.326846";"14.654763";"17.181857";" 2.651080";" 6.941911";"11.198896";" 9.503983";" 7.511195";" 5.854640";"15.741774";"11.837377";" 6.835070";"10.443408";"17.468518";" 7.256860";"12.129848";" 7.126404";"10.021478";"10.314467";"15.185975";"10.844373";" 7.182672";" 4.254619";"18.393948";"19.211173";"15.756026";"16.697191";" 7.405888";" 9.006354";"10.573441";"16.938306";"13.786525";"21.529436";"13.536003";"14.404153";"18.886780";"26.594714";"18.525476";"20.335534";"18.693660";"21.550313";"15.030324";"12.632463";" 5.225735";"11.148842";"14.069110"
"6am";"17.757686";" 4.051426";"11.314430";"11.766870";"10.596214";" 8.823594";" 6.980855";" 7.480038";"10.094492";"14.854241";"17.604996";"10.388441";"18.949505";"13.253797";" 9.183063";"10.384156";"10.038840";"32.460640";"28.295719";"28.939592";"17.123062";" 6.530957";" 5.009125";"17.562129";" 7.362225";" 6.903442";"15.590966";" 5.489634";"12.539258";" 6.910461";"10.456193";"11.537972";" 9.855289";"11.981053";"18.183493";"15.647938";"17.840782";" 3.147464";" 7.067177";"11.478634";" 9.822776";" 7.395945";" 4.939205";" 9.648414";"10.720948";" 5.838061";"11.635780";"16.442307";" 7.438304";"10.851495";" 5.057879";" 9.490628";" 9.598531";"15.307745";"10.417802";" 7.182672";" 5.127749";"19.324482";"15.078206";"13.544142";"15.731540";" 8.662518";" 8.727705";" 8.486825";"14.751332";"11.826246";"21.733746";"13.846659";"14.632982";"20.209273";"25.183359";"19.983634";"18.549132";"19.658040";"22.557530";"16.088654";"13.393915";" 5.410716";"11.195027";"10.301047"
"7am";"17.955655";" 8.218165";" 7.742965";"10.728691";" 7.101081";" 9.546392";" 5.717262";" 4.679673";" 7.137410";"12.306600";"17.078967";"10.914210";"13.949161";"15.266981";" 7.376543";"11.131119";" 7.637717";"30.470199";"23.602058";"25.911223";"17.783578";" 7.473999";" 5.447468";"16.484895";" 4.042432";" 9.834076";"17.206504";" 3.404630";"13.129792";" 5.906085";" 8.972339";"12.288640";"11.293313";"16.590457";"22.512431";"14.153730";"17.578707";" 3.004476";" 7.335213";"12.759262";"10.619832";" 5.597651";" 4.994894";" 7.360882";"12.678209";" 6.857630";"12.570919";"14.967127";" 9.548617";"12.146772";" 7.382045";"11.333731";" 7.893974";"20.985782";"10.535457";"11.187646";" 4.909099";"19.841933";"16.313317";"12.192670";"18.651747";" 8.395817";" 9.132336";" 7.855447";"17.148282";"10.614170";"23.564971";"15.383818";"15.650930";"19.660883";"25.414565";"19.056350";"18.296777";"19.134000";"23.359807";"15.810323";"16.109638";" 6.061668";"11.596318";"12.411863"
"8am";"14.493635";" 6.373401";"11.192939";"11.731077";" 7.323154";" 9.339800";" 7.304876";" 5.130121";" 5.591885";"16.688796";"15.941855";"11.255057";"16.657581";"15.651386";" 8.578371";"15.688552";"10.026336";"25.835107";"17.968860";"22.607401";"21.497907";" 6.595590";" 5.374119";"17.230617";" 2.421408";"11.743671";" 9.811458";" 3.148830";"12.815323";" 4.608765";"13.994946";"13.042453";"11.821920";"11.087591";"19.655252";"15.263618";"18.119044";" 3.500306";" 8.217385";"12.910823";"10.747303";" 6.431955";" 2.930971";" 5.507596";"15.795881";"10.576526";"12.768892";"17.004231";"12.713465";"11.436139";" 8.384253";"14.671701";"10.021318";"15.769666";"11.876160";"13.145517";" 5.318572";"20.636799";"18.126191";"12.399191";"18.064086";"13.742663";" 9.560441";" 6.826699";"17.640908";"12.191838";"24.436026";"16.539721";"17.592572";"20.475844";"22.519261";"21.556428";"16.410320";"20.365268";"23.648767";"16.873233";"16.527519";" 6.505961";"11.160123";"11.613269"
"9am";" 8.898018";" 9.380599";"10.814742";"13.409373";"11.054027";"10.133920";" 7.973045";" 6.870508";" 5.224184";"18.217499";"12.796045";"11.130426";"18.865298";"16.666657";"10.000869";"18.866608";"10.787377";"28.963499";"16.307538";"21.012452";"16.801159";" 6.953141";" 6.200945";"20.303189";" 1.847459";"11.789563";" 7.716861";" 3.485772";"11.618560";" 6.362037";"14.183908";"13.775429";" 7.314510";"11.274122";"16.576032";"15.452878";"18.243539";" 5.647905";" 6.935144";"12.632526";" 9.157810";" 4.280572";" 3.433706";" 5.456091";"15.481698";"11.373436";"12.834135";"18.813441";"14.275259";"12.200441";" 9.087386";"16.688937";"10.266614";"17.346716";"14.950799";"13.131877";" 5.285587";"23.189041";"19.577038";" 9.981939";"18.753621";"15.130260";"11.292747";"10.154011";"16.769255";"14.349252";"24.534573";"15.581771";"21.927329";"20.855017";"21.979420";"20.228525";"16.851251";"16.392326";"24.657952";"17.414031";"16.571422";" 5.231769";"10.788492";"11.561705"
"10am";"11.453216";" 7.912425";"11.627664";"13.308383";" 8.937437";" 7.494606";" 8.416712";" 7.233170";" 6.108326";"17.833152";"12.226165";" 9.961340";"19.679979";"17.902509";" 9.442309";"18.983211";"11.046467";"27.313212";"17.371007";"24.870016";"17.715401";" 7.677002";" 4.371706";"17.208528";" 1.852841";" 9.670646";" 8.506091";" 3.444163";"11.698962";" 7.963820";"14.031303";"15.204494";" 8.125977";"10.903073";"17.535294";"14.091555";"16.132351";" 3.395778";" 8.218253";"11.830829";"10.535180";" 6.360506";" 3.571372";" 6.179628";"14.692988";"14.077192";"12.667246";"18.769587";"13.811393";"11.939741";" 9.307243";"18.707017";"12.585861";"17.624493";"13.373633";"14.888721";" 7.443652";"21.649665";"17.967516";"10.225611";"20.535068";"15.291458";"10.352186";" 9.847197";"16.497085";"13.785018";"24.882752";"16.652148";"23.405969";"21.815712";"23.824846";"18.733883";"16.177532";"20.017649";"22.505943";"16.783116";"16.681063";" 8.447032";" 9.870842";"12.110019"
"11am";" 8.716968";" 8.089560";"11.131766";"14.918412";" 8.072005";"11.091872";" 6.939156";" 7.312899";" 4.234323";"16.567894";"14.283628";"11.527019";"14.048358";"19.097738";" 9.536058";"13.610394";" 9.953252";"28.169172";"13.454637";"25.663123";"21.004447";" 7.524384";" 5.126467";"18.576784";" 2.811523";" 8.487804";" 8.083468";" 3.299387";"10.717951";" 8.198039";"13.353994";"13.603344";" 8.368655";"10.284077";"19.511700";"16.059305";"18.495545";" 2.286425";" 7.521540";"12.304048";"11.914045";" 3.465851";" 4.032706";" 5.693950";"17.381679";"12.910837";"11.740027";"20.732675";"14.542437";"12.314087";" 8.953761";"19.195879";" 9.008679";"17.136957";"14.288744";"13.997652";" 7.062969";"20.800307";"19.036439";"10.807851";"21.904509";"14.170783";" 9.414968";"10.393632";"16.482107";"12.080454";"24.972855";"16.382222";"23.571630";"19.958711";"26.024535";"17.391719";"14.262167";"19.986838";"22.874275";"17.131708";"16.321455";" 5.776576";" 9.268989";"12.353803"
