"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";"0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";"0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"7am";"   0.0000";"   0.0000";"1176.9937";"   0.0000";"   0.0000";" 635.6610";"   0.0000";"   0.0000";"1637.7932";"   0.0000";" 579.2491";"   0.0000";" 555.2028";"   0.0000";"   0.0000";"   0.0000";" 469.3689";"   0.0000";" 771.7891";"   0.0000";"   0.0000";" 963.0577";"1051.6673";"   0.0000";"1134.2254";"   0.0000";" 638.3209";"1241.3741";"   0.0000";"   0.0000";"   0.0000";" 854.5139";" 847.8113";"   0.0000";" 757.6947";"   0.0000";" 532.0824";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1144.8067";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";" 611.1880";"   0.0000";"1882.1130";"   0.0000";"   0.0000";" 909.2114";" 511.0570";"   0.0000";"2972.0152";"   0.0000";"1167.0880";"   0.0000";"1190.4824";" 709.9888";"   0.0000";"   0.0000";" 813.9213";"   0.0000";"1841.8941";"   0.0000";"   0.0000";"1557.3436";"1638.2790";"   0.0000";"2038.9099";"   0.0000";"2375.8167";"2890.8265";" 661.7549";"1089.7893";"   0.0000";"1277.6761";"1616.1505";"   0.0000";"1128.6877";"   0.0000";" 656.0115";"   0.0000";"   0.0000";"1060.5672";"   0.0000";"   0.0000";" 795.9129";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 672.3869";"1387.5938";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1103.7725";"   0.0000";"   0.0000";"1456.7017";"   0.0000";"   0.0000"
"9am";"1188.9733";"1206.0829";"2716.8396";"   0.0000";"   0.0000";"1009.1514";" 608.5021";"   0.0000";"3655.5579";"   0.0000";"1811.4937";"   0.0000";"1506.0619";"1054.8207";"   0.0000";"   0.0000";" 985.7683";" 616.5286";"1935.1688";"   0.0000";"   0.0000";"2298.0902";"1772.0123";"   0.0000";"2288.7525";"   0.0000";"2803.7853";"3707.7737";" 845.6089";"1005.2203";"   0.0000";"2137.2313";"2192.5153";" 809.2740";"1257.8779";"   0.0000";" 656.0115";"   0.0000";"   0.0000";"1418.7112";"   0.0000";"   0.0000";"1291.1160";"   0.0000";"   0.0000";"   0.0000";" 706.0405";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 937.5427";"1661.9423";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 913.8805";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1721.6709";"   0.0000";"   0.0000";"1758.4137";"   0.0000";"   0.0000"
"10am";"1164.7857";"1432.3691";"2664.3740";"   0.0000";" 611.1009";"1211.5220";" 712.6502";"   0.0000";"4031.2922";"   0.0000";"2036.3977";"   0.0000";"1590.4466";" 964.6257";"   0.0000";"   0.0000";"1171.0968";" 614.3545";"1919.9473";"   0.0000";"   0.0000";"2430.6720";"1899.7607";"   0.0000";"2869.5823";"   0.0000";"2873.9823";"3908.1044";" 685.7813";"1091.7565";"   0.0000";"1961.2001";"2469.1159";" 891.0859";"1301.0914";" 475.3136";" 778.7722";"   0.0000";"   0.0000";"1587.4627";"   0.0000";"   0.0000";"1357.0358";"   0.0000";"   0.0000";"   0.0000";" 709.8416";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 773.5258";"1533.6926";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 897.5871";"   0.0000";"   0.0000";"1080.4212";"   0.0000";"1872.4325";"   0.0000";"   0.0000";"1663.1337";"   0.0000";"   0.0000"
"11am";"1298.7822";"1993.9572";"2006.5705";"   0.0000";" 664.6339";"1464.4023";" 745.7695";"   0.0000";"3866.2310";"   0.0000";"1533.4146";"   0.0000";"1542.3585";" 914.2998";"   0.0000";"   0.0000";"1005.1291";" 616.7896";"1813.5673";"   0.0000";"   0.0000";"2216.6758";"1859.3439";"   0.0000";"2466.2696";"   0.0000";"2666.2883";"3391.6377";"   0.0000";" 999.7104";"   0.0000";"1706.2358";"2321.4438";" 731.7831";"1438.6182";"   0.0000";" 716.9963";"   0.0000";"   0.0000";"1430.8281";"   0.0000";"   0.0000";" 906.7215";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1570.3854";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 939.1085";"   0.0000";"   0.0000";"1219.5312";"   0.0000";"1589.9744";"   0.0000";"   0.0000";"1438.8848";"   0.0000";"   0.0000"
