"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657"
"4am";" 537.8644";" 314.8469";"2704.9583";"1306.6020";" 910.3404";"1936.9130";"1483.0412";"1113.1749";"1816.1751";"1977.5015";"2333.8516";"2803.7840";"2424.7236";"4346.3270";"1594.1076";"1551.0529";"1619.2453";"2418.9297";"1473.7398";"1783.3000";"1208.7366";"2087.5070";"1880.6467";"2404.8224";"1056.7196";"1852.3414";"1562.6963";"3239.2836";"2227.3829";"1298.8168";"3152.7792";"2499.0410";"3630.8787";"1158.5959";"2482.6206";"2316.7224";"3175.0837";"2796.0760";"1849.4309";"2612.7458";"1472.4589";"1807.6044";"2660.7880";"1607.9184";"2702.6458";"2514.2951";"2348.2413";"1933.5897";"2130.0916";"1271.1571";"1201.5785";"1390.9560";"2523.5134";"2580.7868";"2543.7790";"3082.1251";"1159.7407";"1665.0988";"4254.1472";"2608.3998";"4428.0518";"2929.6676";"1328.4768";"2705.9790";"2481.4605";"2359.5705";"2204.3494";"3497.0710";"1433.2363";"3440.6716";"3701.3504";"3123.3133";"3744.2341";"3009.3256";"3313.6942";"1634.3395";"3218.2643";"5003.1387";"5629.3388";"3758.3536"
"5am";" 577.0153";" 314.8469";"2887.8087";"1306.6020";" 910.3404";"1936.9130";"1506.6405";"1098.5558";"2026.0132";"1849.8841";"2333.8516";"2803.7840";"2445.7990";"4310.5041";"1550.3401";"1551.0529";"1679.9140";"2358.2610";"1473.7398";"1669.3480";"1208.7366";"2206.5267";"2114.4624";"2314.1047";"1100.2252";"1852.3414";"1462.4263";"3203.8152";"2211.5552";"1298.8168";"3152.7792";"2499.0410";"3669.4783";"1209.0141";"2591.9163";"2377.7072";"3067.4382";"2766.0799";"1893.1984";"2667.6721";"1472.4589";"1807.6044";"2660.7880";"1607.9184";"2619.0958";"2514.2951";"2278.9396";"1933.5897";"2165.9145";"1271.1571";"1177.1676";"1390.9560";"2523.5134";"2519.8020";"2481.6040";"3028.4820";"1111.7990";"1611.5657";"4196.1628";"2750.6357";"4428.0518";"2904.2813";"1297.8646";"2705.9790";"2481.4605";"2359.5705";"2037.5998";"3349.0826";"1433.2363";"3422.5041";"3645.2475";"3052.7234";"3569.8891";"3067.9808";"3313.6942";"1634.3395";"3218.2643";"4926.5273";"5629.3388";"3642.0680"
"6am";" 577.0153";" 295.2132";"3033.1739";"1262.9814";" 883.2314";"1745.6516";"1532.8085";"1083.5384";"2231.5954";"1859.0122";"2376.5928";"2756.6882";"2498.8760";"4222.2708";"1458.1176";"1611.2053";"1635.6917";"2394.1560";"1487.3927";"1669.3480";"1167.8427";"2445.8935";"2127.3255";"2282.0136";"1129.6968";"1890.9398";"1462.9498";"3297.1495";"2146.8312";"1369.3870";"3126.0102";"2726.4082";"3723.3894";"1209.0141";"2620.9911";"2331.3400";"2857.4136";"2630.8163";"1820.5610";"2705.1782";"1461.8861";"1756.0475";"2739.6768";"1579.9755";"2568.0787";"2366.5697";"2278.9396";"1834.5947";"1978.6638";"1271.1571";"1158.3488";"1285.3052";"2437.7096";"2505.9130";"2346.5847";"3028.4820";"1111.7990";"1611.5657";"4067.4835";"2763.5880";"4086.6349";"2709.1337";"1199.6980";"2718.5881";"2328.1467";"2236.8156";"2037.5998";"3293.8916";"1365.1390";"3439.7864";"3514.1561";"2895.7659";"3569.8891";"3116.4088";"3313.6942";"1516.0576";"3042.7817";"4754.0934";"5698.2938";"3510.2080"
"7am";" 641.5038";" 436.0733";"3521.4014";"1218.2431";" 883.1959";"2095.7715";"1435.7727";" 995.5322";"3240.0461";"1710.9655";"2558.6748";"2590.4041";"2756.7725";"3104.4068";"1326.5006";"1431.8896";"1562.6420";"2271.6095";"1964.4494";"1518.7140";"1106.2277";"2565.3661";"2416.2307";"2208.5025";"1943.1299";"1516.9368";"1794.0975";"3775.7691";"2220.2257";"1628.7030";"2586.8034";"3001.6084";"3689.3891";"1328.0058";"2790.2600";"2173.7054";"2752.4099";"1869.8533";"1673.1765";"2712.7406";"1303.7620";"1416.0834";"2609.3362";"1385.4718";"2242.6010";"1941.0585";"2040.3030";"1644.7464";"1616.9186";" 915.7450";"1007.2471";"1101.7936";"2090.7336";"2169.2901";"2175.1257";"2810.4785";" 875.1660";"1696.2370";"4087.5722";"3241.9331";"3241.5813";"2472.1755";"1234.2429";"2141.1575";"2164.1971";"1738.5864";"1917.1754";"3043.8328";"1356.2059";"3047.7123";"3484.5830";"2203.1567";"4054.5196";"2861.6306";"3444.7793";"1664.0460";"2532.9815";"4862.9743";"5549.1060";"2993.3315"
"8am";"1051.3087";" 959.2408";"4070.7317";"1197.7342";"1112.1784";"1975.0131";"1420.1948";" 910.2110";"4282.1037";"1615.9639";"2685.3036";"2106.6184";"3039.6683";"2993.0751";"1224.9705";"1444.4033";"1772.1457";"2310.9604";"2704.3096";"1349.2323";" 833.9957";"2582.1333";"2814.9044";"1901.0754";"2745.6651";"1314.3655";"3366.5537";"4978.8811";"2255.4554";"1938.6610";"2155.8764";"3117.1378";"4079.4957";"1502.4614";"2806.2816";"1568.7368";"2204.1092";"1365.0163";"1433.3325";"2923.4466";"1273.6452";"1341.0428";"2544.9168";"1593.0346";"1850.2453";"1539.6008";"2266.1328";"1413.5382";"1449.9532";" 734.5277";" 857.6964";"1265.4275";"1797.8114";"2043.6884";"2045.9912";"2600.9498";" 833.1146";"1475.3303";"3894.4986";"3154.8207";"2817.1860";"2021.6652";"1028.0803";"1630.2492";"2057.2247";"1609.6355";"1678.0493";"2765.6439";"1452.1280";"2870.8473";"3376.2871";"2043.9209";"3900.3840";"3067.2702";"3430.0545";"1472.4912";"2115.3578";"5361.1032";"5489.3213";"2685.3144"
"9am";"1595.9684";"1361.9331";"4679.5419";"1170.1729";" 963.8614";"1793.2750";"1466.8281";" 788.5687";"4909.3650";"1783.0518";"3222.2918";"1916.4580";"3123.7433";"3095.4309";"1076.0400";"1117.8569";"1925.6585";"2078.6355";"2650.8907";"1241.2472";"1122.1252";"3065.8297";"2745.0046";"1855.5186";"2880.6380";"1251.0048";"3543.7255";"5518.5107";"2359.1513";"1882.6328";"2091.5737";"3709.9818";"4572.5447";"1555.7070";"2848.4169";"1358.0327";"2216.8096";"1642.7225";"1284.6446";"3400.1666";"1245.2652";"1127.9696";"2721.3081";"1423.6823";"1924.9985";"1513.8249";"2477.3185";"1112.1438";"1171.2180";" 642.0796";" 800.5593";"1284.6179";"1630.6293";"2247.9005";"1688.9264";"2379.0398";" 842.7667";"1039.0073";"3904.6076";"3230.8964";"2475.4646";"1929.8547";" 991.5974";"1473.9098";"2150.1170";"1562.2325";"1690.3203";"2680.4948";"1179.0909";"3142.5359";"3353.1631";"1962.5477";"3734.7259";"2767.4746";"3945.5565";"1394.0682";"2068.5401";"5519.0463";"5787.8098";"2528.7212"
"10am";"1534.3203";"1568.5857";"4444.4739";" 757.9673";"1039.4034";"1932.6191";"1526.8623";" 633.5311";"5382.3265";"1545.6703";"3447.1957";"2216.9835";"2923.1910";"2563.8484";"1150.7959";"1205.0798";"2110.9869";"1940.5171";"2754.9636";" 935.7251";" 921.9109";"3203.4086";"2795.5177";"1905.8419";"3435.4206";"1185.6182";"3625.1344";"5452.9429";"1932.0805";"1884.2872";"2273.2619";"3377.8193";"4713.7941";"1622.5330";"2966.6958";"1478.2433";"2314.6400";"1688.3439";"1219.7585";"3670.9373";"1230.4689";"1164.8823";"2898.3556";"1370.8709";"2008.2587";"1480.8748";"2434.1098";"1116.1617";"1178.6898";" 673.8317";" 876.3754";"1199.9709";"1406.3429";"1761.0798";"1827.3225";"2347.2036";" 903.0433";"1075.2491";"3697.3477";"3317.9165";"2639.3751";"1881.5509";" 941.9876";"1443.0435";"1896.3617";"1513.9282";"1806.2430";"2760.5895";"1174.8403";"3024.2481";"3153.8636";"2001.6117";"3909.7230";"2567.2612";"3884.5989";"1389.4686";"2091.9489";"5392.5245";"5838.1820";"2480.3461"
"11am";"1705.7772";"2149.8075";"4021.7700";" 725.5633";"1180.2776";"2259.4283";"1710.2066";" 741.5618";"5322.1602";"1691.2031";"3078.7918";"2248.7591";"2747.1093";"3010.5270";"1394.1674";"1241.9610";"1897.3046";"2088.3753";"2607.0475";"1256.4264";" 880.1766";"2884.0167";"2678.2921";"2148.3809";"3032.1079";"1072.4133";"3347.2049";"5069.7596";"1936.3293";"1846.1855";"2606.9137";"3311.4586";"4765.9128";"1449.3421";"3004.5199";"1466.8414";"2342.4357";"1533.6447";"1150.0323";"3455.0147";"1148.3176";"1335.2156";"2493.3116";"1385.7358";"1818.7330";"1646.7230";"2497.2131";"1041.8787";"1119.6294";" 758.2133";" 909.9620";"1205.8485";"1823.0990";"1830.3825";"1568.5995";"2637.2586";" 899.5354";"1196.0977";"3063.0674";"3301.4453";"2823.8755";"2143.8748";" 941.9876";"1453.7272";"1701.7500";"1547.9024";"1623.6707";"2811.5202";"1043.9060";"3167.7639";"3201.2666";"2018.2015";"3920.8318";"2932.6907";"3793.0090";"1349.8750";"2197.3356";"5391.2490";"5439.4293";"2511.6543"
