"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.33801020216617,0.315885577908147,0.225062286319132,0.301937745151146,0.464873704452108
"5am",0.335306009027376,0.340498944624433,0.215814171087018,0.323997453529801,0.460369953640719
"6am",0.348649353156822,0.323632186212806,0.219761205685337,0.309025578639465,0.450331851914064
"7am",0.285917350959954,0.306155782745665,0.258469336433591,0.333567384784022,0.459429704482843
"8am",0.229550077742686,0.359209852566963,0.233320456302701,0.35008606106186,0.398070227656826
"9am",0.264861207427616,0.305287519008231,0.219651347600539,0.342970572445394,0.417741944676854
"10am",0.232638143266612,0.341344529079553,0.208732896357779,0.26242818711678,0.387235032164243
"11am",0.234991560446528,0.287377536314238,0.182276143757259,0.247140214586488,0.351751893128392
"12am",0.260697650594103,0.316081654246019,0.202648988746589,0.249905055805188,0.411259207781868
"1pm",0.281865190967595,0.41057072135164,0.148951256709945,0.197585451632572,0.423436615733334
"2pm",0.252422130499459,0.351235442571905,0.0885111590895135,0.167584202202953,0.453710567924213
"3pm",0.299804638232148,0.377159889524338,0.116065594664658,0.164399050504061,0.444921247507296
"4pm",0.319551255091526,0.382416681899888,0.203414662366155,0.16737943660632,0.476838587553484
"5pm",0.334336612693711,0.375768436009981,0.176602386915851,0.166944318377002,0.457496738153888
"6pm",0.376907631382321,0.356028943511659,0.187364781320346,0.26179399025819,0.410567953544345
"7pm",0.371304195215947,0.322708747508109,0.18231371810419,0.258803970248938,0.432964441026067
"8pm",0.379601547552254,0.302624213903771,0.190299105405993,0.289624018564413,0.439561730652674
"9pm",0.370935426529978,0.318748784602109,0.198507486948494,0.295478313520778,0.461875610849513
"10pm",0.358502496534347,0.299645311529479,0.181308060868423,0.312667258176028,0.479163859751891
"11pm",0.353198372494895,0.319360174591207,0.190387496907191,0.326576541194305,0.477820614987343
"12pm",0.3499812062689,0.326673897765532,0.20932938055193,0.311707476831779,0.478075290582134
"1am",0.349067200509366,0.330543533960544,0.213396108378277,0.313185831061936,0.47619705772986
"2am",0.348678779294842,0.328732111985346,0.207626065512349,0.307342645944566,0.476878880626725
"3am",0.348455332001722,0.328433055122297,0.207710511824015,0.305821363752684,0.476781963303548
