"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2975,0.1909,0.1413,0.2734
"5am",0.2957,0.192,0.1385,0.2733
"6am",0.3024,0.1873,0.1376,0.2766
"7am",0.2811,0.1836,0.1316,0.2778
"8am",0.2727,0.196,0.1259,0.2799
"9am",0.2747,0.1951,0.1311,0.2732
"10am",0.2755,0.197,0.1336,0.2716
"11am",0.2857,0.1962,0.1345,0.2856
"12am",0.2871,0.1952,0.1345,0.2863
"1pm",0.2766,0.1989,0.1327,0.2824
"2pm",0.2733,0.2012,0.1381,0.2735
"3pm",0.2757,0.2017,0.1373,0.2698
"4pm",0.277,0.2055,0.1325,0.2889
"5pm",0.2936,0.2,0.1332,0.2771
"6pm",0.2936,0.1914,0.1416,0.2669
"7pm",0.2953,0.191,0.1388,0.2711
"8pm",0.2938,0.1946,0.1373,0.2742
"9pm",0.2945,0.1933,0.1388,0.2777
"10pm",0.2956,0.192,0.1416,0.2763
"11pm",0.2984,0.191,0.1408,0.2735
"12pm",0.2975,0.1913,0.1452,0.27
"1am",0.2968,0.1907,0.1438,0.2716
"2am",0.2966,0.1904,0.1435,0.273
"3am",0.2969,0.1908,0.1434,0.2731
