"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.237472723938585,0.48339320922093,0.137731381730231,0.662631211993571
"5am",0.243447334867934,0.483556477985737,0.135716698220995,0.671037169689117
"6am",0.252708670327291,0.478974721584864,0.131732118265359,0.673399106381361
"7am",0.214882976747859,0.480983881577869,0.122871431371831,0.682905095147894
"8am",0.168316015061659,0.44928797779773,0.160669483703428,0.645609553813956
"9am",0.185305049099866,0.415219963547336,0.195131560829895,0.637465155413622
"10am",0.166281868598861,0.412585221980655,0.208258666927887,0.623071736873235
"11am",0.168312330385768,0.373355312956334,0.203738829782956,0.564098654230129
"12am",0.200793590235866,0.454734620781689,0.225706379169986,0.609906174109406
"1pm",0.210920653036895,0.477162881609511,0.273536036425449,0.638482593980322
"2pm",0.205891804471146,0.45019928869234,0.206033077729329,0.625165487956437
"3pm",0.187171513310435,0.433557833296824,0.198189061203446,0.609085623983841
"4pm",0.200351434914184,0.465367495874924,0.173957429127673,0.639272901667517
"5pm",0.241694488258579,0.449950385156035,0.225216773673399,0.599413774500924
"6pm",0.28232414676233,0.500564676935136,0.169808595014089,0.634344068640824
"7pm",0.247844533891185,0.488683829279763,0.133576340909646,0.630631245969053
"8pm",0.246074875003149,0.476459310120285,0.151190786531725,0.638897911773991
"9pm",0.237369238010768,0.481884947490187,0.127231708445573,0.634557667827953
"10pm",0.246774593945812,0.462225212368513,0.14256877182941,0.629736947585967
"11pm",0.244567698725498,0.475606129709532,0.142267196622891,0.640574418537235
"12pm",0.238318227359472,0.487973420059486,0.14768073694153,0.657436785067954
"1am",0.239213860274752,0.490948205381164,0.141362573895923,0.657478497134518
"2am",0.238220494187752,0.4937285874863,0.140747228020496,0.65668494537705
"3am",0.238120954713242,0.495037750820236,0.141962973403807,0.656878018826699
