"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064"
"4am";" 8.247562";" 9.590172";"16.996461";"41.294614";"33.736085";"28.366744";"41.793575";"56.333185";"32.208675";"47.466690";"61.334544";"43.731168";"56.337872";"55.648105";"60.136251";"72.419855";"49.328240";"38.022195";"48.330793";"30.224669";"56.670610";"38.931351";"64.103132";"62.937199";"44.179152";"59.341336";"74.184396";"43.704116";"68.140899";"73.039102";"70.375044";"69.618374";"77.901253";"81.762428";"70.941026";"74.117457";"77.242710";"85.898438";"77.918921";"79.001313";"79.547180";"76.462537";"76.519642";"70.094311";"66.331626";"73.145956";"80.223203";"77.049286";"79.226303";"86.003587";"84.572222";"83.391623";"80.142291";"86.037459";"78.156420";"61.147434";"83.522093";"81.469814";"68.095329";"75.797522";"80.136137";"78.991905";"84.327467";"72.211318";"59.947972";"76.104069";"77.054246";"70.370856";"77.345281";"70.918832";"74.907053";"79.171221";"39.390201";"61.313744";"74.153515";"66.658012";"69.161037";"73.777956";"71.070062";"62.845467"
"5am";"10.525829";" 9.482639";"17.545445";"40.913040";"33.736085";"28.366744";"42.000483";"56.607795";"31.727845";"47.905834";"60.946370";"43.712975";"57.775062";"54.987901";"59.671405";"72.840498";"50.657301";"38.018121";"48.330793";"29.177101";"56.391681";"39.744918";"65.489918";"64.487638";"44.563824";"59.341336";"74.760505";"43.593015";"68.347824";"73.039102";"69.917712";"69.823212";"77.989538";"82.038618";"71.833333";"74.386132";"78.206740";"85.816096";"78.608819";"79.139120";"79.547180";"76.167022";"76.633295";"70.475978";"66.483789";"73.553889";"79.213922";"77.049286";"79.672746";"85.914853";"84.283930";"83.272898";"80.142291";"85.847668";"79.091780";"60.481685";"83.757482";"80.945663";"67.543305";"75.962357";"79.791037";"78.930317";"83.817757";"72.211318";"59.634813";"76.104069";"76.449131";"69.502606";"76.482098";"71.797049";"74.363018";"78.650777";"39.608582";"62.869808";"74.319013";"66.451517";"68.962743";"73.529607";"71.070062";"63.939706"
"6am";"11.409038";" 9.591763";"18.005096";"40.602658";"33.416586";"29.172334";"41.406460";"56.587700";"32.821794";"47.450843";"62.642508";"43.526369";"59.800043";"55.164919";"59.162781";"72.629384";"51.279918";"38.464459";"46.755269";"28.939849";"55.009860";"41.463299";"65.237110";"63.079703";"46.075543";"59.957345";"75.176674";"44.757798";"68.753712";"73.673280";"69.091226";"72.239806";"78.283771";"81.886569";"74.013120";"74.507293";"79.224290";"87.076189";"78.598291";"79.114989";"77.781154";"74.519105";"76.829453";"69.544624";"66.681247";"74.734561";"79.076392";"80.416446";"81.769553";"87.259852";"83.518398";"83.916473";"79.230079";"86.357939";"78.393198";"59.938767";"84.413645";"81.153477";"65.590168";"75.081270";"77.750441";"78.497833";"84.613666";"72.564086";"60.559291";"74.959901";"76.652576";"69.558288";"76.074973";"72.780960";"75.702313";"78.529808";"40.835133";"63.877199";"74.083519";"68.281071";"67.682621";"72.738418";"69.201717";"65.049223"
"7am";"15.98845";"11.30984";"20.55177";"39.45448";"33.19692";"26.76784";"39.64111";"53.32968";"35.82519";"47.73620";"65.61827";"43.59745";"63.13531";"56.71251";"59.22470";"71.48441";"48.88278";"45.30718";"47.71641";"35.45019";"56.21073";"47.85214";"64.46417";"64.19684";"39.68492";"59.97480";"78.40872";"51.16461";"68.54767";"73.56244";"69.18840";"75.67586";"76.31915";"85.53710";"78.21742";"73.45486";"80.87419";"88.75839";"74.58102";"78.75045";"82.03380";"76.98618";"79.97548";"58.95435";"69.10576";"70.04341";"80.08685";"84.68599";"85.17514";"85.80441";"84.56897";"83.60322";"77.01787";"88.89931";"82.42679";"58.07024";"80.84734";"79.96311";"68.93100";"65.81925";"79.47850";"76.24478";"82.00687";"71.60933";"63.13313";"72.27574";"79.56426";"70.37809";"77.08494";"70.30424";"73.57971";"77.92523";"46.70555";"63.18944";"70.02466";"67.86532";"65.29324";"69.61038";"63.04590";"64.35562"
"8am";"18.60295";"12.69301";"21.46359";"46.80282";"34.14874";"29.91603";"31.88571";"55.27045";"40.38417";"44.22085";"70.96159";"44.27936";"64.24183";"61.00813";"59.93195";"62.42248";"45.95994";"49.70318";"55.48566";"35.50625";"55.71728";"52.32953";"68.45057";"61.92006";"40.04654";"54.20593";"81.54928";"51.18492";"71.02344";"71.27459";"64.87165";"79.68636";"72.14772";"88.82140";"77.28709";"77.17216";"80.01818";"84.62774";"78.85537";"73.71426";"79.81729";"75.89226";"79.40904";"56.53726";"69.40159";"66.45051";"73.08953";"86.26179";"76.59346";"78.30231";"80.00395";"84.31894";"72.80939";"83.97500";"76.43673";"58.77008";"81.89581";"81.38336";"66.24588";"60.82201";"76.40982";"81.19048";"80.85124";"64.40920";"59.44036";"69.23703";"74.87773";"66.34785";"70.55019";"69.61658";"72.26956";"75.97261";"44.15950";"63.50876";"72.62238";"63.73475";"55.56400";"72.81260";"63.41836";"60.98790"
"9am";"19.50714";"21.33001";"22.79690";"44.11820";"34.26540";"30.02081";"30.79546";"55.55038";"41.47490";"42.57674";"69.69222";"41.82485";"68.49775";"59.95072";"56.28675";"59.01949";"49.00556";"52.43518";"57.86356";"37.74569";"58.96632";"58.94528";"71.83351";"59.01861";"36.97795";"54.93560";"82.86949";"56.62848";"73.06338";"67.63497";"65.17677";"83.90357";"72.45964";"89.92638";"81.18587";"84.69073";"81.00011";"83.77542";"75.17137";"74.39772";"80.12122";"75.68290";"81.00672";"57.37141";"72.12243";"66.66468";"76.47141";"78.30414";"75.22477";"78.51782";"78.77158";"82.57908";"66.13458";"84.35731";"71.69372";"59.45107";"80.89917";"78.94582";"64.52103";"65.26784";"72.31626";"74.69676";"79.34601";"65.22549";"61.01317";"67.70079";"72.81178";"67.17832";"76.36788";"70.36563";"71.57198";"73.70000";"44.73052";"66.57611";"76.13131";"63.07096";"55.15108";"71.58610";"62.67040";"64.65047"
"10am";"19.13437";"22.01819";"24.30222";"44.16028";"33.06789";"30.82745";"29.76728";"60.12213";"39.77254";"48.46860";"71.33044";"43.44958";"68.74953";"61.03703";"57.97201";"57.95351";"49.45616";"51.90259";"55.12473";"33.94935";"53.52854";"60.17415";"69.75377";"58.48576";"34.61528";"57.29634";"83.12418";"55.86830";"70.35754";"68.13916";"63.85236";"84.73573";"74.60361";"89.05821";"80.44961";"83.31700";"83.78638";"85.29588";"77.07707";"71.78774";"78.35865";"77.87019";"81.29586";"58.04666";"69.38687";"64.08388";"72.45503";"83.61309";"75.92938";"78.78908";"77.81919";"80.85120";"70.34535";"81.23657";"70.85201";"55.72610";"82.77065";"78.37638";"64.76838";"66.84884";"74.34013";"74.68323";"79.95581";"59.77502";"60.12695";"64.85418";"65.67905";"69.98244";"77.34057";"72.07148";"66.96136";"78.34698";"45.64961";"68.97175";"75.74742";"63.08518";"55.56090";"75.09066";"60.07863";"65.11281"
"11am";"16.31984";"20.31675";"23.98453";"39.17101";"35.05489";"35.04759";"29.01599";"60.08538";"39.41868";"50.73596";"69.25800";"46.03916";"67.88455";"62.83892";"54.96804";"63.77796";"48.23651";"48.48163";"58.89343";"32.30847";"57.34237";"55.01094";"69.32880";"52.73173";"35.77732";"49.27413";"83.87313";"53.43769";"72.30644";"67.58592";"63.23197";"84.28338";"73.30702";"88.93945";"78.42803";"84.53028";"83.15857";"83.18280";"76.04276";"68.92737";"79.54395";"76.73656";"76.07141";"62.98057";"72.77404";"66.27272";"78.28763";"82.58835";"80.07173";"71.49696";"80.50779";"80.80714";"75.05910";"83.24353";"71.47170";"56.82314";"79.46905";"79.76596";"58.94688";"64.89563";"75.79014";"78.83923";"81.69596";"65.09627";"58.62821";"68.50712";"63.98996";"66.97293";"75.58329";"68.41398";"66.03871";"78.63831";"41.37361";"67.70791";"71.48523";"62.17705";"62.25272";"73.69541";"59.81750";"61.23484"
