"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912"
"4am";"31.05611";"33.79959";"46.80322";"40.81951";"40.97731";"34.95663";"45.39017";"42.72370";"45.03006";"53.28470";"51.07465";"41.48545";"54.14181";"51.48965";"49.53901";"53.58119";"41.36094";"35.71741";"44.80692";"27.79939";"40.58084";"21.25253";"54.64956";"33.33094";"27.89431";"48.53641";"61.63895";"52.61086";"51.71116";"40.07948";"55.33534";"47.40648";"54.49927";"48.76411";"52.91072";"51.59073";"54.37678";"53.20012";"52.20913";"43.10610";"52.21865";"52.84613";"50.75320";"45.14224";"55.82481";"49.98704";"58.77675";"49.00038";"48.49246";"63.70350";"52.50208";"59.64814";"48.33309";"55.53007";"57.13025";"33.51575";"52.29687";"52.71701";"43.98399";"53.22188";"52.86405";"57.72780";"62.78001";"54.81636";"53.48503";"48.00456";"58.15540";"48.51026";"59.92137";"53.10691";"48.56769";"48.25167";"37.73230";"32.78530";"35.48822";"32.10824";"48.82164";"48.04704";"51.64829";"44.65331"
"5am";"32.08829";"34.45726";"47.59434";"40.48527";"40.97731";"34.95663";"45.55884";"42.46205";"45.53067";"52.26597";"51.59120";"40.57065";"55.54568";"50.83558";"49.07621";"52.67325";"41.79602";"34.76838";"44.80692";"25.96846";"40.24053";"22.15609";"56.26609";"33.05560";"28.31221";"48.53641";"60.96232";"52.47300";"52.13499";"40.07948";"54.72016";"47.73411";"54.66425";"49.42732";"54.24557";"52.04602";"54.09380";"52.95968";"51.89855";"43.42540";"52.21865";"52.29516";"50.96463";"44.87860";"55.22515";"50.71059";"56.92758";"49.00038";"49.48197";"63.49527";"51.27008";"59.38232";"48.33309";"55.02971";"56.27733";"33.24379";"52.88859";"51.56216";"43.97498";"54.20944";"52.14999";"57.61664";"61.76324";"54.81636";"53.16575";"48.00456";"56.89403";"47.12316";"59.06019";"54.33768";"47.64108";"47.15732";"37.28022";"32.34038";"35.83293";"31.72364";"48.53506";"47.60954";"51.64829";"43.79040"
"6am";"33.02514";"33.78987";"48.83592";"39.63722";"40.41590";"33.77645";"45.39702";"41.80776";"47.36470";"51.95668";"51.38849";"39.80937";"57.53510";"50.19530";"47.53070";"54.28879";"40.43270";"35.56242";"44.34376";"25.66312";"38.56165";"25.06303";"56.61912";"31.50098";"29.75107";"47.54487";"60.45397";"53.75409";"50.87346";"41.32511";"54.52815";"52.14594";"53.56171";"49.06184";"56.73058";"51.49019";"56.02831";"51.03287";"51.33165";"43.36944";"51.28894";"51.10544";"51.04938";"42.03871";"53.83312";"50.69417";"56.96587";"49.19707";"49.30411";"62.37801";"50.31647";"61.09258";"49.12268";"55.07686";"56.68630";"33.24379";"52.86492";"52.01899";"39.50172";"52.86706";"48.42867";"56.86441";"61.75635";"54.18032";"52.05034";"44.98821";"57.22404";"46.55231";"59.87027";"54.88196";"47.90244";"46.90413";"35.91017";"33.45838";"34.31792";"27.67985";"46.69632";"45.80012";"52.05325";"40.19297"
"7am";"32.77569";"36.55764";"49.71783";"42.04538";"36.31719";"32.49102";"47.90350";"34.84577";"43.28655";"53.89081";"53.11759";"38.91058";"56.35692";"44.94657";"43.76255";"51.44258";"34.46313";"39.30008";"40.04562";"30.89220";"37.61815";"31.50116";"53.81686";"33.42000";"20.22451";"49.00351";"67.03812";"57.91015";"55.40904";"45.28531";"50.90712";"59.15716";"48.89785";"54.07032";"62.56299";"47.41728";"55.58214";"41.29945";"46.46305";"41.82998";"49.13663";"44.75936";"53.54120";"36.08609";"52.33500";"48.17126";"56.07881";"49.80136";"46.58167";"57.52382";"47.12109";"55.12959";"38.09285";"56.67008";"54.03289";"32.43358";"46.46398";"47.62176";"42.64584";"45.89561";"43.92623";"50.09955";"58.58826";"53.15859";"54.55475";"38.84501";"54.50328";"46.35630";"57.81004";"49.87736";"45.79881";"42.90131";"38.06830";"32.47636";"35.19182";"29.20850";"41.39129";"43.13163";"51.09765";"35.95586"
"8am";"38.21872";"45.61901";"49.35730";"42.16884";"33.56827";"28.78186";"42.05986";"31.23494";"49.51982";"52.52244";"57.70448";"34.15276";"66.12063";"42.34805";"38.61759";"48.36742";"37.71687";"45.05601";"48.63382";"30.24327";"29.90486";"36.88717";"60.30692";"36.22242";"26.79083";"46.33315";"74.55994";"57.90136";"56.28249";"38.65608";"45.55220";"62.30409";"44.09169";"65.68664";"62.87497";"43.69090";"53.29508";"39.75521";"46.32445";"45.16270";"48.03266";"39.09733";"52.58365";"44.12346";"42.84455";"44.34906";"56.27967";"45.19763";"41.95226";"52.11584";"38.70632";"51.71846";"30.52484";"47.41530";"50.34333";"33.15749";"44.77088";"43.29505";"38.81873";"45.29134";"43.76528";"44.01378";"54.42506";"46.19604";"51.17534";"39.63730";"47.05430";"45.20608";"58.62512";"45.10024";"49.18438";"41.15965";"38.28258";"34.43690";"38.38168";"28.32458";"33.14780";"46.21401";"48.76983";"30.22842"
"9am";"38.64295";"52.50621";"45.76894";"42.70074";"35.48609";"31.32047";"42.61387";"30.19876";"50.38312";"52.33668";"54.26092";"32.21518";"66.61521";"47.78002";"29.95293";"51.62158";"39.45162";"46.39846";"50.13480";"30.90518";"31.25078";"44.26285";"62.11516";"33.38240";"24.34549";"54.04075";"78.71979";"60.45284";"57.05772";"37.29114";"44.64880";"60.51551";"45.73618";"63.00302";"58.90640";"44.79304";"52.83621";"35.64739";"49.12635";"42.08050";"50.09323";"33.74336";"52.43536";"36.72980";"44.68711";"44.29983";"57.86743";"39.61885";"39.37219";"50.06297";"36.73772";"51.86473";"34.16140";"49.21589";"50.19741";"33.55826";"46.92069";"39.72232";"37.38709";"44.94698";"45.02437";"43.45689";"52.13632";"43.60915";"51.64433";"40.21129";"47.15572";"47.39713";"58.08018";"45.91778";"49.72794";"38.68375";"37.15150";"37.84448";"40.99707";"29.35111";"30.81550";"47.17586";"50.67041";"34.67977"
"10am";"37.31799";"52.53867";"48.47366";"44.14418";"39.52973";"32.44680";"41.92459";"25.31198";"48.69855";"53.47902";"55.51880";"37.06520";"66.36255";"45.13327";"27.88666";"48.73613";"39.04629";"44.62674";"49.33264";"30.91412";"35.44277";"44.82608";"63.66966";"34.71811";"22.50299";"58.14743";"79.22404";"58.40936";"59.15042";"33.93144";"45.66159";"57.52891";"46.80204";"61.48689";"57.15466";"47.26850";"56.64843";"34.16888";"51.65700";"42.41325";"49.98196";"36.73266";"49.69686";"39.15960";"44.37670";"41.85124";"55.90575";"40.88106";"38.99414";"49.75292";"35.92081";"52.72129";"35.14461";"50.89584";"52.97080";"36.80943";"49.03940";"40.69236";"38.15702";"43.52038";"41.16169";"43.21717";"52.78752";"43.28803";"50.45502";"40.65495";"42.82706";"44.71918";"58.33323";"45.51638";"46.84050";"43.19199";"39.58417";"36.57600";"41.83403";"30.91232";"30.32906";"47.41264";"49.36597";"37.46064"
"11am";"39.75779";"51.01287";"50.01579";"40.55477";"37.97286";"33.10702";"44.51294";"31.41078";"50.29828";"55.84305";"58.27882";"39.14363";"64.24684";"45.72284";"31.15061";"47.15053";"39.63867";"45.90568";"50.77884";"27.91930";"31.58102";"42.47932";"62.11326";"33.79233";"25.02258";"56.26208";"79.28545";"58.28885";"57.86830";"34.69225";"47.58168";"61.63815";"43.21084";"64.10906";"59.45899";"47.13829";"55.35990";"35.90343";"53.49395";"42.18457";"44.47483";"36.42588";"48.75046";"41.30633";"42.95803";"39.83762";"60.40981";"38.48715";"36.26804";"51.15967";"36.33919";"51.31678";"35.83513";"55.34283";"50.69800";"36.71429";"53.57342";"40.53059";"36.66264";"45.37794";"37.73382";"42.36566";"53.50326";"42.98937";"46.34769";"42.93315";"44.14801";"46.27676";"54.44074";"45.51122";"45.92061";"45.35709";"35.95115";"37.91722";"42.36746";"30.05943";"30.57620";"49.95320";"47.20485";"35.64544"
"12am";"40.25733";"48.94234";"50.49357";"40.56869";"36.05435";"31.94575";"42.43356";"30.02362";"51.65525";"52.63806";"57.90752";"38.60698";"60.96975";"47.59223";"34.12248";"49.91886";"39.15071";"43.79958";"51.35185";"25.31587";"28.24773";"41.46285";"61.15104";"33.64586";"24.73932";"58.82277";"76.70678";"56.30565";"56.50058";"36.71162";"53.31310";"58.83477";"48.65163";"61.52184";"57.40437";"45.88078";"54.68411";"45.60686";"48.70486";"45.34548";"51.71673";"40.77755";"53.93247";"41.58966";"45.13972";"39.51436";"57.60158";"45.12806";"44.31139";"53.99141";"39.86331";"51.77807";"32.76640";"55.94677";"51.21867";"33.18103";"48.19091";"40.17366";"36.07217";"45.56914";"41.34735";"42.87345";"51.74449";"46.54855";"47.37108";"42.93065";"50.81622";"47.29265";"52.73516";"47.75431";"47.22466";"45.90637";"34.28846";"41.55502";"36.18898";"28.37528";"33.33931";"48.64366";"49.02341";"36.22819"
"1pm";"39.86858";"51.05769";"51.69157";"39.34062";"39.03520";"31.60096";"39.72103";"34.20305";"48.93411";"52.21711";"56.25972";"38.78074";"61.36663";"50.62114";"33.95248";"50.48234";"40.63526";"47.63232";"47.64786";"32.62173";"28.45391";"43.69297";"59.95033";"35.71044";"25.38646";"53.80407";"76.23503";"51.05781";"58.90950";"30.66001";"51.12445";"56.56040";"44.46012";"63.06801";"59.15057";"43.26739";"52.08964";"41.80359";"52.13459";"47.17644";"48.42457";"43.07122";"51.99277";"47.28884";"45.64541";"41.21059";"60.05937";"43.18328";"41.33961";"50.71087";"36.02637";"50.87110";"28.30410";"54.64208";"52.51703";"35.80892";"47.03222";"39.42269";"37.63240";"39.76231";"45.58804";"43.34248";"52.71621";"45.20709";"50.27014";"42.90211";"48.72324";"45.44756";"52.05806";"47.97436";"47.51103";"43.51913";"30.70080";"38.59703";"44.85652";"31.08039";"30.92444";"52.30696";"48.05524";"36.34133"
"2pm";"40.41722";"42.14081";"50.25511";"39.19602";"38.24789";"34.57079";"36.76443";"34.90463";"45.42314";"44.58427";"54.76751";"39.96988";"65.33237";"49.82803";"33.88644";"52.72489";"41.05721";"44.80640";"48.83296";"35.03573";"31.20350";"41.96442";"62.30466";"38.25520";"25.48498";"56.20703";"79.56625";"50.04450";"61.53867";"37.06087";"54.78561";"56.66870";"45.25392";"62.43011";"56.15907";"41.33538";"53.65913";"40.27204";"51.51643";"45.33284";"50.78137";"39.94232";"51.25306";"45.82974";"46.38110";"47.81741";"59.39688";"43.39980";"40.45502";"47.60005";"38.03607";"50.52840";"31.43613";"53.18600";"51.67408";"34.70415";"49.91531";"42.92897";"41.40516";"41.66996";"50.76109";"44.64164";"51.88995";"41.47634";"51.40012";"42.61827";"44.88387";"47.23530";"55.47454";"48.25041";"46.65233";"50.84277";"33.02773";"40.12232";"43.08534";"32.92983";"33.08978";"49.50659";"45.72545";"37.24704"
