"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354";"12760.33354"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"5am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"0";"  0.0000";"0";"0";"751.0564";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"0";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"0";"  0.0000";"0";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"0";"  0.0000";"0";"  0.0000"
"6am";"   0.0000";"   0.0000";" 591.0184";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";" 870.3574";"   0.0000";"   0.0000";"   0.0000";"1044.7647";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1542.2273";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 836.8643";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 857.3913";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"7am";" 635.5144";"   0.0000";"1962.9116";"   0.0000";"   0.0000";"1083.2990";"   0.0000";"   0.0000";"2437.6934";"   0.0000";"1441.1449";"   0.0000";"1889.0521";" 620.7024";"   0.0000";"   0.0000";"1309.5790";" 808.4484";"1342.6707";"   0.0000";"   0.0000";"2899.5377";"1619.9380";" 658.7671";"1141.0306";" 864.5338";"2334.8529";"1935.0996";"1292.4768";" 724.5067";"   0.0000";"2450.6514";" 722.4162";"   0.0000";"2207.6861";"   0.0000";"1152.6961";"   0.0000";"   0.0000";"1175.8290";"   0.0000";"   0.0000";"1077.5864";"   0.0000";"   0.0000";"   0.0000";" 966.3428";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1004.6307";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 879.5476";" 979.7179";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1229.9923";"   0.0000";"   0.0000";"1056.7280";"1360.2573";"1535.4049";"   0.0000";"   0.0000";" 684.2695";"   0.0000";"   0.0000"
"8am";"2104.0067";"1340.3550";"3776.6033";"1106.0077";" 794.3321";"1903.3119";" 762.1681";"   0.0000";"5473.2620";"1181.7516";"3177.6903";"   0.0000";"3628.0039";"1525.1654";"   0.0000";" 916.8432";"2475.2198";"2371.1480";"3894.1943";" 862.9275";"   0.0000";"5208.3569";"4208.4455";"1366.5732";"3537.5196";"1278.4546";"7223.0273";"4554.3528";"2473.0091";"1118.0095";" 726.3616";"4356.4678";"1836.8796";"1476.9520";"3214.1584";" 841.0415";"1587.4480";" 607.2911";" 680.4796";"2669.8911";"1264.5111";"   0.0000";"2237.4886";" 808.9668";"   0.0000";"   0.0000";"1767.2018";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 720.2314";"   0.0000";"1125.1726";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1465.8604";"1575.5658";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1119.7672";"   0.0000";" 927.5789";"   0.0000";"   0.0000";"1823.0831";"1243.2009";"1302.5938";"1694.1634";"2126.1666";"2644.1020";"   0.0000";"   0.0000";"2018.5893";"   0.0000";"   0.0000"
"9am";"3315.9213";"2604.3703";"4305.3666";"1109.8993";"1043.1135";"2461.8344";"1033.0314";"   0.0000";"6155.0382";"1521.6583";"3425.6685";"   0.0000";"3969.6451";"2013.4955";"   0.0000";"1103.1898";"2986.7694";"2645.8799";"4298.0655";" 761.5884";"   0.0000";"6442.5883";"5116.5402";"1382.5689";"4175.2024";"1777.6830";"8902.3692";"6628.3322";"2776.6999";"1045.8008";" 806.4521";"5158.1467";"2593.5289";"1496.5148";"3255.6030";"1269.6646";"1800.9335";" 776.7341";" 822.0549";"2780.1887";"1593.8967";"   0.0000";"2641.8244";" 656.4853";"   0.0000";"   0.0000";"2316.7674";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 807.7917";"   0.0000";"1412.2867";"   0.0000";"   0.0000";" 585.1869";"   0.0000";"1820.8251";"1812.5516";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1333.4146";"   0.0000";" 964.1738";"   0.0000";"   0.0000";"2162.8795";"1243.2009";"1227.0612";"2062.1337";"2164.3430";"3479.9261";"   0.0000";"   0.0000";"2545.9995";"   0.0000";"   0.0000"
"10am";"3284.8139";"3285.6928";"4534.4311";" 970.2473";"1296.6674";"2637.9421";" 989.8888";"   0.0000";"6221.1355";"1412.2292";"3583.2894";" 704.8057";"3954.0751";"1938.8527";"   0.0000";"1071.7089";"3121.7086";"2264.8757";"4323.5952";" 952.2646";"   0.0000";"6428.0307";"5472.5381";"1244.6292";"4268.3885";"1905.0738";"9142.0271";"6673.9749";"2712.0938";" 999.8989";" 771.0253";"4990.5391";"3005.5406";"1586.7674";"3125.2465";"1268.9441";"1884.2255";" 634.0474";" 833.8219";"3020.0024";"1698.6825";" 581.9556";"2738.9400";" 738.4855";"   0.0000";"   0.0000";"2253.3009";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 837.2492";"   0.0000";"1352.3352";"   0.0000";" 768.9724";" 566.5050";"   0.0000";"1714.9332";"1871.6539";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1216.1761";"   0.0000";" 813.4883";"   0.0000";"   0.0000";"2200.3035";" 985.1577";"1543.8094";"2357.0950";"2002.1589";"3676.5854";"   0.0000";"   0.0000";"2806.3409";"   0.0000";"   0.0000"
"11am";"3516.5377";"3465.1021";"4392.0190";" 854.7140";"1347.1548";"2985.6714";"1260.2430";"   0.0000";"6394.0809";"1581.9297";"3173.9045";" 763.3636";"3590.0227";"1990.4311";"   0.0000";"1064.0289";"3006.5015";"2406.7950";"4213.2295";" 928.8427";"   0.0000";"6232.2976";"5325.4070";"1081.9796";"4338.8260";"1734.0391";"8688.3212";"5889.2514";"2643.1557";" 967.1855";" 924.8404";"4731.5892";"2791.8329";"1543.3484";"3521.5741";"1207.7342";"1835.2171";" 597.0375";" 912.5213";"2880.1463";"1513.7965";" 506.1849";"2445.1950";" 973.4056";"   0.0000";"   0.0000";"2412.0107";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 834.1882";"   0.0000";"1412.2867";"   0.0000";"   0.0000";" 809.6998";"   0.0000";"1416.4741";"1789.9461";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 907.0038";"   0.0000";" 766.1015";" 728.4345";"   0.0000";"2062.5328";" 977.4991";"1566.9535";"1824.1130";"2223.7625";"3410.2464";"   0.0000";"   0.0000";"2381.2150";"   0.0000";"   0.0000"
