"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328"
"4am";" 853.2927";" 477.8510";"1189.4617";" 510.1996";" 547.1397";" 989.5717";" 608.1767";" 254.5353";" 890.5066";" 570.2257";" 943.4406";" 927.0419";" 732.7219";" 946.4617";" 449.3473";" 169.5358";" 511.7027";"2003.4597";" 835.9359";"1409.1750";" 689.6932";" 638.1721";" 566.1484";"1433.5095";" 346.6177";" 322.8870";" 418.6548";" 722.0626";" 566.1291";" 300.9818";" 400.4112";" 733.7515";" 760.3077";" 229.9273";" 510.0343";" 176.0372";" 532.9686";" 239.2111";" 458.8212";" 978.7912";" 258.4361";" 286.8148";" 358.1460";" 324.8392";" 585.6474";" 496.6503";" 470.2202";" 619.0142";" 620.2190";" 293.7522";"   0.0000";" 114.5999";" 653.8053";" 252.9429";" 302.2172";" 564.1986";" 130.5874";" 474.0847";"1114.6627";" 873.1531";" 580.2187";" 827.8699";" 141.8755";" 230.7342";" 395.1356";" 736.8325";" 840.3474";" 994.1934";" 244.8922";" 810.9594";" 915.8922";" 748.1228";"1528.7270";"1678.5502";"1714.2138";" 942.9230";" 920.7450";" 896.1841";" 252.9875";" 624.6781"
"5am";" 853.2927";" 477.8510";"1189.4617";" 510.1996";" 547.1397";" 989.5717";" 608.1767";" 254.5353";" 890.5066";" 570.2257";" 943.4406";" 927.0419";" 732.7219";" 946.4617";" 449.3473";" 169.5358";" 511.7027";"2003.4597";" 835.9359";"1409.1750";" 689.6932";" 638.1721";" 566.1484";"1433.5095";" 346.6177";" 322.8870";" 418.6548";" 722.0626";" 566.1291";" 300.9818";" 400.4112";" 733.7515";" 760.3077";" 229.9273";" 510.0343";" 176.0372";" 532.9686";" 239.2111";" 458.8212";" 978.7912";" 258.4361";" 286.8148";" 358.1460";" 324.8392";" 585.6474";" 496.6503";" 470.2202";" 619.0142";" 620.2190";" 293.7522";"   0.0000";" 114.5999";" 653.8053";" 252.9429";" 302.2172";" 564.1986";" 130.5874";" 474.0847";"1114.6627";" 873.1531";" 580.2187";" 827.8699";" 141.8755";" 230.7342";" 395.1356";" 736.8325";" 840.3474";" 994.1934";" 244.8922";" 810.9594";" 915.8922";" 748.1228";"1659.8654";"1547.4118";"1714.2138";" 942.9230";" 920.7450";" 896.1841";" 252.9875";" 624.6781"
"6am";" 853.2927";" 477.8510";"1189.4617";" 510.1996";" 547.1397";" 989.5717";" 608.1767";" 254.5353";" 890.5066";" 570.2257";" 943.4406";" 927.0419";" 732.7219";" 946.4617";" 449.3473";" 169.5358";" 511.7027";"2003.4597";" 835.9359";"1409.1750";" 689.6932";" 638.1721";" 566.1484";"1433.5095";" 346.6177";" 322.8870";" 418.6548";" 722.0626";" 566.1291";" 300.9818";" 400.4112";" 733.7515";" 760.3077";" 229.9273";" 510.0343";" 176.0372";" 532.9686";" 239.2111";" 458.8212";" 978.7912";" 258.4361";" 286.8148";" 358.1460";" 324.8392";" 585.6474";" 496.6503";" 470.2202";" 619.0142";" 620.2190";" 293.7522";"   0.0000";" 114.5999";" 604.8443";" 252.9429";" 302.2172";" 564.1986";" 130.5874";" 474.0847";"1050.5172";" 873.1531";" 580.2187";" 827.8699";" 141.8755";" 230.7342";" 395.1356";" 736.8325";" 840.3474";" 994.1934";" 244.8922";" 883.6119";" 915.8922";" 748.1228";"1659.8654";"1547.4118";"1641.5613";" 942.9230";" 920.7450";" 896.1841";" 252.9875";" 624.6781"
"7am";" 812.2810";" 477.8510";"1189.4617";" 510.1996";" 547.1397";" 989.5717";" 608.1767";" 295.5470";" 939.4676";" 519.8076";"1038.3787";" 927.0419";" 732.7219";" 946.4617";" 401.0686";" 210.9363";" 559.9814";"1956.8706";" 835.9359";"1367.7745";" 689.6932";" 542.5827";" 603.3839";"1396.2740";" 442.2071";" 322.8870";" 418.6548";" 722.0626";" 566.1291";" 251.6987";" 400.4112";" 733.7515";" 695.7198";" 229.9273";" 442.9310";" 176.0372";" 532.9686";" 198.8100";" 424.4720";" 908.5736";" 258.4361";" 286.8148";" 358.1460";" 324.8392";" 585.6474";" 496.6503";" 470.2202";" 586.9322";" 593.9985";" 293.7522";"   0.0000";" 114.5999";" 555.8359";" 213.8708";" 341.2893";" 519.6786";" 130.5874";" 474.0847";"1019.2121";" 873.1531";" 675.6694";" 827.8699";" 141.8755";" 230.7342";" 395.1356";" 736.8325";" 840.3474";" 926.9792";" 244.8922";" 883.6119";" 915.8922";" 707.8654";"1659.8654";"1459.6228";"1681.8188";" 942.9230";" 920.7450";" 896.1841";" 252.9875";" 624.6781"
"8am";" 995.1697";" 526.8120";"1510.0235";" 440.7470";" 547.1397";" 988.7134";" 775.7243";" 254.5353";" 928.3852";" 650.3397";" 943.4406";" 927.0419";" 585.9560";" 904.8008";" 381.4103";" 183.7846";" 511.7027";"1939.4902";"1045.1293";"1117.9981";" 559.9643";" 672.2522";" 603.3839";"1311.5011";" 378.1089";" 269.5601";" 464.9262";" 750.3324";" 522.6207";" 265.8888";" 470.8370";" 768.8445";" 820.5941";" 214.3413";" 378.3078";" 176.0372";" 490.4770";" 307.1481";" 391.1836";" 908.5736";" 246.3151";" 291.6318";" 344.3042";" 296.8963";" 467.2434";" 413.6293";" 470.2202";" 522.1068";" 558.1319";" 293.7522";"   0.0000";" 114.5999";" 604.8443";" 258.3908";" 310.2018";" 519.6786";" 106.9882";" 403.6588";"1114.6627";" 822.6458";" 453.5283";" 827.8699";" 141.8755";" 230.7342";" 351.8242";" 564.1050";" 765.4884";" 926.9792";" 244.8922";" 883.6119";" 790.5714";" 908.0452";"1566.6820";"1459.6228";"1630.7789";" 942.9230";" 920.7450";" 965.7161";" 252.9875";" 518.3577"
"9am";" 947.5810";" 543.4972";"1611.8902";" 356.0719";" 536.4804";" 969.0205";" 642.5594";" 187.4186";" 864.7789";" 656.4730";"1110.3964";" 927.0419";" 585.9560";" 904.8008";" 313.7034";" 210.9363";" 649.0837";"2004.6694";"1016.3468";" 776.6871";" 589.8236";" 681.0180";" 656.0073";"1456.7689";" 367.1596";" 208.8397";" 585.5505";" 635.0208";" 707.0053";" 265.8888";" 470.8370";" 987.6285";"1192.3459";" 182.8634";" 577.0041";" 249.2011";" 490.4770";" 337.0224";" 245.8674";" 980.9227";" 269.9882";" 174.7215";" 269.5580";" 274.1826";" 344.0949";" 413.6293";" 438.7990";" 512.1089";" 593.9985";" 247.7043";"   0.0000";" 114.5999";" 554.3029";" 252.9429";" 271.1297";" 670.0125";" 110.9257";" 403.6588";"1259.9701";" 674.6817";" 391.6634";" 758.3930";" 141.8755";" 230.7342";" 292.0288";" 564.1050";" 690.6294";" 926.9792";" 180.0281";" 950.3664";" 587.7819";" 973.8025";"1646.7271";"1147.8709";"2029.3591";" 820.3068";" 863.8830";"1022.5781";" 252.9875";" 518.3577"
"10am";" 946.2985";" 686.8529";"1388.2126";" 253.0997";" 486.8090";"1012.3873";" 434.4889";" 165.2853";"1236.3570";" 667.9532";" 931.3543";" 871.0052";" 545.7946";" 962.2505";" 381.6404";" 210.9363";" 785.6218";"1667.0467";" 971.9815";"1089.0258";" 619.0265";" 597.0364";" 540.4852";"1341.0277";" 367.1596";" 321.7959";" 624.0469";" 888.5154";" 702.3018";" 265.8888";" 470.8370";"1255.7821";" 903.6861";" 214.3413";" 589.2282";" 230.4479";" 446.5697";" 375.8906";" 240.3198";" 941.8621";" 300.8915";" 237.9748";" 392.8687";" 274.1826";" 407.6853";" 452.3576";" 426.0303";" 459.4652";" 558.3398";" 270.9927";"   0.0000";" 114.5999";" 590.3014";" 252.9429";" 235.1312";" 519.6786";" 110.9257";" 403.6588";" 996.9001";" 735.7979";" 669.5077";" 745.0085";" 141.8755";" 152.9051";" 335.3402";" 564.1050";" 690.6294";" 925.1847";" 212.2874";"1297.0742";" 789.7171";" 792.6085";"1462.1273";"1163.5681";"1683.7750";" 729.3011";" 920.7450";" 922.4046";" 252.9875";" 518.3577"
"11am";" 849.4463";" 625.1748";"1340.2047";" 373.9234";" 503.1773";"1311.7408";" 417.7570";" 207.2500";"1054.5878";" 612.2285";" 805.4055";" 631.9048";" 619.7549";" 922.0804";" 449.3473";" 169.5358";" 639.1130";"1742.5518";" 927.6417";"1244.9776";" 614.4884";" 354.8178";" 480.2996";"1240.7748";" 462.7490";" 283.4863";" 518.6882";" 714.2065";" 467.3091";" 300.9818";" 470.8370";" 823.8476";" 921.0129";" 198.4495";" 644.4991";" 176.0372";" 490.4770";" 316.0952";" 347.8542";" 959.6737";" 515.4874";" 268.0325";" 629.5924";" 361.5124";" 476.3602";" 446.9504";" 426.0303";" 512.1089";" 593.9985";" 275.9406";"   0.0000";" 114.5999";" 653.8053";" 177.4322";" 221.1144";" 465.1479";" 110.9257";" 403.6588";"1058.3089";" 725.1890";" 796.1981";" 814.4854";" 141.8755";" 152.9051";" 395.1356";" 467.7117";" 685.2937";" 925.1847";" 286.9720";"1099.4829";" 926.0147";" 806.5778";"1775.1255";"1066.8116";"1566.9851";" 667.9931";" 920.7450";"1018.7979";" 252.9875";" 518.3577"
"12am";"1003.0998";" 568.2054";"1361.4472";" 527.0618";" 596.0976";"1203.4336";" 476.6129";" 222.2673";" 908.3695";" 586.7094";" 738.0985";" 697.7833";" 567.2793";" 866.2970";" 449.3473";" 244.2247";" 483.3447";"1696.4977";" 993.9379";"1301.9209";" 689.6932";" 562.2445";" 428.2532";"1350.2462";" 367.1596";" 226.2066";" 492.1229";" 831.0814";" 450.1938";" 300.9818";" 426.9128";" 743.9193";" 776.8226";" 198.4495";" 510.0343";" 176.0372";" 490.4770";" 239.2111";" 347.8542";"1008.0716";" 300.8915";" 308.6565";" 679.3664";" 349.0620";" 451.0833";" 602.3442";" 438.7990";" 512.1089";" 620.2190";" 275.9406";"   0.0000";" 114.5999";" 653.8053";" 177.4322";" 221.1144";" 519.6786";" 154.0354";" 403.6588";" 963.5088";" 873.1531";" 731.3726";" 859.4601";" 141.8755";" 152.9051";" 395.1356";" 564.1050";" 685.2937";" 925.1847";" 286.9720";"1099.4829";" 996.0869";" 782.7244";"1760.7770";"1242.3895";"1484.0172";" 786.2750";" 920.7450";" 927.5691";" 221.6026";" 571.5179"
"1pm";"1067.97580";" 633.92191";"1305.36657";" 435.57631";" 474.98408";"1231.18459";" 476.61290";" 171.91130";" 875.78387";" 544.24262";" 986.96709";" 623.34281";" 719.32225";" 868.65220";" 359.46677";" 210.93628";" 422.52510";"1725.72112";" 864.70383";"1290.59058";" 654.35987";" 608.74385";" 493.21214";"1254.12704";" 251.54256";" 250.05896";" 681.04065";" 802.44740";" 481.61388";" 388.04113";" 120.69763";" 915.91897";" 665.92882";" 216.44327";" 548.08531";" 176.03718";" 394.77191";" 204.62800";" 313.50505";" 856.35235";" 269.98820";" 308.65652";" 936.52413";" 339.83247";" 507.18622";" 602.34420";" 476.46891";" 538.67423";" 593.99853";" 258.30590";"   0.00000";" 114.59989";" 554.25559";" 177.43224";" 221.11438";" 416.75517";" 154.03544";" 474.08466";" 966.20094";" 850.47977";" 580.21872";" 827.86987";"  77.54103";" 184.49539";" 395.13562";" 564.10497";" 685.29369";" 925.18473";" 294.66447";" 993.79132";" 874.31612";" 848.39223";"1902.60597";"1330.17851";"1539.98981";" 908.89110";" 920.74499";" 822.75939";" 355.75637";" 571.51789"
"2pm";"1209.62747";"1137.95469";"1279.05461";" 409.71591";" 588.54294";" 830.87542";" 651.38251";" 129.37069";"1033.19105";" 616.16952";" 999.83400";" 613.23075";" 524.32292";"1014.46098";" 330.61613";" 141.18262";" 531.62346";"1492.71024";" 801.49011";"1376.25704";" 623.05169";" 678.24121";" 531.25692";"1208.48394";" 273.74211";" 284.30002";" 344.12072";" 793.51569";" 425.56515";" 243.70878";" 213.90492";"1060.39444";" 735.94197";" 216.44327";" 797.94434";" 491.27466";" 199.64321";" 162.25657";" 313.50505";" 856.35235";" 210.73848";" 249.25019";" 773.84123";" 272.65487";" 579.69296";" 425.48988";" 528.11267";" 554.18872";" 423.32033";" 258.30590";"   0.00000";" 114.59989";" 505.29457";" 298.28661";" 271.12970";" 414.78811";"  96.64936";" 474.08466";"1073.87778";" 764.72409";" 329.84188";" 888.41018";"  77.54103";" 184.49539";" 315.23335";" 494.86333";" 765.48837";" 709.98212";" 262.40522";"1095.71608";" 734.46850";" 558.57070";"1907.84133";"1228.38641";"1646.25099";" 908.89110";" 920.74499";" 847.23835";" 355.75637";" 571.51789"
"3pm";"1027.39529";" 819.00657";"1246.87160";" 337.00498";" 930.55758";" 903.32243";" 593.97284";" 129.37069";"1165.27123";" 681.72609";" 884.43595";" 484.79270";" 714.68755";" 623.33044";" 365.39983";" 183.78463";" 527.77851";"1371.30937";" 757.42893";"1262.92419";" 533.20769";" 554.53855";" 623.67219";"1150.90756";" 235.69111";" 351.62003";" 536.96465";" 751.70323";" 537.29961";" 349.99013";" 364.61950";"1135.35751";" 688.83985";" 229.92733";" 779.78121";" 463.62917";" 299.78892";" 274.77017";" 352.56565";"1077.01591";" 300.92978";" 249.25019";" 646.55046";" 300.72439";" 643.53007";" 354.64605";" 528.11267";" 489.36324";" 641.00833";" 212.56115";"   0.00000";" 114.59989";" 505.29457";" 174.08433";" 216.47204";" 519.67862";" 143.23844";" 474.08466";"1167.70169";" 670.90018";" 329.84188";" 586.39420";"  77.54103";" 184.49539";" 278.64251";" 528.08789";" 774.21708";" 778.99079";" 270.16634";"1089.01047";" 790.57142";" 558.57070";"2174.49454";"1126.57224";"1367.88406";" 778.92507";" 920.74499";" 928.59187";" 355.75637";" 571.51789"
