"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"  0.0000000";"  0.0000000";"  0.0000000";"  1.6334685";"  0.8074026";"  0.2548876";"  0.0000000";"  0.0000000";"  1.2022382";"  0.5404964";"  0.0000000";"  0.0000000";"  0.7571278";"  0.3246260";"  0.4500342";"  0.0000000";"  0.0000000";"  0.0000000";"  1.6977834";"  0.0000000";"  0.0000000";"  0.8540434";"  0.0000000";"  0.0000000";"  0.5701551";"  0.7381681";"  1.8859640";"  0.0000000";"  0.0000000";"  0.0000000";"100.0000000";" 99.3485363";"  0.0000000";"  0.0000000";"  1.2086064";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.7084736";"100.0000000";"  0.6863426";"  0.0000000";"  0.5434946";"100.0000000";"100.0000000";" 98.1952082";"  0.0000000";" 99.6868260";"100.0000000";" 99.3188009";"100.0000000";"  0.0000000";"  1.1779734";"  0.0000000";"  0.0000000";"  0.0000000";"100.0000000";" 99.1210953";"100.0000000";"100.0000000";" 99.3350241";" 98.3757972";" 98.4163272";" 99.1944093";"100.0000000";"  0.0000000";"  0.0000000";"  0.8535446";"  0.0000000";"  1.1803249";"  1.3316755";"  0.0000000";"100.0000000";"100.0000000";"100.0000000";" 99.4070561"
"5am";"  1.2048251";"  0.0000000";"  0.0000000";"  1.6422136";"  0.8074026";"  0.2548876";"  0.0000000";"  0.0000000";"  1.1535785";"  0.5521154";"  0.2955969";"  0.0000000";"  0.7350141";"  0.0000000";"  0.4541262";"  0.0000000";"  0.7164368";"  0.0000000";"  1.6977834";"  0.0000000";"  0.0000000";"  0.8442441";"  3.7148409";"  0.0000000";"  0.5668507";"  0.7381681";"  1.9189305";"  0.0000000";"  0.2394825";"  0.0000000";"100.0000000";" 98.3719429";"  0.0000000";"  0.0000000";"  1.6755186";"  0.9300207";"  0.4018172";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.7054582";"100.0000000";"  0.6955872";"  0.0000000";"  0.0000000";"100.0000000";" 99.4551229";" 98.1848542";"  0.0000000";" 99.6847763";"100.0000000";" 98.8436607";"100.0000000";"  0.0000000";"  2.9259477";"  0.0000000";"  0.2599683";"  0.0000000";"100.0000000";" 99.1187842";"100.0000000";"100.0000000";" 99.3305603";" 98.3757972";" 98.3689110";" 99.1733579";"100.0000000";"  0.0000000";"  0.0000000";"  0.8710214";"  0.0000000";"  1.2111673";"  1.9684148";"  0.0000000";"100.0000000";"100.0000000";"100.0000000";" 99.3982234"
"6am";"  1.1886024";"  0.0000000";"  0.2153679";"  1.6643791";"  0.8150442";"  0.0000000";"  0.0000000";"  0.0000000";"  2.3552267";"  0.5619236";"  0.6070177";"  0.0000000";"  0.7035668";"  1.6366661";"  0.4677864";"  0.0000000";"  0.7327878";"  0.0000000";"  3.0238693";"  0.0000000";"  1.1146985";"  2.2012642";"  4.4571230";"  0.0000000";"  1.1632168";"  1.5074395";"  2.5720690";"  0.0000000";"  0.8352515";"  0.0000000";" 99.1110728";" 97.8468985";"  0.0000000";"  1.7762090";"  4.9396013";"  2.9597072";"  0.9115272";"  0.3573194";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.5523662";"100.0000000";"  0.7170401";"  0.0000000";"  0.9077686";"100.0000000";" 99.4315124";" 98.1654964";"  0.0000000";" 99.6592359";"100.0000000";" 97.5128531";"100.0000000";"  0.0000000";"  2.9820403";"  3.2043450";"  0.9482675";"  0.0000000";"100.0000000";" 99.0650877";"100.0000000";"100.0000000";" 99.2890515";" 98.7148392";" 97.6166274";" 99.1554865";" 99.4095006";"  0.6491774";"  0.0000000";"  0.8750615";"  0.0000000";"  3.0887749";"  1.9801125";"  0.0000000";"100.0000000";"100.0000000";"100.0000000";" 99.3615306"
"7am";"  1.0613794";"  0.0000000";"  2.6489528";"  3.3965284";"  4.0737756";"  3.0215361";"  0.0000000";"  0.0000000";" 10.1256431";"  2.7508791";"  3.8818272";"  0.0000000";"  3.7043889";"  2.5163782";"  3.2761708";"  0.0000000";"  5.4287464";"  1.6422171";"  8.5340112";"  2.5578503";"  2.5030201";"  5.8740226";"  5.9626188";"  4.3714871";"  7.3831655";"  2.2823666";" 11.2378765";"  3.8176174";"  3.4176895";"  1.8310017";" 97.5758873";" 82.8504954";"  3.7770674";"  4.7189747";"  9.2190769";"  2.2247663";"  5.0209279";"  1.7007946";"  0.0000000";"  4.0709602";"  2.6939261";"  1.4785523";"  2.0647279";" 98.9485510";"  1.8256443";"  3.5635614";"  8.8371830";" 96.0176101";" 97.3967532";" 97.8828100";"  0.4798964";" 99.0126461";"100.0000000";" 89.4427606";" 99.0572600";"  2.6045180";"  3.7387661";"  6.1985584";"  1.8800368";" 13.9349645";" 97.2366776";" 98.2873691";" 94.9141808";"100.0000000";" 97.6422787";" 98.4291421";" 94.7672083";" 98.0221674";" 95.4259216";"  2.9973381";"  1.2778337";"  1.0041542";"  0.9638674";"  4.9684632";"  4.9678608";"  2.5408532";"100.0000000";" 98.7174984";" 99.3635216";" 98.2542207"
"8am";" 5.3670682";" 1.0719949";" 5.1942795";" 6.0073642";" 5.9331868";" 4.9227977";" 2.2312132";" 0.0000000";"14.0419576";" 3.5682988";" 9.8305807";" 0.0000000";" 8.7808902";" 2.7712949";" 5.0766515";" 3.2948873";" 8.9442485";" 7.4302771";"15.1951255";" 2.2276999";" 4.3494314";"12.9915745";"11.9233447";" 5.2847054";" 7.6511923";" 3.9236636";"15.6114259";" 9.8383172";" 4.4825173";"15.8869758";"92.1532048";"67.1772744";" 7.2774696";"19.1852489";"12.8245236";" 3.6233016";" 8.4360058";" 0.5047797";" 9.6687076";"11.4780597";"11.4144688";" 5.6026208";" 8.1930681";"83.6080049";" 3.5325952";" 4.1996226";"12.7294634";"93.7766194";"93.3896129";"95.3563685";" 3.2024112";"93.1143622";"99.1199771";"78.8125405";"93.4100568";" 3.8962640";" 4.4793491";" 7.5922427";" 4.6410877";"17.8751929";"93.9782837";"94.5741403";"88.4636374";"97.4232175";"96.0414495";"99.3216356";"89.9978801";"95.9840790";"87.7757092";" 8.3787536";" 2.4237731";" 2.4889854";" 1.8364381";" 6.8434030";" 9.1962819";" 3.9717799";"98.4727003";"97.2156602";"98.2733732";"97.9813872"
"9am";" 6.400638";" 9.410465";" 6.735099";" 9.508537";" 6.237783";" 7.159149";" 5.508836";" 2.295128";"13.990233";" 6.497790";"10.302062";" 0.000000";"10.191672";" 7.183729";" 6.119819";" 3.598704";"11.327908";"10.467281";"16.556950";" 1.703796";" 9.333890";"14.215559";"11.645173";" 5.550555";" 8.298128";" 4.360744";"20.247090";"13.287613";" 5.762273";"18.513388";"90.256336";"61.753809";"12.807267";"18.241359";"13.842673";"15.755123";"10.334204";" 4.220534";" 8.143782";"13.927720";"15.007751";" 8.675297";"14.177223";"80.256230";" 3.431987";" 5.215301";"17.714948";"90.974920";"92.346352";"92.650559";" 3.446195";"90.884323";"98.983050";"78.209349";"90.035069";" 9.018377";" 7.417040";" 9.688366";" 6.871805";"20.537761";"92.018760";"92.749060";"83.101279";"97.225959";"93.959539";"97.453757";"89.382566";"95.475038";"85.260241";"10.608629";" 2.821930";" 1.603007";" 3.003937";" 7.745771";" 9.332632";" 4.097870";"98.382823";"97.355417";"97.543648";"97.546305"
"10am";" 5.653144";"13.533401";" 7.198234";" 9.324085";" 6.223600";" 7.448206";" 2.505926";" 2.667825";"15.519562";" 5.917871";"12.399995";" 0.000000";"11.842494";" 6.306236";" 5.822841";" 3.460469";"11.246482";" 9.681789";"15.923204";" 1.626904";" 8.597468";"14.831709";"12.366506";" 5.537977";" 8.256252";" 4.896876";"20.255089";"13.355806";" 6.630772";"18.937315";"90.089841";"61.266851";"16.091095";"22.378185";"13.591434";"12.903789";"11.632630";" 6.462859";" 8.286891";"14.351194";"14.909455";" 7.615600";"11.557900";"80.080300";" 2.911514";" 5.833867";"18.000867";"92.235032";"93.074511";"92.505107";" 6.695514";"89.708406";"98.947055";"77.948987";"90.260412";" 5.375731";" 6.909064";" 8.915411";" 6.206235";"24.286398";"87.994604";"92.673061";"81.673791";"98.496428";"92.897058";"98.527790";"88.332307";"95.023901";"82.149136";" 9.486740";" 1.513299";" 6.486330";" 3.100299";" 7.638241";" 9.607278";" 4.239582";"98.893952";"97.045882";"98.293368";"96.658503"
"11am";"  7.857256";" 11.454297";"  5.214453";"  9.888655";"  5.741957";"  8.591456";"  2.295889";"  0.000000";" 14.614513";"  4.123145";"  9.723398";"  0.000000";"  9.204117";"  5.150382";"  7.726559";"  3.354938";" 10.286618";"  9.731066";" 17.507449";"  1.360498";"  8.068086";" 15.888311";" 12.012105";"  5.271220";"  8.100184";"  4.722620";" 19.662118";" 12.820675";"  7.261189";" 19.461728";" 90.679872";" 62.251374";" 15.624339";" 19.244989";" 14.730363";" 10.727650";"  8.786747";"  3.115184";" 10.191410";" 13.758699";" 14.039168";"  7.782732";"  8.762272";" 78.798586";"  2.729257";"  4.341608";" 18.401786";" 95.449371";" 92.248722";" 93.039195";"  6.339881";" 90.386707";" 98.455434";" 77.725415";" 90.214342";"  5.059165";"  9.688545";"  8.190372";"  6.087307";" 19.531091";" 92.154128";" 91.679420";" 83.332925";"100.000000";" 92.881079";" 98.609612";" 89.875702";" 95.597075";" 88.715384";"  7.776675";"  4.580005";"  5.626632";"  4.160448";"  6.263058";"  8.889461";"  4.326758";" 98.179294";" 97.406201";" 97.739889";" 96.781196"
