"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"001","4am",0,18.42869,26.44528,55.126028
"002","4am",0,12.6828,36.41971,50.897489
"003","4am",2.8699731,21.90974,28.1697,47.050591
"004","4am",3.3441039,33.12187,31.13974,32.394292
"005","4am",3.3156974,19.37693,28.91371,48.393658
"006","4am",7.579503,15.91911,25.57802,50.923364
"007","4am",0,15.04583,27.69291,57.261257
"008","4am",5.6391442,29.88389,26.47588,38.001081
"009","4am",2.4686021,26.47784,30.78475,40.268804
"010","4am",1.7807317,31.33445,34.89783,31.986985
"011","4am",2.4982556,52.1431,30.51015,14.848495
"012","4am",5.6775028,37.85749,27.72028,28.744723
"013","4am",7.3270465,37.84428,27.82749,27.001183
"014","4am",4.1343444,38.74842,27.10863,30.008601
"015","4am",1.4901964,28.43954,29.39075,40.679505
"016","4am",6.0695108,22.61334,32.07319,39.243959
"017","4am",3.5488759,32.46078,21.54259,42.44775
"018","4am",16.8714547,40.82425,19.6587,22.645604
"019","4am",11.7778494,33.66051,35.08408,19.477554
"020","4am",28.1981079,47.06655,21.79089,2.94445
"021","4am",7.7384499,29.87054,34.86874,27.522267
"022","4am",5.6556769,34.72134,14.04145,45.581534
"023","4am",5.179184,21.4365,34.116,39.268316
"024","4am",7.1183539,56.00268,18.46823,18.410738
"025","4am",0,20.82548,20.6436,58.530922
"026","4am",5.614602,18.6932,19.36412,56.328075
"027","4am",0.7583536,39.07632,27.3505,32.814834
"028","4am",1.3944387,24.70902,41.43111,32.465434
"029","4am",2.4590045,30.28196,34.41372,32.845323
"030","4am",1.5000148,23.41423,30.76934,44.316408
"031","4am",10.1441279,33.29765,38.27351,18.284715
"032","4am",2.2288874,28.28109,37.95652,31.533502
"033","4am",3.6473934,34.99127,33.6358,27.725535
"034","4am",2.749592,27.09639,36.55152,33.602503
"035","4am",1.8929575,32.3269,33.48898,32.291158
"036","4am",4.1964841,25.3757,37.85294,32.574879
"037","4am",2.4232319,41.63167,32.50479,23.440312
"038","4am",5.6240267,21.67961,42.33682,30.35954
"039","4am",1.9698857,23.45978,39.02198,35.548364
"040","4am",4.0797588,24.97198,29.86783,41.080435
"041","4am",3.9438576,23.45455,28.50215,44.09944
"042","4am",5.0521302,28.85959,34.98157,31.106716
"043","4am",10.6445509,27.22097,32.31994,29.814542
"044","4am",9.3441651,49.37989,28.62709,12.648845
"045","4am",1.6042478,46.63169,29.97143,21.792629
"046","4am",2.5614431,34.22205,34.89591,28.320602
"047","4am",5.7818942,35.92995,29.80077,28.487381
"048","4am",8.3244307,36.67612,29.69853,25.300917
"049","4am",3.2253733,33.05903,40.14908,23.566509
"050","4am",5.820564,37.07583,35.94155,21.162055
"051","4am",5.3414037,38.01907,24.13994,32.499596
"052","4am",4.2504672,26.56619,26.5598,42.623546
"053","4am",8.0741866,26.86589,29.68,35.379922
"054","4am",6.9514492,44.77241,29.5514,18.724745
"055","4am",5.6514055,37.67702,32.41864,24.252935
"056","4am",6.7295537,37.39159,39.61192,16.266931
"057","4am",1.8596486,24.76235,32.77668,40.601322
"058","4am",5.0837942,58.10567,21.99018,14.820355
"059","4am",8.6318992,51.8048,24.29512,15.268173
"060","4am",12.0088822,40.32853,34.40382,13.258772
"061","4am",8.2555143,36.90846,32.9842,21.851824
"062","4am",1.4705704,39.40645,25.66999,33.452995
"063","4am",2.4244094,27.60718,35.98233,33.98608
"064","4am",4.7645077,32.50999,32.38362,30.34188
"065","4am",8.8560387,38.81132,26.68846,25.644175
"066","4am",5.0202676,38.6005,25.67537,30.70386
"067","4am",8.4022746,39.58497,37.23576,14.776998
"068","4am",6.3669896,42.848,37.06989,13.715112
"069","4am",4.785548,41.22189,37.48765,16.504918
"070","4am",9.3304941,40.4146,32.70149,17.553417
"071","4am",12.5142063,60.21942,20.33668,6.929697
"072","4am",8.7465828,54.94186,23.16931,13.142246
"073","4am",6.1426425,49.30386,25.95816,18.595341
"074","4am",10.9092972,47.06592,25.37845,16.646338
"075","4am",10.6368443,53.96707,22.28111,13.114971
"076","4am",16.3060031,46.85275,27.34306,9.498188
"077","4am",15.0174039,28.04867,39.6633,17.270629
"078","4am",13.9209409,38.43205,29.78887,17.858132
"079","4am",15.7963318,41.32053,25.51268,17.370462
"080","4am",22.6089616,31.97417,30.17037,15.246497
"001","5am",0,17.93851,28.40173,53.65976
"002","5am",0,12.49718,37.35024,50.152584
"003","5am",2.8176383,22.04408,27.65602,47.482265
