"district","hour","occ1","occ2","occ3","occ4","occ5"
"001","4am",31.05611,46.903688,13.962099,6.944645,1.133454
"002","4am",33.79959,34.46559,12.389366,14.363927,4.9815272
"003","4am",46.80322,22.386221,9.820106,16.214623,4.7758299
"004","4am",40.81951,17.888036,9.771336,21.2999,10.221214
"005","4am",40.97731,27.555995,9.988844,17.891971,3.5858821
"006","4am",34.95663,39.28239,8.456698,13.22683,4.0774494
"007","4am",45.39017,22.728827,7.984379,18.013158,5.883465
"008","4am",42.7237,9.700352,7.917797,32.303139,7.3550091
"009","4am",45.03006,17.35919,10.308692,24.257713,3.0443414
"010","4am",53.2847,12.244404,9.535987,22.703322,2.2315889
"011","4am",51.07465,7.87573,12.710767,21.294883,7.0439749
"012","4am",41.48545,8.809639,10.658848,33.693487,5.3525777
"013","4am",54.14181,9.236615,10.753074,19.087296,6.781202
"014","4am",51.48965,11.613154,8.787037,22.835035,5.2751282
"015","4am",49.53901,9.595579,9.330636,27.212836,4.3219342
"016","4am",53.58119,11.785572,3.219048,29.200868,2.2133264
"017","4am",41.36094,17.834606,7.102714,25.153617,8.5481266
"018","4am",35.71741,18.571574,18.384108,17.649094,9.6778165
"019","4am",44.80692,10.525689,14.248186,17.566155,12.8530495
"020","4am",27.79939,14.565605,20.98332,16.911816,19.7398727
"021","4am",40.58084,25.869677,12.581484,16.476744,4.4912542
"022","4am",21.25253,65.441548,4.290289,7.717559,1.2980702
"023","4am",54.64956,22.803624,8.950007,8.302507,5.2943059
"024","4am",33.33094,9.606643,22.939164,19.47142,14.65183
"025","4am",27.89431,58.978328,4.644325,6.868631,1.6144014
"026","4am",48.53641,28.06304,4.039082,16.408806,2.9526575
"027","4am",61.63895,7.522866,6.792706,20.005569,4.039908
"028","4am",52.61086,26.603834,7.862918,12.339111,0.5832729
"029","4am",51.71116,10.122722,8.066495,26.007537,4.0920854
"030","4am",40.07948,15.235764,6.582742,31.810495,6.2915225
"031","4am",55.33534,5.511999,4.922834,27.512525,6.7173014
"032","4am",47.40648,8.266051,10.328756,25.840263,8.1584518
"033","4am",54.49927,8.771349,7.16804,26.927498,2.6338468
"034","4am",48.76411,3.335851,9.774525,30.097687,8.0278286
