"district","hour","occ1","occ2","occ3","occ4","occ5"
"001","4am",1897.992,2866.51558,853.2927,424.4215,69.27096
"002","4am",1303.632,1329.31882,477.851,554.0088,192.13476
"003","4am",5669.047,2711.53418,1189.4617,1963.9985,578.47307
"004","4am",2131.346,934.00422,510.1996,1112.1509,533.68949
"005","4am",2244.535,1509.3817,547.1397,980.0341,196.41696
"006","4am",4090.497,4596.68066,989.5717,1547.7549,477.12812
"007","4am",3457.407,1731.27343,608.1767,1372.0771,448.14837
"008","4am",1373.449,311.83952,254.5353,1038.4567,236.44323
"009","4am",3889.879,1499.55706,890.5066,2095.4794,262.98253
"010","4am",3186.278,732.18158,570.2257,1357.596,133.44286
"011","4am",3790.951,584.56612,943.4406,1580.5858,522.83013
"012","4am",3608.153,766.20899,927.0419,2930.4552,465.53475
"013","4am",3689.26,629.38924,732.7219,1300.6214,462.07574
"014","4am",5546.008,1250.86595,946.4617,2459.5874,568.19002
"015","4am",2385.713,462.10652,449.3473,1310.5232,208.13689
"016","4am",2821.929,620.70397,169.5358,1537.9053,116.56799
"017","4am",2979.777,1284.86322,511.7027,1812.1486,615.83493
"018","4am",3892.405,2023.8894,2003.4597,1923.3596,1054.6672
"019","4am",2628.806,617.53841,835.9359,1030.6,754.0838
"020","4am",1866.921,978.18111,1409.175,1135.7454,1325.66898
"021","4am",2224.565,1418.12693,689.6932,903.2241,246.20209
"022","4am",3161.273,9734.3033,638.1721,1147.9719,193.08542
"023","4am",3456.954,1442.4833,566.1484,525.1897,334.90062
"024","4am",2082.91,600.33635,1433.5095,1216.8039,915.6191
"025","4am",2081.823,4401.70213,346.6177,512.6233,120.48687
"026","4am",3880.035,2243.37909,322.887,1311.7314,236.03751
"027","4am",3798.993,463.65677,418.6548,1233.0031,248.99163
"028","4am",4831.328,2443.06682,722.0626,1133.1176,53.56276
"029","4am",3629.233,710.44081,566.1291,1825.2813,287.19394
"030","4am",1832.549,696.62276,300.9818,1454.4669,287.66643
"031","4am",4500.84,448.33244,400.4112,2237.801,546.36876
"032","4am",3367.741,587.21753,733.7515,1835.6838,579.57375
"033","4am",5780.689,930.36918,760.3077,2856.1759,279.36979
"034","4am",1147.084,78.46962,229.9273,707.9915,188.83958
"035","4am",3599.26,658.45543,510.0343,1994.1218,40.64422
"036","4am",3313.875,815.74153,176.0372,1775.8569,341.88115
"037","4am",4765.584,757.32883,532.9686,2097.6521,610.47205
"038","4am",3121.947,353.44202,239.2111,1916.7081,236.99935
"039","4am",2719.655,726.49306,458.8212,1060.5252,243.66144
"040","4am",4695.805,1581.18199,978.7912,3164.8241,472.9933
"041","4am",3061.143,676.98927,258.4361,1575.4307,290.16457
"042","4am",1991.905,422.69002,286.8148,864.527,203.31725
"043","4am",3417.994,482.15512,358.146,2095.4282,380.81613
"044","4am",2143.767,311.16616,324.8392,1808.226,160.91679
"045","4am",3482.601,501.42458,585.6474,1532.9292,135.84465
"046","4am",2989.357,811.27079,496.6503,1585.4072,97.57956
